#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	234490	229746	97.97	248	0.11	67	0.03	333	0.14	4096	1.75
Ecoli	234490	234490	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	234490	234490	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	234490	234488	100.00	0	0.00	0	0.00	0	0.00	2	0.00
Vectors	234490	234033	99.80	0	0.00	0	0.00	12	0.01	445	0.19
Bacteria_24k	234490	231577	98.76	110	0.05	242	0.10	208	0.09	2353	1.00
Protists_1k	234490	227694	97.11	548	0.23	1036	0.44	189	0.08	5023	2.14
Viruses	234490	232224	99.03	14	0.01	3	0.00	350	0.15	1899	0.81
Fungi_RefSeq_release	234490	229931	98.06	91	0.04	50	0.02	403	0.17	4015	1.71
Coral	234490	232164	99.01	11	0.00	4	0.00	203	0.09	2108	0.90
Bird	234490	230911	98.48	95	0.04	31	0.01	501	0.21	2952	1.26
Plant	234490	232136	98.99	19	0.01	3	0.00	252	0.11	2080	0.89

%Hit_no_genomes: 96.62
