Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Bird	Coral	Plant	Viruses	Vectors	Contamnts_Adaptrs	Ecoli	Multiple Genomes	No hits
Sne-ATaw_001-Ex1-lcwgs.clmp.fp2_r1_screen	3679608.0	370011.0	57590.0	29277.0	19411.0	5350.0	5277.0	1547.0	207.0	0.0	0.0	2266718.0	21825852.0
Sne-ATaw_001-Ex1-lcwgs.clmp.fp2_r2_screen	3679050.0	368065.0	56964.0	28290.0	18554.0	5194.0	5072.0	1379.0	78.0	9.0	0.0	2238428.0	21859765.0
Sne-ATaw_002-Ex1-lcwgs.clmp.fp2_r1_screen	8940750.0	387970.0	14171.0	3823.0	1602.0	343.0	419.0	1341.0	102.0	1.0	0.0	4256108.0	10344487.0
Sne-ATaw_002-Ex1-lcwgs.clmp.fp2_r2_screen	8915133.0	380972.0	14222.0	3658.0	1523.0	358.0	370.0	1264.0	19.0	10.0	0.0	4126233.0	10507355.0
Sne-ATaw_003-Ex1-lcwgs.clmp.fp2_r1_screen	8853804.0	1349114.0	24316.0	16318.0	7542.0	2107.0	1941.0	5059.0	345.0	0.0	0.0	6575236.0	35693958.0
Sne-ATaw_003-Ex1-lcwgs.clmp.fp2_r2_screen	8687859.0	1314017.0	24133.0	15415.0	7164.0	1947.0	1799.0	4859.0	82.0	11.0	0.0	6326740.0	36145714.0
Sne-ATaw_004-Ex1-lcwgs.clmp.fp2_r1_screen	962156.0	330237.0	42408.0	28192.0	15578.0	3784.0	3842.0	1965.0	320.0	3.0	1.0	1399695.0	20084502.0
Sne-ATaw_004-Ex1-lcwgs.clmp.fp2_r2_screen	959330.0	324679.0	42033.0	27520.0	15016.0	3745.0	3804.0	1825.0	82.0	30.0	0.0	1380382.0	20114237.0
Sne-ATaw_005-Ex1-lcwgs.clmp.fp2_r1_screen	237282.0	377461.0	42194.0	35307.0	19937.0	5016.0	4864.0	2107.0	458.0	13.0	0.0	1362062.0	23298949.0
Sne-ATaw_005-Ex1-lcwgs.clmp.fp2_r2_screen	235466.0	363080.0	41538.0	33594.0	19387.0	4887.0	4622.0	1852.0	125.0	64.0	0.0	1346546.0	23334489.0
Sne-ATaw_006-Ex1-lcwgs.clmp.fp2_r1_screen	921218.0	320917.0	202040.0	27873.0	13128.0	2409.0	2859.0	3007.0	365.0	6.0	0.0	1660937.0	19363143.0
Sne-ATaw_006-Ex1-lcwgs.clmp.fp2_r2_screen	915493.0	310047.0	201592.0	26337.0	12527.0	2381.0	2706.0	2626.0	229.0	21.0	0.0	1635764.0	19408179.0
Sne-ATaw_007-Ex1-lcwgs.clmp.fp2_r1_screen	6887611.0	278709.0	6891.0	3691.0	2076.0	570.0	559.0	5551.0	47.0	0.0	0.0	3288264.0	4854538.0
Sne-ATaw_007-Ex1-lcwgs.clmp.fp2_r2_screen	6897613.0	275154.0	6912.0	3601.0	2038.0	560.0	506.0	5483.0	13.0	2.0	0.0	3211576.0	4925049.0
Sne-ATaw_008-Ex1-lcwgs.clmp.fp2_r1_screen	848387.0	256148.0	171679.0	24575.0	7952.0	1399.0	1797.0	3378.0	228.0	4.0	0.0	1242313.0	17332180.0
Sne-ATaw_008-Ex1-lcwgs.clmp.fp2_r2_screen	844301.0	249300.0	171335.0	24225.0	7956.0	1363.0	1674.0	3217.0	71.0	14.0	0.0	1228547.0	17358037.0
Sne-ATaw_009-Ex1-lcwgs.clmp.fp2_r1_screen	406628.0	360609.0	49380.0	32373.0	20013.0	4981.0	4880.0	1793.0	272.0	6.0	0.0	1262971.0	24097293.0
