samplename_index_lane readgroup_id readgroup_platform path_to_R1_fastq_file path_to_R2_fastq_file
SneCTaw004_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_004-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_004-Ex1-lcwgs.2.fq.gz
SneCTaw005_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_005-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_005-Ex1-lcwgs.2.fq.gz
SneCTaw006_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_006-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_006-Ex1-lcwgs.2.fq.gz
SneCTaw008_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_008-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_008-Ex1-lcwgs.2.fq.gz
SneCTaw009_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_009-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_009-Ex1-lcwgs.2.fq.gz
SneCTaw010_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_010-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_010-Ex1-lcwgs.2.fq.gz
SneCTaw011_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_011-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_011-Ex1-lcwgs.2.fq.gz
SneCTaw012_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_012-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_012-Ex1-lcwgs.2.fq.gz
SneCTaw015_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_015-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_015-Ex1-lcwgs.2.fq.gz
SneCTaw016_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_016-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_016-Ex1-lcwgs.2.fq.gz
SneCTaw020_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_020-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_020-Ex1-lcwgs.2.fq.gz
SneCTaw032_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_032-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_032-Ex1-lcwgs.2.fq.gz
SneCTaw035_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_035-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_035-Ex1-lcwgs.2.fq.gz
SneCTaw036_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_036-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_036-Ex1-lcwgs.2.fq.gz
SneCTaw037_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_037-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_037-Ex1-lcwgs.2.fq.gz
SneCTaw038_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_038-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_038-Ex1-lcwgs.2.fq.gz
SneCTaw039_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_039-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_039-Ex1-lcwgs.2.fq.gz
SneCTaw040_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_040-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_040-Ex1-lcwgs.2.fq.gz
SneCTaw041_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_041-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_041-Ex1-lcwgs.2.fq.gz
SneCTaw043_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_043-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_043-Ex1-lcwgs.2.fq.gz
SneCTaw044_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_044-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_044-Ex1-lcwgs.2.fq.gz
SneCTaw047_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_047-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_047-Ex1-lcwgs.2.fq.gz
SneCTaw048_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_048-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_048-Ex1-lcwgs.2.fq.gz
SneCTaw049_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_049-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_049-Ex1-lcwgs.2.fq.gz
SneCTaw050_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_050-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_050-Ex1-lcwgs.2.fq.gz
SneCTaw051_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_051-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_051-Ex1-lcwgs.2.fq.gz
SneCTaw052_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_052-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_052-Ex1-lcwgs.2.fq.gz
SneCTaw053_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_053-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_053-Ex1-lcwgs.2.fq.gz
SneCTaw054_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_054-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_054-Ex1-lcwgs.2.fq.gz
SneCTaw055_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_055-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_055-Ex1-lcwgs.2.fq.gz
SneCTaw056_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_056-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_056-Ex1-lcwgs.2.fq.gz
SneCTaw057_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_057-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_057-Ex1-lcwgs.2.fq.gz
SneCTaw058_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_058-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_058-Ex1-lcwgs.2.fq.gz
SneCTaw060_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_060-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_060-Ex1-lcwgs.2.fq.gz
SneCTaw062_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_062-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_062-Ex1-lcwgs.2.fq.gz
SneCTaw063_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_063-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_063-Ex1-lcwgs.2.fq.gz
SneCTaw064_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_064-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_064-Ex1-lcwgs.2.fq.gz
SneCTaw065_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_065-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_065-Ex1-lcwgs.2.fq.gz
SneCTaw067_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_067-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_067-Ex1-lcwgs.2.fq.gz
SneCTaw071_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_071-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_071-Ex1-lcwgs.2.fq.gz
SneCTaw072_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_072-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_072-Ex1-lcwgs.2.fq.gz
SneCTaw073_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_073-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_073-Ex1-lcwgs.2.fq.gz
SneCTaw074_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_074-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_074-Ex1-lcwgs.2.fq.gz
SneCTaw075_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_075-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_075-Ex1-lcwgs.2.fq.gz
SneCTaw076_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_076-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_076-Ex1-lcwgs.2.fq.gz
SneCTaw077_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_077-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_077-Ex1-lcwgs.2.fq.gz
SneCTaw078_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_078-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_078-Ex1-lcwgs.2.fq.gz
SneCTaw081_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_081-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_081-Ex1-lcwgs.2.fq.gz
SneCTaw082_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_082-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_082-Ex1-lcwgs.2.fq.gz
SneCTaw084_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_084-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_084-Ex1-lcwgs.2.fq.gz
SneCTaw087_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_087-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_087-Ex1-lcwgs.2.fq.gz
SneCTaw089_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_089-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_089-Ex1-lcwgs.2.fq.gz
SneCTaw093_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_093-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_093-Ex1-lcwgs.2.fq.gz
SneCTaw094_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_094-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_094-Ex1-lcwgs.2.fq.gz
SneCTaw095_Ex1_L3 HF37FDSX5:3 illumina modern/Sne-CTaw_095-Ex1-lcwgs.1.fq.gz modern/Sne-CTaw_095-Ex1-lcwgs.2.fq.gz
