Sample	Unique Reads	Duplicate Reads
Hte-ABur_001-Ex1-1A-lcwgs-1-T.1	57681.0	42809.0
Hte-ABur_001-Ex1-1A-lcwgs-1-T.2	60339.0	40151.0
Hte-ABur_002-Ex1-1B-lcwgs-1-T.1	6260.0	9685.0
Hte-ABur_002-Ex1-1B-lcwgs-1-T.2	6547.0	9398.0
Hte-ABur_003-Ex1-1C-lcwgs-1-T.1	61242.0	68774.0
Hte-ABur_003-Ex1-1C-lcwgs-1-T.2	63543.0	66473.0
Hte-ABur_004-Ex1-1D-lcwgs-1-T.1	1643564.0	819908.0
Hte-ABur_004-Ex1-1D-lcwgs-1-T.2	1672900.0	790572.0
Hte-ABur_005-Ex1-1E-lcwgs-1-T.1	6021.0	3348.0
Hte-ABur_005-Ex1-1E-lcwgs-1-T.2	6204.0	3165.0
Hte-ABur_006-Ex1-1F-lcwgs-1-T.1	3612.0	1296.0
Hte-ABur_006-Ex1-1F-lcwgs-1-T.2	3673.0	1235.0
Hte-ABur_007-Ex1-1G-lcwgs-1-T.1	24612.0	276668.0
Hte-ABur_007-Ex1-1G-lcwgs-1-T.2	30320.0	270960.0
Hte-ABur_008-Ex1-1H-lcwgs-1-T.1	2793.0	1502.0
Hte-ABur_008-Ex1-1H-lcwgs-1-T.2	2882.0	1413.0
Hte-ABur_009-Ex1-2A-lcwgs-1-T.1	8869.0	2493.0
Hte-ABur_009-Ex1-2A-lcwgs-1-T.2	9020.0	2342.0
Hte-ABur_010-Ex1-2B-lcwgs-1-T.1	5253.0	2146.0
Hte-ABur_010-Ex1-2B-lcwgs-1-T.2	5298.0	2101.0
Hte-ABur_011-Ex1-2C-lcwgs-1-T.1	144284.0	33269.0
Hte-ABur_011-Ex1-2C-lcwgs-1-T.2	146968.0	30585.0
Hte-ABur_012-Ex1-2D-lcwgs-1-T.1	10698.0	4251.0
Hte-ABur_012-Ex1-2D-lcwgs-1-T.2	10853.0	4096.0
Hte-ABur_013-Ex1-2E-lcwgs-1-T.1	400732.0	118695.0
Hte-ABur_013-Ex1-2E-lcwgs-1-T.2	408959.0	110468.0
Hte-ABur_014-Ex1-2F-lcwgs-1-T.1	6515.0	1752.0
Hte-ABur_014-Ex1-2F-lcwgs-1-T.2	6625.0	1642.0
Hte-ABur_015-Ex1-2G-lcwgs-1-T.1	22509.0	6178.0
Hte-ABur_015-Ex1-2G-lcwgs-1-T.2	22811.0	5876.0
Hte-ABur_016-Ex1-2H-lcwgs-1-T.1	28459.0	5404.0
Hte-ABur_016-Ex1-2H-lcwgs-1-T.2	28854.0	5009.0
Hte-ABur_017-Ex1-3A-lcwgs-1-T.1	575903.0	479088.0
Hte-ABur_017-Ex1-3A-lcwgs-1-T.2	595830.0	459161.0
Hte-ABur_018-Ex1-3B-lcwgs-1-T.1	17102.0	24611.0
Hte-ABur_018-Ex1-3B-lcwgs-1-T.2	17708.0	24005.0
Hte-ABur_019-Ex1-3C-lcwgs-1-T.1	217215.0	432391.0
Hte-ABur_019-Ex1-3C-lcwgs-1-T.2	233889.0	415717.0
Hte-ABur_020-Ex1-3D-lcwgs-1-T.1	201993.0	554307.0
Hte-ABur_020-Ex1-3D-lcwgs-1-T.2	221003.0	535297.0
Hte-ABur_021-Ex1-3E-lcwgs-1-T.1	261384.0	454921.0
Hte-ABur_021-Ex1-3E-lcwgs-1-T.2	272371.0	443934.0
Hte-ABur_022-Ex1-3F-lcwgs-1-T.1	49652.0	97636.0
Hte-ABur_022-Ex1-3F-lcwgs-1-T.2	53084.0	94204.0
Hte-ABur_023-Ex1-3G-lcwgs-1-T.1	141001.0	305551.0
Hte-ABur_023-Ex1-3G-lcwgs-1-T.2	147700.0	298852.0
Hte-ABur_024-Ex1-3H-lcwgs-1-T.1	4223.0	1858.0
Hte-ABur_024-Ex1-3H-lcwgs-1-T.2	4305.0	1776.0
Hte-ABur_025-Ex1-4A-lcwgs-1-T.1	6917.0	1966.0
Hte-ABur_025-Ex1-4A-lcwgs-1-T.2	7054.0	1829.0
Hte-ABur_026-Ex1-4B-lcwgs-1-T.1	163030.0	863936.0
Hte-ABur_026-Ex1-4B-lcwgs-1-T.2	178699.0	848267.0
Hte-ABur_027-Ex1-4C-lcwgs-1-T.1	157465.0	226185.0
Hte-ABur_027-Ex1-4C-lcwgs-1-T.2	166644.0	217006.0
Hte-ABur_028-Ex1-4D-lcwgs-1-T.1	168831.0	241136.0
Hte-ABur_028-Ex1-4D-lcwgs-1-T.2	176528.0	233439.0
Hte-ABur_029-Ex1-4E-lcwgs-1-T.1	107487.0	265431.0
Hte-ABur_029-Ex1-4E-lcwgs-1-T.2	129707.0	243211.0
Hte-ABur_030-Ex1-4F-lcwgs-1-T.1	25153.0	50782.0
Hte-ABur_030-Ex1-4F-lcwgs-1-T.2	26415.0	49520.0
Hte-ABur_031-Ex1-4G-lcwgs-1-T.1	36554.0	495254.0
Hte-ABur_031-Ex1-4G-lcwgs-1-T.2	45401.0	486407.0
Hte-ABur_032-Ex1-4H-lcwgs-1-T.1	30570.0	181988.0
Hte-ABur_032-Ex1-4H-lcwgs-1-T.2	36226.0	176332.0
Hte-ABur_034-Ex1-5B-lcwgs-1-T.1	17076.0	8499.0
Hte-ABur_034-Ex1-5B-lcwgs-1-T.2	17714.0	7861.0
Hte-ABur_035-Ex1-5C-lcwgs-1-T.1	62305.0	17075.0
Hte-ABur_035-Ex1-5C-lcwgs-1-T.2	63645.0	15735.0
Hte-ABur_036-Ex1-5D-lcwgs-1-T.1	101849.0	63860.0
Hte-ABur_036-Ex1-5D-lcwgs-1-T.2	105147.0	60562.0
Hte-ABur_037-Ex1-5E-lcwgs-1-T.1	264281.0	186909.0
Hte-ABur_037-Ex1-5E-lcwgs-1-T.2	276958.0	174232.0
Hte-ABur_038-Ex1-5F-lcwgs-1-T.1	204867.0	56926.0
Hte-ABur_038-Ex1-5F-lcwgs-1-T.2	210762.0	51031.0
Hte-ABur_039-Ex1-5G-lcwgs-1-T.1	115568.0	38364.0
Hte-ABur_039-Ex1-5G-lcwgs-1-T.2	118724.0	35208.0
Hte-ABur_040-Ex1-5H-lcwgs-1-T.1	107095.0	56060.0
Hte-ABur_040-Ex1-5H-lcwgs-1-T.2	110490.0	52665.0
Hte-ABur_041-Ex1-6A-lcwgs-1-T.1	6616.0	1618.0
Hte-ABur_041-Ex1-6A-lcwgs-1-T.2	6726.0	1508.0
Hte-ABur_042-Ex1-6B-lcwgs-1-T.1	81806.0	166105.0
