HK7K2DSX3_3	forward	A->A	1.01744e+06	1.06806e+06	1.07112e+06	1.07324e+06	1.07492e+06	1.07574e+06	1.07676e+06	1.07092e+06	1.07324e+06	1.07415e+06	1.07962e+06	1.07568e+06	1.0739e+06	1.0746e+06	1.07183e+06	1.07494e+06	1.07974e+06	1.076e+06	1.06015e+06	1.02933e+06	1.01952e+06	1.0176e+06	1.01152e+06	1.0107e+06	1.01173e+06	1.01257e+06	1.01061e+06	1.00803e+06	1.01338e+06	1.009e+06	1.00713e+06	1.00706e+06	1.00506e+06	1.00487e+06	1.00652e+06	1.00916e+06	1.00626e+06	1.00366e+06	1.00158e+06	999451	1.00133e+06	999888	999590	1.00038e+06	997197	1.00088e+06	996558	998378	995853	992959
HK7K2DSX3_3	forward	A->C	28642	58328	57347	58515	58364	59785	58940	58977	59471	59627	58851	59668	58922	59621	59600	59531	58943	59028	45091	27970	23016	21064	20168	19379	18664	18326	18471	18552	18026	18009	17806	17731	17147	17246	17119	17248	16779	16765	16415	16565	16088	16115	15878	15821	16000	15527	15363	15911	15387	15130
HK7K2DSX3_3	forward	A->G	31344	60666	60393	60881	60255	61806	63099	63090	62237	62980	62787	62462	63064	63196	62276	62421	61228	62049	49067	31026	25987	23909	22755	22790	22507	22209	21839	21555	21212	20803	20938	20851	21671	20494	20355	20374	19527	20003	19722	19776	19431	19755	19557	18925	18486	19026	18220	18711	18239	18908
HK7K2DSX3_3	forward	A->T	36228	75422	74740	74223	74255	74187	74206	74125	73482	73703	73929	73568	74282	73444	73839	73857	73008	74880	56618	35370	28916	26730	25317	24122	23708	23432	23140	23188	23557	22790	22837	21886	21996	21886	21207	21455	20945	21045	20630	20490	20533	20225	20430	19899	19647	19973	19788	19459	19179	19254
HK7K2DSX3_3	forward	C->A	26442	55710	57284	55931	56641	57490	56091	56857	57065	56414	56178	56552	55954	56501	57425	56461	57408	57543	45482	29052	23470	22380	20698	20111	19893	19334	19443	19079	18993	19039	18869	18584	18253	18156	17949	18254	18076	17964	17772	17457	17645	17034	17317	17268	17222	17298	17428	16691	16806	16684
HK7K2DSX3_3	forward	C->C	770139	809100	809687	812010	809677	817354	811833	812717	805263	807826	798039	805968	803232	802169	805795	812467	806436	807554	789069	770583	764836	764662	762498	762741	759487	759777	762406	764698	755312	758167	760157	755465	754203	752480	753769	750999	752879	751348	748348	748693	744313	744936	744351	742844	743388	738905	739179	736102	735154	735962
HK7K2DSX3_3	forward	C->G	23133	48150	47671	48601	48178	47637	47965	48365	47759	49094	48948	48280	48794	47947	48164	48287	47897	48005	37981	22321	18864	16697	15939	15724	15174	15295	14967	14708	14514	14354	14193	14383	14604	13640	13307	13934	13695	13487	13639	12801	13192	13376	12712	12668	12738	12617	12633	12593	12553	12501
HK7K2DSX3_3	forward	C->T	34448	65195	64391	62435	63610	63482	65717	62704	63419	62756	63864	64670	62412	63468	63675	62522	62457	63165	52124	34426	29722	27807	27230	26348	25303	25488	25360	24858	25207	24978	24690	24884	23978	24474	24188	23748	23708	23791	23693	23377	22930	23089	23021	22768	22151	22245	22186	21329	21525	21654
HK7K2DSX3_3	forward	G->A	29875	59316	58454	57538	58169	59506	59645	59546	59560	58402	59759	59379	59626	59240	59835	59193	61399	60274	48095	31580	26499	25762	23474	22898	23163	22243	22339	22377	22443	21633	21749	21624	21832	21370	21348	21391	21070	20924	20836	20868	20727	20694	20827	20327	20400	20361	20296	20540	20258	20063
HK7K2DSX3_3	forward	G->C	23351	48239	47414	47836	48154	48194	48757	48316	48957	49314	49096	48977	48839	48195	48688	48006	48464	48305	37972	22944	18712	17064	16295	15742	15348	15128	15228	14458	14737	14802	14404	14482	14590	14283	13873	13899	13656	13799	13724	13634	13384	13259	12953	13050	12845	13001	12620	12596	12678	12172
