Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Dar-CJol_021-Ex1-6F-lcwgs-1-1.2	15.644594945561593	48.0	150.0	18.181818181818183	5261551.0
Dar-CJol_022-Ex1-7C-lcwgs-1-1.1	13.086253594623159	49.0	150.0	18.181818181818183	1275245.0
Dar-CJol_022-Ex1-7C-lcwgs-1-1.2	12.388329589864455	49.0	150.0	18.181818181818183	1275245.0
Dar-CJol_023-Ex1-8B-lcwgs-1-1.1	12.419176714165886	48.0	150.0	18.181818181818183	1006665.0
Dar-CJol_023-Ex1-8B-lcwgs-1-1.2	11.753420730474303	48.0	150.0	18.181818181818183	1006665.0
Dar-CJol_024-Ex1-7E-lcwgs-1-1.1	9.756097560975604	49.0	150.0	36.36363636363637	41.0
Dar-CJol_024-Ex1-7E-lcwgs-1-1.2	4.878048780487802	48.0	150.0	36.36363636363637	41.0
Dar-CJol_025-Ex1-3C-lcwgs-1-1.1	13.54111953104298	47.0	150.0	9.090909090909092	2383479.0
Dar-CJol_025-Ex1-3C-lcwgs-1-1.2	12.618583566868466	47.0	150.0	9.090909090909092	2383479.0
Dar-CJol_026-Ex1-8A-lcwgs-1-1.1	12.539165181786373	48.0	150.0	9.090909090909092	1178154.0
Dar-CJol_026-Ex1-8A-lcwgs-1-1.2	12.02509643528633	48.0	150.0	9.090909090909092	1178154.0
Dar-CJol_028-Ex1-2F-lcwgs-1-1.1	17.747764689150955	47.0	150.0	18.181818181818183	5577207.0
Dar-CJol_028-Ex1-2F-lcwgs-1-1.2	16.839647005195374	47.0	150.0	18.181818181818183	5577207.0
Dar-CJol_029-Ex1-5B-lcwgs-1-1.1	15.749001424467039	46.0	150.0	9.090909090909092	2889986.0
Dar-CJol_029-Ex1-5B-lcwgs-1-1.2	14.909495713832243	46.0	150.0	9.090909090909092	2889986.0
Dar-CJol_030-Ex1-8D-lcwgs-1-1.1	16.00877439779616	49.0	150.0	18.181818181818183	1881657.0
Dar-CJol_030-Ex1-8D-lcwgs-1-1.2	15.27204900620751	49.0	150.0	18.181818181818183	1881657.0
Dar-CJol_031-Ex1-4H-lcwgs-1-1.1	13.61972577846474	48.0	150.0	9.090909090909092	2219052.0
Dar-CJol_031-Ex1-4H-lcwgs-1-1.2	12.882461031086478	48.0	150.0	9.090909090909092	2219052.0
Dar-CJol_032-Ex1-3H-lcwgs-1-1.1	18.500785482451903	49.0	150.0	18.181818181818183	1992502.0
Dar-CJol_032-Ex1-3H-lcwgs-1-1.2	17.299862915836144	49.0	150.0	18.181818181818183	1992502.0
Dar-CJol_035-Ex1-8H-lcwgs-1-1.1	12.16947992851324	46.0	150.0	9.090909090909092	719799.0
Dar-CJol_035-Ex1-8H-lcwgs-1-1.2	11.62452526828099	46.0	150.0	9.090909090909092	719799.0
Dar-CJol_036-Ex1-8C-lcwgs-1-1.1	13.20662511256613	47.0	150.0	18.181818181818183	758197.0
Dar-CJol_036-Ex1-8C-lcwgs-1-1.2	12.64941702877853	47.0	150.0	18.181818181818183	758197.0
Dar-CJol_037-Ex1-2D-lcwgs-1-1.1	15.549559038449388	49.0	150.0	18.181818181818183	2553129.0
Dar-CJol_037-Ex1-2D-lcwgs-1-1.2	14.513389381341483	49.0	150.0	18.181818181818183	2553129.0
Dar-CJol_038-Ex1-6A-lcwgs-1-1.1	15.450222196927186	46.0	150.0	9.090909090909092	2496720.0
Dar-CJol_038-Ex1-6A-lcwgs-1-1.2	14.609570868528309	46.0	150.0	9.090909090909092	2496720.0
Dar-CJol_039-Ex1-7H-lcwgs-1-1.1	19.1552544262603	48.0	150.0	18.181818181818183	1274595.0
Dar-CJol_039-Ex1-7H-lcwgs-1-1.2	18.409460175118298	48.0	150.0	18.181818181818183	1274595.0
Dar-CJol_040-Ex1-1E-lcwgs-1-1.1	4.444444444444443	48.0	150.0	45.45454545454545	45.0
Dar-CJol_040-Ex1-1E-lcwgs-1-1.2	4.444444444444443	48.0	150.0	45.45454545454545	45.0
Dar-CJol_041-Ex1-1B-lcwgs-1-1.1	16.500796853719777	50.0	150.0	18.181818181818183	3196184.0
Dar-CJol_041-Ex1-1B-lcwgs-1-1.2	15.494603766615626	50.0	150.0	18.181818181818183	3196184.0
Dar-CJol_043-Ex1-4C-lcwgs-1-1.1	14.294272289318926	46.0	150.0	18.181818181818183	1783163.0
Dar-CJol_043-Ex1-4C-lcwgs-1-1.2	13.396456714609869	46.0	150.0	18.181818181818183	1783163.0
Dar-CJol_044-Ex1-5E-lcwgs-1-1.1	2.3809523809523796	49.0	150.0	45.45454545454545	42.0
Dar-CJol_044-Ex1-5E-lcwgs-1-1.2	2.3809523809523796	47.0	150.0	45.45454545454545	42.0
Dar-CJol_045-Ex1-5D-lcwgs-1-1.1	18.51971381771483	49.0	150.0	18.181818181818183	3273030.0
Dar-CJol_045-Ex1-5D-lcwgs-1-1.2	17.42233930174477	49.0	150.0	18.181818181818183	3273030.0
Dar-CJol_046-Ex1-2A-lcwgs-1-1.1	15.14975574817133	48.0	150.0	18.181818181818183	2432602.0
Dar-CJol_046-Ex1-2A-lcwgs-1-1.2	14.516857163383904	48.0	150.0	18.181818181818183	2432602.0
Dar-CJol_050-Ex1-3E-lcwgs-1-1.1	0.0	49.0	150.0	36.36363636363637	21.0
Dar-CJol_050-Ex1-3E-lcwgs-1-1.2	0.0	49.0	150.0	36.36363636363637	21.0
Dar-CJol_051-Ex1-1H-lcwgs-1-1.1	13.293045209435007	48.0	150.0	9.090909090909092	3378359.0
Dar-CJol_051-Ex1-1H-lcwgs-1-1.2	12.603393349911869	48.0	150.0	9.090909090909092	3378359.0
Dar-CJol_052-Ex1-3G-lcwgs-1-1.1	14.66249811474107	48.0	150.0	18.181818181818183	2313641.0
Dar-CJol_052-Ex1-3G-lcwgs-1-1.2	13.761254638246896	48.0	150.0	18.181818181818183	2313641.0
Dar-CJol_053-Ex1-2C-lcwgs-1-1.1	17.727810665883595	49.0	150.0	18.181818181818183	2713829.0
Dar-CJol_053-Ex1-2C-lcwgs-1-1.2	16.836199905109197	49.0	150.0	18.181818181818183	2713829.0
Dar-CJol_054-Ex1-2H-lcwgs-1-1.1	13.797147646125651	45.0	150.0	9.090909090909092	3693426.0
Dar-CJol_054-Ex1-2H-lcwgs-1-1.2	13.044146812701541	45.0	150.0	9.090909090909092	3693426.0
Dar-CJol_055-Ex1-6B-lcwgs-1-1.1	14.648199569303003	46.0	150.0	9.090909090909092	3345167.0
