Sample	Unique Reads	Duplicate Reads
Sde-ABol_061-Ex1-1F-lcwgs-1-1.1	71379.0	15670.0
Sde-ABol_061-Ex1-1F-lcwgs-1-1.2	72428.0	14621.0
Sde-ABol_062-Ex1-2F-lcwgs-1-1.1	292881.0	54503.0
Sde-ABol_062-Ex1-2F-lcwgs-1-1.2	296008.0	51376.0
Sde-ABol_063-Ex1-3F-lcwgs-1-1.1	398631.0	100879.0
Sde-ABol_063-Ex1-3F-lcwgs-1-1.2	406902.0	92608.0
Sde-ABol_064-Ex1-4F-lcwgs-1-1.1	2472836.0	548510.0
Sde-ABol_064-Ex1-4F-lcwgs-1-1.2	2508486.0	512860.0
Sde-ABol_065-Ex1-5F-lcwgs-1-1.1	148043.0	36460.0
Sde-ABol_065-Ex1-5F-lcwgs-1-1.2	150005.0	34498.0
Sde-ABol_067-Ex1-7F-lcwgs-1-1.1	923287.0	146585.0
Sde-ABol_069-Ex1-9F-lcwgs-1-1.1	493576.0	73777.0
Sde-ABol_069-Ex1-9F-lcwgs-1-1.2	497080.0	70273.0
Sde-ABol_070-Ex1-10F-lcwgs-1-1.1	1270434.0	238085.0
Sde-ABol_070-Ex1-10F-lcwgs-1-1.2	1291893.0	216626.0
Sde-ABol_071-Ex1-11F-lcwgs-1-1.1	275104.0	51885.0
Sde-ABol_071-Ex1-11F-lcwgs-1-1.2	279336.0	47653.0
Sde-ABol_072-Ex1-12F-lcwgs-1-1.1	490109.0	73594.0
Sde-ABol_072-Ex1-12F-lcwgs-1-1.2	493915.0	69788.0
Sde-ABol_073-Ex1-1G-lcwgs-1-1.1	2484.0	363.0
Sde-ABol_073-Ex1-1G-lcwgs-1-1.2	2574.0	273.0
Sde-ABol_074-Ex1-2G-lcwgs-1-1.1	640632.0	125890.0
Sde-ABol_074-Ex1-2G-lcwgs-1-1.2	647629.0	118893.0
Sde-ABol_075-Ex1-3G-lcwgs-1-1.1	294747.0	63915.0
Sde-ABol_075-Ex1-3G-lcwgs-1-1.2	300728.0	57934.0
Sde-ABol_077-Ex1-5G-lcwgs-1-1.1	7004250.0	1171815.0
Sde-ABol_078-Ex1-6G-lcwgs-1-1.1	580955.0	99540.0
Sde-ABol_078-Ex1-6G-lcwgs-1-1.2	589900.0	90595.0
Sde-ABol_080-Ex1-8G-lcwgs-1-1.1	766389.0	134337.0
Sde-ABol_080-Ex1-8G-lcwgs-1-1.2	777752.0	122974.0
Sde-ABol_081-Ex1-9G-lcwgs-1-1.1	84892.0	15465.0
Sde-ABol_081-Ex1-9G-lcwgs-1-1.2	85946.0	14411.0
Sde-ABol_082-Ex1-10G-lcwgs-1-1.1	770855.0	115247.0
Sde-ABol_082-Ex1-10G-lcwgs-1-1.2	778714.0	107388.0
Sde-ABol_087-Ex1-3H-lcwgs-1-1.1	2160533.0	454002.0
Sde-ABol_088-Ex1-4H-lcwgs-1-1.1	5331722.0	1237524.0
Sde-ABol_091-Ex1-7H-lcwgs-1-1.1	1034279.0	175109.0
Sde-ABol_091-Ex1-7H-lcwgs-1-1.2	1045779.0	163609.0
Sde-ABol_092-Ex1-8H-lcwgs-1-1.1	2144018.0	406877.0
Sde-ABol_092-Ex1-8H-lcwgs-1-1.2	2165364.0	385531.0
Sde-ABol_095-Ex1-11H-lcwgs-1-1.1	37043.0	6756.0
Sde-ABol_095-Ex1-11H-lcwgs-1-1.2	37567.0	6232.0
Sde-CMal_003-Ex1-2G-lcwgs-1-1.1	70551.0	5074.0
Sde-CMal_003-Ex1-2G-lcwgs-1-1.2	72391.0	3234.0
Sde-CMal_004-Ex1-2E-lcwgs-1-1.1	9332.0	907.0
Sde-CMal_004-Ex1-2E-lcwgs-1-1.2	9698.0	541.0
Sde-CMal_005-Ex1-4D-lcwgs-1-1.1	27688.0	2174.0
Sde-CMal_005-Ex1-4D-lcwgs-1-1.2	28704.0	1158.0
Sde-CMal_006-Ex1-4B-lcwgs-1-1.1	4583.0	399.0
Sde-CMal_006-Ex1-4B-lcwgs-1-1.2	4774.0	208.0
Sde-CMal_009-Ex1-3G-lcwgs-1-1.1	58745.0	4844.0
Sde-CMal_009-Ex1-3G-lcwgs-1-1.2	60542.0	3047.0
Sde-CMal_010-Ex1-1D-lcwgs-1-1.1	51665.0	4344.0
Sde-CMal_010-Ex1-1D-lcwgs-1-1.2	53176.0	2833.0
Sde-CMal_011-Ex1-4G-lcwgs-1-1.1	40633.0	3389.0
Sde-CMal_011-Ex1-4G-lcwgs-1-1.2	42078.0	1944.0
Sde-CMal_013-Ex1-3H-lcwgs-1-1.1	39046.0	3031.0
Sde-CMal_013-Ex1-3H-lcwgs-1-1.2	40296.0	1781.0
Sde-CMal_015-Ex1-1B-lcwgs-1-1.1	8258.0	735.0
Sde-CMal_015-Ex1-1B-lcwgs-1-1.2	8525.0	468.0
Sde-CMal_016-Ex1-8A-lcwgs-1-1.1	259.0	6.0
Sde-CMal_016-Ex1-8A-lcwgs-1-1.2	261.0	4.0
Sde-CMal_017-Ex1-1F-lcwgs-1-1.1	29900.0	2427.0
Sde-CMal_017-Ex1-1F-lcwgs-1-1.2	30740.0	1587.0
Sde-CMal_018-Ex1-6G-lcwgs-1-1.1	45248.0	4045.0
Sde-CMal_018-Ex1-6G-lcwgs-1-1.2	46990.0	2303.0
Sde-CMal_019-Ex1-5A-lcwgs-1-1.1	46.0	0.0
Sde-CMal_019-Ex1-5A-lcwgs-1-1.2	46.0	0.0
