Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Pba-ABir_001-Ex1-7H-lcwgs-1-1.clmp.fp2_r1_screen	1030.0	4399.0	650.0	388.0	285.0	57.0	56.0	32.0	1.0	0.0	15469.0	663729.0
Pba-ABir_001-Ex1-7H-lcwgs-1-1.clmp.fp2_r2_screen	1009.0	4481.0	624.0	417.0	343.0	44.0	63.0	30.0	6.0	0.0	15282.0	663797.0
Pba-ABir_002-Ex1-8H-lcwgs-1-1.clmp.fp2_r1_screen	2608.0	15014.0	3333.0	1279.0	758.0	246.0	264.0	61.0	7.0	0.0	36425.0	1425011.0
Pba-ABir_002-Ex1-8H-lcwgs-1-1.clmp.fp2_r2_screen	2675.0	14879.0	3375.0	1326.0	772.0	270.0	257.0	63.0	4.0	0.0	36077.0	1425308.0
Pba-ABir_003-Ex1-9H-lcwgs-1-1.clmp.fp2_r1_screen	928.0	4833.0	512.0	377.0	316.0	60.0	61.0	32.0	2.0	0.0	18958.0	608439.0
Pba-ABir_003-Ex1-9H-lcwgs-1-1.clmp.fp2_r2_screen	917.0	4819.0	541.0	348.0	270.0	59.0	54.0	27.0	5.0	0.0	19039.0	608439.0
Pba-ABir_004-Ex1-10H-lcwgs-1-1.clmp.fp2_r1_screen	809.0	4309.0	557.0	322.0	249.0	59.0	59.0	24.0	0.0	0.0	14186.0	373551.0
Pba-ABir_004-Ex1-10H-lcwgs-1-1.clmp.fp2_r2_screen	792.0	4297.0	565.0	368.0	240.0	83.0	71.0	28.0	0.0	0.0	13972.0	373709.0
Pba-ABir_005-Ex1-11H-lcwgs-1-1.clmp.fp2_r1_screen	1541.0	10720.0	1133.0	837.0	640.0	140.0	126.0	54.0	2.0	0.0	39513.0	1099419.0
Pba-ABir_005-Ex1-11H-lcwgs-1-1.clmp.fp2_r2_screen	1514.0	10777.0	1119.0	861.0	614.0	120.0	119.0	58.0	4.0	0.0	39289.0	1099650.0
Pba-ABir_006-Ex1-12H-lcwgs-1-1.clmp.fp2_r1_screen	2632.0	10487.0	1254.0	888.0	684.0	173.0	148.0	50.0	1.0	0.0	34507.0	1259059.0
Pba-ABir_006-Ex1-12H-lcwgs-1-1.clmp.fp2_r2_screen	2645.0	10302.0	1218.0	849.0	652.0	151.0	143.0	54.0	2.0	0.0	34415.0	1259452.0
Pba-ABir_007-Ex1-5B-lcwgs-1-1.clmp.fp2_r1_screen	11799.0	30934.0	4005.0	2883.0	2240.0	389.0	356.0	236.0	9.0	0.0	169020.0	3165467.0
Pba-ABir_007-Ex1-5B-lcwgs-1-1.clmp.fp2_r2_screen	11746.0	31150.0	4110.0	2815.0	2218.0	337.0	353.0	229.0	3.0	0.0	166878.0	3167499.0
Pba-ABir_009-Ex1-5D-lcwgs-1-1.clmp.fp2_r1_screen	9046.0	23816.0	2973.0	2196.0	1342.0	329.0	324.0	159.0	9.0	0.0	91801.0	2411255.0
Pba-ABir_009-Ex1-5D-lcwgs-1-1.clmp.fp2_r2_screen	8915.0	23844.0	2963.0	2080.0	1287.0	329.0	312.0	163.0	5.0	0.0	91080.0	2412272.0
Pba-ABir_010-Ex1-5E-lcwgs-1-1.clmp.fp2_r1_screen	38745.0	29446.0	6479.0	2826.0	1582.0	406.0	386.0	247.0	4.0	0.0	172818.0	2078293.0
Pba-ABir_010-Ex1-5E-lcwgs-1-1.clmp.fp2_r2_screen	38217.0	29426.0	6646.0	2792.0	1589.0	439.0	374.0	205.0	4.0	0.0	171848.0	2079692.0
Pba-ABir_011-Ex1-5F-lcwgs-1-1.clmp.fp2_r1_screen	17412.0	21875.0	3625.0	2120.0	1294.0	318.0	293.0	128.0	2.0	0.0	67675.0	2079165.0
Pba-ABir_011-Ex1-5F-lcwgs-1-1.clmp.fp2_r2_screen	17239.0	21944.0	3595.0	2132.0	1273.0	322.0	284.0	133.0	6.0	0.0	67156.0	2079823.0
Pba-ABir_012-Ex1-5G-lcwgs-1-1.clmp.fp2_r1_screen	32343.0	27897.0	4731.0	2549.0	1677.0	403.0	379.0	181.0	5.0	0.0	171832.0	1675569.0
Pba-ABir_012-Ex1-5G-lcwgs-1-1.clmp.fp2_r2_screen	32178.0	28073.0	4754.0	2536.0	1704.0	426.0	325.0	182.0	2.0	0.0	169708.0	1677678.0
Pba-ABir_013-Ex1-5H-lcwgs-1-1.clmp.fp2_r1_screen	2181.0	11491.0	1483.0	1019.0	739.0	146.0	115.0	56.0	0.0	0.0	39120.0	1195863.0
Pba-ABir_013-Ex1-5H-lcwgs-1-1.clmp.fp2_r2_screen	2188.0	11430.0	1554.0	1055.0	759.0	142.0	123.0	61.0	4.0	0.0	39034.0	1195863.0
Pba-ABir_014-Ex1-6A-lcwgs-1-1.clmp.fp2_r1_screen	15315.0	32607.0	3652.0	2973.0	1583.0	433.0	442.0	138.0	8.0	0.0	107036.0	2975132.0
Pba-ABir_014-Ex1-6A-lcwgs-1-1.clmp.fp2_r2_screen	15174.0	32575.0	3763.0	2969.0	1650.0	457.0	474.0	167.0	0.0	0.0	106330.0	2975760.0
Pba-ABur_001-Ex1-1A-lcwgs-1-1.clmp.fp2_r1_screen	733.0	4066.0	465.0	348.0	234.0	68.0	88.0	26.0	1.0	0.0	11929.0	453364.0
Pba-ABur_001-Ex1-1A-lcwgs-1-1.clmp.fp2_r2_screen	722.0	4038.0	488.0	350.0	248.0	75.0	68.0	19.0	2.0	0.0	11854.0	453458.0
Pba-ABur_002-Ex1-2A-lcwgs-1-1.clmp.fp2_r1_screen	1595.0	5533.0	698.0	515.0	380.0	88.0	76.0	37.0	2.0	0.0	18056.0	750519.0
Pba-ABur_002-Ex1-2A-lcwgs-1-1.clmp.fp2_r2_screen	1565.0	5545.0	723.0	487.0	373.0	86.0	81.0	27.0	2.0	0.0	17857.0	750753.0
Pba-ABur_003-Ex1-3A-lcwgs-1-1.clmp.fp2_r1_screen	1596.0	6620.0	803.0	609.0	444.0	78.0	95.0	44.0	2.0	0.0	20934.0	803645.0
Pba-ABur_003-Ex1-3A-lcwgs-1-1.clmp.fp2_r2_screen	1657.0	6582.0	791.0	566.0	449.0	100.0	82.0	49.0	1.0	0.0	20948.0	803645.0
Pba-ABur_004-Ex1-4A-lcwgs-1-1.clmp.fp2_r1_screen	665.0	4189.0	482.0	350.0	292.0	69.0	79.0	15.0	1.0	0.0	10521.0	548153.0
