#BaseNum	Match1	Sub1	Del1	Ins1	N1	Other1
1	0.97710	0.02058	0.00000	0.00000	0.00000	0.00232
2	0.97505	0.02264	0.00000	0.00000	0.00000	0.00232
3	0.98199	0.01569	0.00000	0.00000	0.00000	0.00232
4	0.98251	0.01518	0.00000	0.00000	0.00000	0.00232
5	0.98482	0.01286	0.00000	0.00000	0.00000	0.00232
6	0.98919	0.00900	0.00000	0.00000	0.00000	0.00180
7	0.98739	0.01055	0.00000	0.00026	0.00000	0.00180
8	0.98482	0.01286	0.00026	0.00051	0.00000	0.00180
9	0.98405	0.01338	0.00000	0.00077	0.00000	0.00180
10	0.98662	0.01106	0.00000	0.00051	0.00000	0.00180
11	0.98714	0.01003	0.00000	0.00103	0.00000	0.00180
12	0.98842	0.00900	0.00000	0.00077	0.00000	0.00180
13	0.98714	0.01055	0.00026	0.00051	0.00000	0.00180
14	0.98534	0.01261	0.00026	0.00026	0.00000	0.00180
15	0.99048	0.00720	0.00000	0.00077	0.00000	0.00154
16	0.98817	0.00952	0.00000	0.00077	0.00000	0.00154
17	0.98945	0.00849	0.00026	0.00103	0.00000	0.00103
18	0.98894	0.00875	0.00000	0.00129	0.00000	0.00103
19	0.98919	0.00849	0.00000	0.00129	0.00000	0.00103
20	0.98971	0.00823	0.00026	0.00103	0.00000	0.00103
21	0.99048	0.00720	0.00000	0.00129	0.00000	0.00103
22	0.99074	0.00746	0.00000	0.00077	0.00000	0.00103
23	0.99100	0.00720	0.00026	0.00077	0.00000	0.00103
24	0.99254	0.00566	0.00000	0.00077	0.00000	0.00103
25	0.98971	0.00849	0.00000	0.00077	0.00000	0.00103
26	0.98868	0.00900	0.00000	0.00129	0.00000	0.00103
27	0.99202	0.00592	0.00000	0.00103	0.00000	0.00103
28	0.98945	0.00900	0.00000	0.00051	0.00000	0.00103
29	0.99151	0.00669	0.00000	0.00077	0.00000	0.00103
30	0.99280	0.00617	0.00026	0.00000	0.00000	0.00103
31	0.99383	0.00515	0.00026	0.00000	0.00000	0.00103
32	0.99048	0.00798	0.00000	0.00051	0.00000	0.00103
33	0.99177	0.00669	0.00000	0.00051	0.00000	0.00103
34	0.99149	0.00722	0.00000	0.00026	0.00000	0.00103
35	0.98994	0.00877	0.00026	0.00026	0.00000	0.00103
36	0.99019	0.00852	0.00077	0.00026	0.00000	0.00103
37	0.99095	0.00801	0.00000	0.00000	0.00000	0.00103
38	0.99016	0.00854	0.00000	0.00026	0.00000	0.00104
39	0.99325	0.00597	0.00000	0.00000	0.00000	0.00078
40	0.99245	0.00677	0.00052	0.00000	0.00000	0.00078
