#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	2373973	2167287	91.29	2876	0.12	596	0.03	14033	0.59	189181	7.97
Ecoli	2373973	2373537	99.98	0	0.00	0	0.00	26	0.00	410	0.02
PhiX	2373973	2373973	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	2373973	2373973	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	2373973	2311425	97.36	5	0.00	1	0.00	605	0.03	61937	2.61
Bacteria_24k	2373973	2228867	93.88	971	0.04	7750	0.33	6617	0.28	129768	5.47
Protists_1k	2373973	2111684	88.94	14910	0.63	29578	1.25	4652	0.20	213149	8.98
Viruses	2373973	2235354	94.16	145	0.01	56	0.00	6153	0.26	132265	5.57
Fungi_RefSeq_release	2373973	2173856	91.57	1843	0.08	392	0.02	14361	0.60	183521	7.73
Coral	2373973	2226099	93.78	198	0.01	110	0.00	10515	0.44	137051	5.77
Bird	2373973	2209384	93.07	1029	0.04	130	0.01	12841	0.54	150589	6.34
Plant	2373973	2212071	93.18	847	0.04	195	0.01	11683	0.49	149177	6.28

%Hit_no_genomes: 88.04
