#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	1970407	1808303	91.77	2106	0.11	439	0.02	11004	0.56	148555	7.54
Ecoli	1970407	1970309	100.00	0	0.00	0	0.00	9	0.00	89	0.00
PhiX	1970407	1970407	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	1970407	1970400	100.00	0	0.00	0	0.00	0	0.00	7	0.00
Vectors	1970407	1919867	97.43	1	0.00	0	0.00	550	0.03	49989	2.54
Bacteria_24k	1970407	1861143	94.45	576	0.03	2575	0.13	5494	0.28	100619	5.11
Protists_1k	1970407	1767298	89.68	10989	0.56	21991	1.12	3285	0.17	166844	8.47
Viruses	1970407	1861935	94.50	83	0.00	28	0.00	4841	0.25	103520	5.25
Fungi_RefSeq_release	1970407	1813542	92.04	1295	0.07	287	0.01	10892	0.55	144391	7.33
Coral	1970407	1854623	94.12	168	0.01	99	0.01	8446	0.43	107071	5.43
Bird	1970407	1841466	93.46	749	0.04	97	0.00	10080	0.51	118015	5.99
Plant	1970407	1842279	93.50	614	0.03	147	0.01	9152	0.46	118215	6.00

%Hit_no_genomes: 89.06
