#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	2546706	2244267	88.12	1942	0.08	413	0.02	10990	0.43	289094	11.35
Ecoli	2546706	2546671	100.00	0	0.00	0	0.00	8	0.00	27	0.00
PhiX	2546706	2546706	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	2546706	2546687	100.00	0	0.00	0	0.00	6	0.00	13	0.00
Vectors	2546706	2449901	96.20	4	0.00	0	0.00	566	0.02	96235	3.78
Bacteria_24k	2546706	2301917	90.39	1860	0.07	2929	0.12	7875	0.31	232125	9.11
Protists_1k	2546706	2203436	86.53	10268	0.40	20226	0.79	4110	0.16	308666	12.12
Viruses	2546706	2306516	90.58	91	0.00	27	0.00	6684	0.26	233388	9.16
Fungi_RefSeq_release	2546706	2247251	88.23	1405	0.06	277	0.01	11122	0.44	286651	11.26
Coral	2546706	2293649	90.06	194	0.01	107	0.00	10680	0.42	242076	9.51
Bird	2546706	2283446	89.66	675	0.03	78	0.00	11340	0.45	251167	9.86
Plant	2546706	2282889	89.63	520	0.02	158	0.01	10318	0.41	252821	9.93

%Hit_no_genomes: 85.97
