#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	609261	563015	92.42	623	0.10	143	0.02	2757	0.45	42723	7.01
Ecoli	609261	609261	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	609261	609261	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	609261	609261	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	609261	592876	97.31	0	0.00	0	0.00	160	0.03	16225	2.66
Bacteria_24k	609261	577700	94.81	98	0.02	119	0.02	1508	0.25	29836	4.90
Protists_1k	609261	552574	90.69	2847	0.47	5657	0.93	895	0.15	47288	7.76
Viruses	609261	577209	94.75	29	0.00	10	0.00	1290	0.21	30723	5.04
Fungi_RefSeq_release	609261	564630	92.67	357	0.06	82	0.01	2836	0.47	41356	6.79
Coral	609261	575078	94.39	63	0.01	32	0.01	2200	0.36	31888	5.23
Bird	609261	571160	93.75	296	0.05	28	0.00	2674	0.44	35103	5.76
Plant	609261	572596	93.98	168	0.03	49	0.01	2579	0.42	33869	5.56

%Hit_no_genomes: 90.18
