#BaseNum	Match1	Sub1	Del1	Ins1	N1	Other1
1	0.99559	0.00230	0.00000	0.00000	0.00000	0.00211
2	0.99527	0.00262	0.00000	0.00000	0.00000	0.00211
3	0.99540	0.00249	0.00000	0.00000	0.00000	0.00211
4	0.99591	0.00205	0.00000	0.00000	0.00000	0.00205
5	0.99565	0.00236	0.00000	0.00000	0.00000	0.00198
6	0.99578	0.00224	0.00000	0.00000	0.00000	0.00198
7	0.99610	0.00192	0.00013	0.00000	0.00000	0.00198
8	0.99559	0.00249	0.00000	0.00000	0.00000	0.00192
9	0.99565	0.00230	0.00019	0.00013	0.00000	0.00192
10	0.99610	0.00192	0.00000	0.00006	0.00000	0.00192
11	0.99629	0.00173	0.00006	0.00006	0.00000	0.00192
12	0.99604	0.00192	0.00000	0.00013	0.00000	0.00192
13	0.99623	0.00173	0.00006	0.00013	0.00000	0.00192
14	0.99623	0.00179	0.00000	0.00013	0.00000	0.00185
15	0.99642	0.00160	0.00000	0.00013	0.00000	0.00185
16	0.99642	0.00173	0.00000	0.00013	0.00000	0.00173
17	0.99642	0.00185	0.00000	0.00006	0.00000	0.00166
18	0.99629	0.00192	0.00000	0.00013	0.00000	0.00166
19	0.99629	0.00205	0.00006	0.00013	0.00000	0.00153
20	0.99693	0.00147	0.00000	0.00006	0.00000	0.00153
21	0.99623	0.00224	0.00000	0.00006	0.00000	0.00147
22	0.99706	0.00134	0.00006	0.00013	0.00000	0.00147
23	0.99668	0.00179	0.00006	0.00006	0.00000	0.00147
24	0.99636	0.00211	0.00000	0.00006	0.00000	0.00147
25	0.99680	0.00173	0.00006	0.00006	0.00000	0.00141
26	0.99757	0.00115	0.00000	0.00000	0.00000	0.00128
27	0.99732	0.00147	0.00006	0.00000	0.00000	0.00121
28	0.99661	0.00217	0.00000	0.00000	0.00000	0.00121
29	0.99668	0.00205	0.00000	0.00006	0.00000	0.00121
30	0.99725	0.00147	0.00013	0.00013	0.00000	0.00115
31	0.99719	0.00173	0.00000	0.00000	0.00000	0.00109
32	0.99776	0.00115	0.00000	0.00000	0.00000	0.00109
33	0.99783	0.00115	0.00006	0.00000	0.00000	0.00102
34	0.99732	0.00166	0.00000	0.00000	0.00000	0.00102
35	0.99725	0.00173	0.00000	0.00000	0.00000	0.00102
36	0.99680	0.00217	0.00013	0.00000	0.00000	0.00102
37	0.99763	0.00134	0.00000	0.00000	0.00000	0.00102
38	0.99699	0.00192	0.00006	0.00006	0.00000	0.00102
39	0.99744	0.00154	0.00006	0.00006	0.00000	0.00096
40	0.99699	0.00198	0.00000	0.00006	0.00000	0.00096
41	0.99744	0.00173	0.00000	0.00000	0.00000	0.00083
42	0.99801	0.00115	0.00000	0.00000	0.00000	0.00083
43	0.99744	0.00173	0.00000	0.00000	0.00000	0.00083
44	0.99789	0.00122	0.00000	0.00006	0.00000	0.00083
45	0.99782	0.00154	0.00013	0.00000	0.00000	0.00064
46	0.99814	0.00128	0.00013	0.00000	0.00000	0.00058
47	0.99827	0.00128	0.00000	0.00000	0.00000	0.00045
48	0.99840	0.00115	0.00000	0.00000	0.00000	0.00045
49	0.99840	0.00122	0.00000	0.00000	0.00000	0.00038
50	0.99827	0.00135	0.00000	0.00000	0.00000	0.00038
51	0.99795	0.00167	0.00019	0.00000	0.00000	0.00038
52	0.99859	0.00103	0.00000	0.00000	0.00000	0.00039
53	0.99795	0.00167	0.00013	0.00000	0.00000	0.00039
54	0.99788	0.00173	0.00006	0.00000	0.00000	0.00039
55	0.99827	0.00135	0.00006	0.00000	0.00000	0.00039
56	0.99826	0.00135	0.00000	0.00000	0.00000	0.00039
57	0.99756	0.00206	0.00000	0.00000	0.00000	0.00039
58	0.99826	0.00141	0.00013	0.00000	0.00000	0.00032
59	0.99859	0.00109	0.00000	0.00000	0.00000	0.00032
60	0.99781	0.00193	0.00013	0.00000	0.00000	0.00026
61	0.99794	0.00187	0.00000	0.00000	0.00000	0.00019
62	0.99781	0.00206	0.00000	0.00000	0.00000	0.00013
63	0.99820	0.00167	0.00000	0.00000	0.00000	0.00013
64	0.99807	0.00180	0.00000	0.00000	0.00000	0.00013
65	0.99820	0.00180	0.00000	0.00000	0.00000	0.00000
66	0.99858	0.00142	0.00000	0.00000	0.00000	0.00000
67	0.99839	0.00161	0.00006	0.00000	0.00000	0.00000
68	0.99807	0.00193	0.00000	0.00000	0.00000	0.00000
69	0.99800	0.00200	0.00013	0.00000	0.00000	0.00000
70	0.99748	0.00252	0.00000	0.00000	0.00000	0.00000
71	0.99755	0.00245	0.00000	0.00000	0.00000	0.00000
72	0.99806	0.00194	0.00000	0.00000	0.00000	0.00000
73	0.99767	0.00226	0.00006	0.00006	0.00000	0.00000
74	0.99767	0.00233	0.00000	0.00000	0.00000	0.00000
75	0.99774	0.00226	0.00000	0.00000	0.00000	0.00000
76	0.99851	0.00149	0.00000	0.00000	0.00000	0.00000
77	0.99832	0.00168	0.00006	0.00000	0.00000	0.00000
78	0.99696	0.00304	0.00006	0.00000	0.00000	0.00000
79	0.99871	0.00129	0.00000	0.00000	0.00000	0.00000
