Sample	Protists_1k	Bacteria_24k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Goy-APnd_001-Ex1-1A-lcwgs-1-T.clmp.fp2_r1_screen	3405.0	1795.0	528.0	336.0	209.0	81.0	69.0	24.0	1.0	0.0	18121.0	487281.0
Goy-APnd_001-Ex1-1A-lcwgs-1-T.clmp.fp2_r2_screen	3334.0	1779.0	593.0	344.0	201.0	75.0	76.0	17.0	2.0	0.0	18148.0	487281.0
Goy-APnd_002-Ex1-1B-lcwgs-1-T.clmp.fp2_r1_screen	7751.0	4712.0	1867.0	872.0	609.0	183.0	163.0	35.0	2.0	0.0	30567.0	1383226.0
Goy-APnd_002-Ex1-1B-lcwgs-1-T.clmp.fp2_r2_screen	7709.0	4695.0	1866.0	877.0	663.0	154.0	173.0	43.0	0.0	0.0	30724.0	1383083.0
Goy-APnd_003-Ex1-1C-lcwgs-1-T.clmp.fp2_r1_screen	14037.0	8431.0	2825.0	1473.0	939.0	274.0	328.0	61.0	6.0	0.0	57972.0	2222351.0
Goy-APnd_003-Ex1-1C-lcwgs-1-T.clmp.fp2_r2_screen	14137.0	8326.0	2800.0	1411.0	1035.0	304.0	317.0	64.0	6.0	0.0	58638.0	2221659.0
Goy-APnd_004-Ex1-1D-lcwgs-1-T.clmp.fp2_r1_screen	11056.0	2569.0	1907.0	1136.0	786.0	186.0	200.0	46.0	3.0	0.0	39400.0	1852317.0
Goy-APnd_004-Ex1-1D-lcwgs-1-T.clmp.fp2_r2_screen	10988.0	2593.0	1888.0	1157.0	763.0	203.0	206.0	37.0	1.0	0.0	39644.0	1852126.0
Goy-APnd_005-Ex1-1E-lcwgs-1-T.clmp.fp2_r1_screen	4981.0	2759.0	975.0	528.0	423.0	115.0	110.0	19.0	0.0	0.0	16851.0	828214.0
Goy-APnd_005-Ex1-1E-lcwgs-1-T.clmp.fp2_r2_screen	4942.0	2631.0	1007.0	536.0	371.0	139.0	135.0	26.0	0.0	0.0	17145.0	828043.0
Goy-APnd_006-Ex1-1F-lcwgs-1-T.clmp.fp2_r1_screen	8164.0	2387.0	1433.0	851.0	551.0	152.0	156.0	53.0	1.0	0.0	34265.0	1351781.0
Goy-APnd_006-Ex1-1F-lcwgs-1-T.clmp.fp2_r2_screen	8107.0	2336.0	1482.0	826.0	566.0	161.0	149.0	52.0	0.0	0.0	34194.0	1351921.0
Goy-APnd_007-Ex1-1G-lcwgs-1-T.clmp.fp2_r1_screen	7099.0	2349.0	2635.0	695.0	637.0	118.0	125.0	43.0	1.0	0.0	26541.0	1161028.0
Goy-APnd_007-Ex1-1G-lcwgs-1-T.clmp.fp2_r2_screen	6970.0	2370.0	2605.0	699.0	605.0	119.0	115.0	37.0	2.0	0.0	26721.0	1161028.0
Goy-APnd_008-Ex1-1H-lcwgs-1-T.clmp.fp2_r1_screen	2979.0	521.0	533.0	331.0	184.0	53.0	36.0	13.0	0.0	0.0	11591.0	484999.0
Goy-APnd_008-Ex1-1H-lcwgs-1-T.clmp.fp2_r2_screen	3037.0	542.0	562.0	306.0	190.0	45.0	45.0	18.0	3.0	0.0	11693.0	484799.0
Goy-APnd_009-Ex1-2A-lcwgs-1-T.clmp.fp2_r1_screen	2068.0	524.0	483.0	231.0	158.0	41.0	50.0	6.0	0.0	0.0	6746.0	378619.0
Goy-APnd_009-Ex1-2A-lcwgs-1-T.clmp.fp2_r2_screen	2089.0	497.0	483.0	243.0	155.0	43.0	40.0	11.0	2.0	0.0	6783.0	378580.0
Goy-APnd_010-Ex1-2B-lcwgs-1-T.clmp.fp2_r1_screen	8960.0	1484.0	1630.0	935.0	689.0	167.0	158.0	31.0	5.0	0.0	29047.0	1602158.0
Goy-APnd_010-Ex1-2B-lcwgs-1-T.clmp.fp2_r2_screen	8842.0	1451.0	1477.0	902.0	687.0	173.0	161.0	46.0	3.0	0.0	29364.0	1602158.0
Goy-APnd_011-Ex1-2C-lcwgs-1-T.clmp.fp2_r1_screen	9221.0	2581.0	1514.0	1013.0	686.0	164.0	156.0	48.0	0.0	0.0	34168.0	1484521.0
Goy-APnd_011-Ex1-2C-lcwgs-1-T.clmp.fp2_r2_screen	9133.0	2603.0	1572.0	907.0	637.0	143.0	165.0	44.0	6.0	0.0	34188.0	1484674.0
Goy-APnd_012-Ex1-2D-lcwgs-1-T.clmp.fp2_r1_screen	9155.0	1010.0	1623.0	901.0	673.0	191.0	162.0	27.0	2.0	0.0	25587.0	1732334.0
Goy-APnd_012-Ex1-2D-lcwgs-1-T.clmp.fp2_r2_screen	9060.0	986.0	1606.0	894.0	644.0	193.0	141.0	26.0	5.0	0.0	25776.0	1732334.0
Goy-APnd_013-Ex1-2E-lcwgs-1-T.clmp.fp2_r1_screen	2845.0	1037.0	462.0	274.0	168.0	50.0	42.0	8.0	1.0	0.0	13522.0	497248.0
Goy-APnd_013-Ex1-2E-lcwgs-1-T.clmp.fp2_r2_screen	2889.0	1043.0	450.0	244.0	204.0	43.0	53.0	11.0	2.0	0.0	13419.0	497299.0
Goy-APnd_014-Ex1-2F-lcwgs-1-T.clmp.fp2_r1_screen	11851.0	3143.0	1809.0	1306.0	800.0	179.0	220.0	59.0	2.0	0.0	47151.0	1771040.0
Goy-APnd_014-Ex1-2F-lcwgs-1-T.clmp.fp2_r2_screen	12085.0	3051.0	1908.0	1251.0	771.0	208.0	192.0	54.0	2.0	0.0	47182.0	1770856.0
Goy-APnd_015-Ex1-2G-lcwgs-1-T.clmp.fp2_r1_screen	8572.0	1666.0	1330.0	834.0	575.0	151.0	146.0	30.0	2.0	0.0	29587.0	1406162.0
Goy-APnd_015-Ex1-2G-lcwgs-1-T.clmp.fp2_r2_screen	8615.0	1604.0	1380.0	873.0	564.0	153.0	125.0	42.0	3.0	0.0	29534.0	1406162.0
Goy-APnd_016-Ex1-2H-lcwgs-1-T.clmp.fp2_r1_screen	10341.0	1416.0	1642.0	1003.0	718.0	150.0	147.0	49.0	7.0	0.0	42018.0	1517578.0
Goy-APnd_016-Ex1-2H-lcwgs-1-T.clmp.fp2_r2_screen	10390.0	1368.0	1624.0	1056.0	658.0	175.0	183.0	59.0	5.0	0.0	42130.0	1517421.0
Goy-APnd_017-Ex1-3A-lcwgs-1-T.clmp.fp2_r1_screen	4196.0	1964.0	863.0	447.0	330.0	71.0	82.0	20.0	3.0	0.0	16909.0	767614.0
