Sample	total_reads	Human counts	Human percentage	Ecoli counts	Ecoli percentage	PhiX counts	PhiX percentage	Contamnts_Adaptrs counts	Contamnts_Adaptrs percentage	Vectors counts	Vectors percentage	Bacteria_24k counts	Bacteria_24k percentage	Protists_1k counts	Protists_1k percentage	Viruses counts	Viruses percentage	Fungi_RefSeq_release counts	Fungi_RefSeq_release percentage	Coral counts	Coral percentage	Bird counts	Bird percentage	Plant counts	Plant percentage	No hits counts	No hits percentage
Goy-APnd_001-Ex1-1A-lcwgs-1-T.clmp.fp2_r1_screen	511850	16424.0	3.21	2.0	0.0	0.0	0.0	6.0	0.0	5532.0	1.08	11303.0	2.21	20923.0	4.09	9916.0	1.9300000000000002	15372.0	3.0100000000000002	10391.0	2.02	12711.0	2.48	11806.0	2.3000000000000003	487281	95.2
Goy-APnd_001-Ex1-1A-lcwgs-1-T.clmp.fp2_r2_screen	511850	16534.0	3.23	1.0	0.0	0.0	0.0	6.0	0.0	5579.0	1.09	11362.0	2.2199999999999998	20923.0	4.09	9945.0	1.94	15511.0	3.02	10443.0	2.04	12759.0	2.49	11817.0	2.31	487281	95.2
Goy-APnd_002-Ex1-1B-lcwgs-1-T.clmp.fp2_r1_screen	1429987	27315.0	1.9100000000000001	10.0	0.0	0.0	0.0	15.0	0.0	8032.0	0.56	19722.0	1.38	36823.0	2.5700000000000003	14480.0	1.01	24394.0	1.71	15692.0	1.0999999999999999	20099.0	1.41	17037.0	1.19	1383226	96.73
Goy-APnd_002-Ex1-1B-lcwgs-1-T.clmp.fp2_r2_screen	1429987	27509.0	1.9400000000000002	12.0	0.0	0.0	0.0	7.0	0.0	8070.0	0.56	19940.0	1.4	36958.0	2.59	14618.0	1.02	24677.0	1.72	15830.0	1.1099999999999999	20308.0	1.42	17336.0	1.2200000000000002	1383083	96.72
Goy-APnd_003-Ex1-1C-lcwgs-1-T.clmp.fp2_r1_screen	2308697	51260.0	2.2199999999999998	18.0	0.0	0.0	0.0	21.0	0.0	14279.0	0.62	36337.0	1.57	69541.0	3.02	27276.0	1.1800000000000002	47310.0	2.04	30182.0	1.3	38192.0	1.6500000000000001	33952.0	1.47	2222351	96.26
Goy-APnd_003-Ex1-1C-lcwgs-1-T.clmp.fp2_r2_screen	2308697	51726.0	2.2399999999999998	23.0	0.0	0.0	0.0	6.0	0.0	14135.0	0.62	36352.0	1.58	70129.0	3.04	27214.0	1.1800000000000002	47546.0	2.06	30360.0	1.31	38399.0	1.66	34155.0	1.48	2221659	96.23
Goy-APnd_004-Ex1-1D-lcwgs-1-T.clmp.fp2_r1_screen	1909606	35581.0	1.87	6.0	0.0	0.0	0.0	37.0	0.0	8371.0	0.44	19140.0	1.0	48777.0	2.56	17532.0	0.9099999999999999	32779.0	1.72	19906.0	1.04	26178.0	1.37	22471.0	1.1800000000000002	1852317	97.0
Goy-APnd_004-Ex1-1D-lcwgs-1-T.clmp.fp2_r2_screen	1909606	35922.0	1.8800000000000001	3.0	0.0	0.0	0.0	10.0	0.0	8452.0	0.44	19247.0	1.01	48924.0	2.56	17533.0	0.9099999999999999	33017.0	1.73	19876.0	1.04	26308.0	1.3800000000000001	22733.0	1.19	1852126	96.99
Goy-APnd_005-Ex1-1E-lcwgs-1-T.clmp.fp2_r1_screen	854975	14546.0	1.71	2.0	0.0	0.0	0.0	9.0	0.0	2853.0	0.33	9943.0	1.17	20855.0	2.43	6712.0	0.7899999999999999	13024.0	1.52	7642.0	0.89	10379.0	1.21	8483.0	0.98	828214	96.87
Goy-APnd_005-Ex1-1E-lcwgs-1-T.clmp.fp2_r2_screen	854975	14853.0	1.7399999999999998	3.0	0.0	0.0	0.0	6.0	0.0	2999.0	0.35000000000000003	10086.0	1.1800000000000002	21100.0	2.47	6814.0	0.7899999999999999	13237.0	1.55	7877.0	0.91	10605.0	1.24	8763.0	1.02	828043	96.85
