Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Ecoli	Multiple Genomes	No hits
Hte-ABur_001-Ex1-1A-lcwgs-1-T.clmp.fp2_r1_screen	3989.0	378.0	97.0	25.0	9.0	3.0	0.0	0.0	0.0	0.0	0.0	5381.0	48110.0
Hte-ABur_001-Ex1-1A-lcwgs-1-T.clmp.fp2_r2_screen	3886.0	373.0	99.0	26.0	9.0	1.0	5.0	2.0	0.0	0.0	0.0	5296.0	48295.0
Hte-ABur_002-Ex1-1B-lcwgs-1-T.clmp.fp2_r1_screen	101.0	30.0	9.0	8.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	317.0	4998.0
Hte-ABur_002-Ex1-1B-lcwgs-1-T.clmp.fp2_r2_screen	114.0	36.0	8.0	7.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	314.0	4986.0
Hte-ABur_003-Ex1-1C-lcwgs-1-T.clmp.fp2_r1_screen	11321.0	579.0	293.0	34.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	7980.0	40170.0
Hte-ABur_003-Ex1-1C-lcwgs-1-T.clmp.fp2_r2_screen	11268.0	601.0	298.0	31.0	3.0	1.0	0.0	1.0	0.0	0.0	0.0	7698.0	40478.0
Hte-ABur_004-Ex1-1D-lcwgs-1-T.clmp.fp2_r1_screen	56891.0	10118.0	4014.0	1270.0	430.0	150.0	152.0	55.0	0.0	0.0	0.0	69782.0	1423604.0
Hte-ABur_004-Ex1-1D-lcwgs-1-T.clmp.fp2_r2_screen	56861.0	10034.0	3971.0	1211.0	418.0	132.0	144.0	50.0	2.0	0.0	0.0	69569.0	1424074.0
Hte-ABur_005-Ex1-1E-lcwgs-1-T.clmp.fp2_r1_screen	136.0	27.0	31.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	252.0	4876.0
Hte-ABur_005-Ex1-1E-lcwgs-1-T.clmp.fp2_r2_screen	152.0	36.0	32.0	9.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	234.0	4865.0
Hte-ABur_006-Ex1-1F-lcwgs-1-T.clmp.fp2_r1_screen	89.0	18.0	21.0	4.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	163.0	3018.0
Hte-ABur_006-Ex1-1F-lcwgs-1-T.clmp.fp2_r2_screen	84.0	21.0	22.0	4.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	164.0	3018.0
Hte-ABur_007-Ex1-1G-lcwgs-1-T.clmp.fp2_r1_screen	3888.0	205.0	246.0	23.0	2.0	2.0	0.0	1.0	0.0	0.0	0.0	2848.0	14068.0
Hte-ABur_007-Ex1-1G-lcwgs-1-T.clmp.fp2_r2_screen	3810.0	229.0	238.0	21.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	2834.0	14148.0
Hte-ABur_008-Ex1-1H-lcwgs-1-T.clmp.fp2_r1_screen	215.0	19.0	11.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	182.0	2070.0
Hte-ABur_008-Ex1-1H-lcwgs-1-T.clmp.fp2_r2_screen	217.0	16.0	11.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	162.0	2092.0
Hte-ABur_009-Ex1-2A-lcwgs-1-T.clmp.fp2_r1_screen	282.0	50.0	49.0	7.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	486.0	7334.0
Hte-ABur_009-Ex1-2A-lcwgs-1-T.clmp.fp2_r2_screen	286.0	50.0	51.0	5.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	479.0	7339.0
Hte-ABur_010-Ex1-2B-lcwgs-1-T.clmp.fp2_r1_screen	56.0	29.0	30.0	4.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	163.0	4382.0
Hte-ABur_010-Ex1-2B-lcwgs-1-T.clmp.fp2_r2_screen	46.0	21.0	34.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	157.0	4407.0
Hte-ABur_011-Ex1-2C-lcwgs-1-T.clmp.fp2_r1_screen	4929.0	1375.0	10251.0	136.0	36.0	545.0	8.0	9.0	0.0	0.0	0.0	9061.0	121430.0
Hte-ABur_011-Ex1-2C-lcwgs-1-T.clmp.fp2_r2_screen	4996.0	1370.0	10281.0	136.0	26.0	580.0	4.0	8.0	0.0	0.0	0.0	8757.0	121622.0
Hte-ABur_012-Ex1-2D-lcwgs-1-T.clmp.fp2_r1_screen	432.0	76.0	65.0	7.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	483.0	8708.0
Hte-ABur_012-Ex1-2D-lcwgs-1-T.clmp.fp2_r2_screen	404.0	59.0	66.0	9.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	498.0	8736.0
Hte-ABur_013-Ex1-2E-lcwgs-1-T.clmp.fp2_r1_screen	7521.0	2052.0	870.0	258.0	115.0	16.0	27.0	16.0	0.0	0.0	0.0	14128.0	379570.0
Hte-ABur_013-Ex1-2E-lcwgs-1-T.clmp.fp2_r2_screen	7439.0	2126.0	857.0	243.0	122.0	23.0	34.0	17.0	0.0	0.0	0.0	13980.0	379732.0
Hte-ABur_014-Ex1-2F-lcwgs-1-T.clmp.fp2_r1_screen	107.0	36.0	32.0	2.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	446.0	5455.0
Hte-ABur_014-Ex1-2F-lcwgs-1-T.clmp.fp2_r2_screen	127.0	35.0	32.0	3.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	455.0	5426.0
Hte-ABur_015-Ex1-2G-lcwgs-1-T.clmp.fp2_r1_screen	794.0	261.0	376.0	18.0	7.0	3.0	1.0	0.0	0.0	0.0	0.0	1436.0	18809.0
Hte-ABur_015-Ex1-2G-lcwgs-1-T.clmp.fp2_r2_screen	785.0	235.0	356.0	9.0	8.0	4.0	2.0	0.0	0.0	0.0	0.0	1378.0	18928.0
Hte-ABur_016-Ex1-2H-lcwgs-1-T.clmp.fp2_r1_screen	232.0	337.0	63.0	17.0	6.0	4.0	3.0	0.0	0.0	0.0	0.0	1059.0	26295.0
