Sample	total_reads	Human counts	Human percentage	Ecoli counts	Ecoli percentage	PhiX counts	PhiX percentage	Contamnts_Adaptrs counts	Contamnts_Adaptrs percentage	Vectors counts	Vectors percentage	Bacteria_24k counts	Bacteria_24k percentage	Protists_1k counts	Protists_1k percentage	Viruses counts	Viruses percentage	Fungi_RefSeq_release counts	Fungi_RefSeq_release percentage	Coral counts	Coral percentage	Bird counts	Bird percentage	Plant counts	Plant percentage	No hits counts	No hits percentage
Hte-ABur_001-Ex1-1A-lcwgs-1-T.clmp.fp2_r1_screen	57992	3087.0	5.31	10.0	0.02	0.0	0.0	83.0	0.14	148.0	0.26	8874.0	15.3	5700.0	9.82	2663.0	4.59	3195.0	5.52	2687.0	4.63	2836.0	4.89	2658.0	4.59	48110	82.96
Hte-ABur_001-Ex1-1A-lcwgs-1-T.clmp.fp2_r2_screen	57992	3070.0	5.289999999999999	12.0	0.02	0.0	0.0	89.0	0.15	165.0	0.29000000000000004	8697.0	14.990000000000002	5632.0	9.72	2630.0	4.54	3143.0	5.42	2670.0	4.6	2799.0	4.82	2626.0	4.53	48295	83.28
Hte-ABur_002-Ex1-1B-lcwgs-1-T.clmp.fp2_r1_screen	5466	229.0	4.1899999999999995	0.0	0.0	0.0	0.0	21.0	0.38	25.0	0.46	368.0	6.73	346.0	6.33	200.0	3.6500000000000004	256.0	4.69	191.0	3.5	209.0	3.83	189.0	3.46	4998	91.44
Hte-ABur_002-Ex1-1B-lcwgs-1-T.clmp.fp2_r2_screen	5466	227.0	4.16	0.0	0.0	0.0	0.0	22.0	0.4	27.0	0.5	384.0	7.029999999999999	348.0	6.37	205.0	3.75	243.0	4.45	184.0	3.37	204.0	3.73	183.0	3.34	4986	91.22
Hte-ABur_003-Ex1-1C-lcwgs-1-T.clmp.fp2_r1_screen	60379	1586.0	2.63	26.0	0.04	0.0	0.0	82.0	0.14	148.0	0.24	19117.0	31.66	8517.0	14.1	1273.0	2.11	1547.0	2.5700000000000003	1137.0	1.8800000000000001	1170.0	1.94	1150.0	1.91	40170	66.53
Hte-ABur_003-Ex1-1C-lcwgs-1-T.clmp.fp2_r2_screen	60379	1580.0	2.6100000000000003	16.0	0.03	0.0	0.0	82.0	0.14	165.0	0.27	18785.0	31.11	8256.0	13.66	1272.0	2.11	1558.0	2.58	1140.0	1.8900000000000001	1172.0	1.94	1146.0	1.9000000000000001	40478	67.04
Hte-ABur_004-Ex1-1D-lcwgs-1-T.clmp.fp2_r1_screen	1566466	48774.0	3.1	88.0	0.0	0.0	0.0	1432.0	0.09	2991.0	0.19	110089.0	7.03	78584.0	5.01	33049.0	2.11	48048.0	3.07	34523.0	2.1999999999999997	39075.0	2.49	34017.0	2.17	1423604	90.88
Hte-ABur_004-Ex1-1D-lcwgs-1-T.clmp.fp2_r2_screen	1566466	48548.0	3.1	106.0	0.01	0.0	0.0	1491.0	0.1	3098.0	0.2	109780.0	7.01	78341.0	5.0	32966.0	2.1	48083.0	3.07	34403.0	2.1999999999999997	38967.0	2.48	33906.0	2.17	1424074	90.91
Hte-ABur_005-Ex1-1E-lcwgs-1-T.clmp.fp2_r1_screen	5329	176.0	3.3	0.0	0.0	0.0	0.0	1.0	0.02	7.0	0.13	343.0	6.43	276.0	5.18	116.0	2.17	159.0	2.99	120.0	2.25	130.0	2.45	116.0	2.17	4876	91.5
Hte-ABur_005-Ex1-1E-lcwgs-1-T.clmp.fp2_r2_screen	5329	177.0	3.32	0.0	0.0	0.0	0.0	2.0	0.04	7.0	0.13	350.0	6.569999999999999	266.0	4.99	124.0	2.33	161.0	3.03	120.0	2.25	130.0	2.44	117.0	2.19	4865	91.31
