Sample	Passed Filter	Low Quality	Too Many N	Too Short	Too Long
Lva-APnd_040-Ex1-2C-lcwgs-1-1.clmp.r1r2_fastp	1454.0	0.0	0.0	58.0	0.0
Lva-APnd_041-Ex1-2D-lcwgs-1-1.clmp.r1r2_fastp	2544.0	0.0	0.0	100.0	0.0
Lva-APnd_042-Ex1-2E-lcwgs-1-1.clmp.r1r2_fastp	964.0	0.0	0.0	34.0	0.0
Lva-APnd_043-Ex1-2F-lcwgs-1-1.clmp.r1r2_fastp	720.0	0.0	0.0	28.0	0.0
Lva-APnd_044-Ex1-2G-lcwgs-1-1.clmp.r1r2_fastp	1858.0	0.0	0.0	62.0	0.0
Lva-APnd_045-Ex1-2H-lcwgs-1-1.clmp.r1r2_fastp	1444.0	0.0	0.0	54.0	0.0
Lva-APnd_046-Ex1-3A-lcwgs-1-1.clmp.r1r2_fastp	3870.0	0.0	0.0	124.0	0.0
Lva-APnd_047-Ex1-3B-lcwgs-1-1.clmp.r1r2_fastp	810.0	0.0	0.0	34.0	0.0
Lva-CPnd_001-Ex1-1A-lcwgs-2-1.clmp.r1r2_fastp	4565490.0	0.0	0.0	62352.0	0.0
Lva-CPnd_002-Ex1-2A-lcwgs-2-1.clmp.r1r2_fastp	3021326.0	0.0	0.0	43764.0	0.0
Lva-CPnd_003-Ex1-3A-lcwgs-2-1.clmp.r1r2_fastp	5300508.0	0.0	0.0	101494.0	0.0
Lva-CPnd_004-Ex1-4A-lcwgs-2-1.clmp.r1r2_fastp	5436640.0	0.0	0.0	91026.0	0.0
Lva-CPnd_005-Ex1-5A-lcwgs-2-1.clmp.r1r2_fastp	3737984.0	0.0	0.0	76710.0	0.0
Lva-CPnd_006-Ex1-6A-lcwgs-2-1.clmp.r1r2_fastp	423412.0	0.0	0.0	8662.0	0.0
Lva-CPnd_007-Ex1-7A-lcwgs-2-1.clmp.r1r2_fastp	2155012.0	0.0	0.0	46336.0	0.0
Lva-CPnd_008-Ex1-8A-lcwgs-2-1.clmp.r1r2_fastp	1874890.0	0.0	0.0	44442.0	0.0
Lva-CPnd_009-Ex1-9A-lcwgs-2-1.clmp.r1r2_fastp	3694052.0	0.0	0.0	89334.0	0.0
Lva-CPnd_010-Ex1-10A-lcwgs-2-1.clmp.r1r2_fastp	3235656.0	0.0	0.0	73874.0	0.0
Lva-CPnd_011-Ex1-11A-lcwgs-2-1.clmp.r1r2_fastp	5214294.0	0.0	0.0	103698.0	0.0
Lva-CPnd_012-Ex1-12A-lcwgs-2-1.clmp.r1r2_fastp	2583196.0	0.0	0.0	48008.0	0.0
Lva-CPnd_013-Ex1-1B-lcwgs-2-1.clmp.r1r2_fastp	6087724.0	0.0	0.0	103536.0	0.0
Lva-CPnd_014-Ex1-2B-lcwgs-2-1.clmp.r1r2_fastp	8643432.0	0.0	0.0	146426.0	0.0
Lva-CPnd_015-Ex1-3B-lcwgs-2-1.clmp.r1r2_fastp	8630760.0	0.0	0.0	152250.0	0.0
Lva-CPnd_016-Ex1-4B-lcwgs-2-1.clmp.r1r2_fastp	9234548.0	0.0	0.0	149540.0	0.0
Lva-CPnd_017-Ex1-5B-lcwgs-2-1.clmp.r1r2_fastp	7332562.0	0.0	0.0	140772.0	0.0
Lva-CPnd_018-Ex1-6B-lcwgs-2-1.clmp.r1r2_fastp	9573174.0	0.0	0.0	192186.0	0.0
Lva-CPnd_019-Ex1-7B-lcwgs-2-1.clmp.r1r2_fastp	7003702.0	0.0	0.0	126252.0	0.0
Lva-CPnd_020-Ex1-8B-lcwgs-2-1.clmp.r1r2_fastp	5655818.0	0.0	0.0	130300.0	0.0
Lva-CPnd_021-Ex1-9B-lcwgs-2-1.clmp.r1r2_fastp	6693554.0	0.0	0.0	151652.0	0.0
Lva-CPnd_022-Ex1-10B-lcwgs-2-1.clmp.r1r2_fastp	7243948.0	0.0	0.0	139342.0	0.0
Lva-CPnd_023-Ex1-11B-lcwgs-2-1.clmp.r1r2_fastp	8599286.0	0.0	0.0	195456.0	0.0
Lva-CPnd_024-Ex1-12B-lcwgs-2-1.clmp.r1r2_fastp	8714800.0	0.0	0.0	146370.0	0.0
Lva-CPnd_025-Ex1-1C-lcwgs-2-1.clmp.r1r2_fastp	4540922.0	0.0	0.0	76122.0	0.0
Lva-CPnd_026-Ex1-2C-lcwgs-2-1.clmp.r1r2_fastp	5082658.0	0.0	0.0	85528.0	0.0
Lva-CPnd_027-Ex1-3C-lcwgs-2-1.clmp.r1r2_fastp	3634006.0	0.0	0.0	79118.0	0.0
Lva-CPnd_028-Ex1-4C-lcwgs-2-1.clmp.r1r2_fastp	5830244.0	0.0	0.0	93274.0	0.0
Lva-CPnd_029-Ex1-5C-lcwgs-2-1.clmp.r1r2_fastp	4821394.0	0.0	0.0	95582.0	0.0
Lva-CPnd_030-Ex1-6C-lcwgs-2-1.clmp.r1r2_fastp	7578964.0	0.0	0.0	174166.0	0.0
Lva-CPnd_031-Ex1-7C-lcwgs-2-1.clmp.r1r2_fastp	3669478.0	0.0	0.0	56392.0	0.0
Lva-CPnd_032-Ex1-8C-lcwgs-2-1.clmp.r1r2_fastp	6817642.0	0.0	0.0	192114.0	0.0
Lva-CPnd_033-Ex1-9C-lcwgs-2-1.clmp.r1r2_fastp	4330774.0	0.0	0.0	105990.0	0.0
Lva-CPnd_034-Ex1-10C-lcwgs-2-1.clmp.r1r2_fastp	6375998.0	0.0	0.0	130774.0	0.0
Lva-CPnd_035-Ex1-11C-lcwgs-2-1.clmp.r1r2_fastp	5749318.0	0.0	0.0	155844.0	0.0
