Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter	Snippy_mqc-generalstats-snippy-VariantTotal
Hte-ABur_001-Ex1-1A-lcwgs-1-T	11.483799999999999	0.952277	16880018.0	0.45679	71.88874514877102	67.68733207284306	
Hte-ABur_002-Ex1-1B-lcwgs-1-T	7.0592299999999994	0.951523	1314829.0	0.424734	40.08780181875196	86.98965192850423	
Hte-ABur_003-Ex1-1C-lcwgs-1-T	13.5914	0.938029	17827522.0	0.635165	53.50341496431208	59.09388075313807	
Hte-ABur_004-Ex1-1D-lcwgs-1-T	9.973	0.971589	348356876.0	0.421429	77.44914494664441	90.83498817928518	
Hte-ABur_005-Ex1-1E-lcwgs-1-T	1.57115	0.945739	1106672.0	0.433756	61.393958800298854	84.41669335041094	
Hte-ABur_006-Ex1-1F-lcwgs-1-T	2.28115	0.944243	689369.0	0.425805	70.68052159739202	80.80684596577017	
Hte-ABur_007-Ex1-1G-lcwgs-1-T	11.312899999999999	0.931373	5946055.0	0.609136	7.985594795539034	91.82670605416888	
Hte-ABur_008-Ex1-1H-lcwgs-1-T	3.6670300000000005	0.94727	547365.0	0.476066	61.9324796274738	79.56926658905704	
Hte-ABur_009-Ex1-2A-lcwgs-1-T	5.37584	0.943679	2026943.0	0.455278	80.70762189755325	65.53863756380919	
Hte-ABur_010-Ex1-2B-lcwgs-1-T	2.01035	0.94437	994079.0	0.42016	67.4010001351534	79.74726314366806	
Hte-ABur_011-Ex1-2C-lcwgs-1-T	12.698200000000002	0.942279	45234073.0	0.444013	96.28505291377786	27.644703271699157	
Hte-ABur_012-Ex1-2D-lcwgs-1-T	4.39815	0.943266	2256550.0	0.465103	71.30911766673356	71.53990233460432	
Hte-ABur_013-Ex1-2E-lcwgs-1-T	11.3274	0.95932	120410726.0	0.443519	96.90254838504737	61.9997612754054	
Hte-ABur_014-Ex1-2F-lcwgs-1-T	2.1263	0.94486	1328331.0	0.419471	77.94846981976534	74.90625378008951	
Hte-ABur_015-Ex1-2G-lcwgs-1-T	9.94782	0.941711	6165846.0	0.452404	85.34179244954161	46.39732282915606	
Hte-ABur_016-Ex1-2H-lcwgs-1-T	8.76638	0.955198	7957488.0	0.391914	93.1252399373948	52.889584502259105	
Hte-ABur_017-Ex1-3A-lcwgs-1-T	11.0328	0.973798	133566768.0	0.426993	72.91275470596432	93.88748340033233	
Hte-ABur_018-Ex1-3B-lcwgs-1-T	10.1252	0.938909	4347949.0	0.558518	43.32941768753146	71.69947018914966	
Hte-ABur_019-Ex1-3C-lcwgs-1-T	11.115400000000001	0.965371	70912170.0	0.421627	53.97317758764544	86.44208951272002	
Hte-ABur_020-Ex1-3D-lcwgs-1-T	11.2206	0.954416	60239516.0	0.498798	37.50614835382785	84.47963770990347	
Hte-ABur_021-Ex1-3E-lcwgs-1-T	11.3358	0.9697	62700630.0	0.41831	44.68585309330523	91.53977705027886	
Hte-ABur_022-Ex1-3F-lcwgs-1-T	9.782720000000001	0.961852	12606891.0	0.430934	43.733365922546305	88.61685948617675	
Hte-ABur_023-Ex1-3G-lcwgs-1-T	10.0078	0.96827	32827962.0	0.414923	39.15758970959709	92.33683871083322	
Hte-ABur_024-Ex1-3H-lcwgs-1-T	1.50489	0.941544	814252.0	0.428668	65.76221016280218	78.4821575398783	
Hte-ABur_025-Ex1-4A-lcwgs-1-T	0.6919879999999999	0.944137	1328494.0	0.413783	75.13227513227513	78.84160756501181	
Hte-ABur_026-Ex1-4B-lcwgs-1-T	9.97532	0.965774	38980098.0	0.432392	20.22676505356555	94.34260725282044	
Hte-ABur_027-Ex1-4C-lcwgs-1-T	10.6984	0.947219	42290675.0	0.429065	54.137886094096174	82.72344584908119	
Hte-ABur_028-Ex1-4D-lcwgs-1-T	11.5082	0.949779	49656829.0	0.502162	53.109640532042825	72.87220678737557	
Hte-ABur_029-Ex1-4E-lcwgs-1-T	9.5593	0.965581	33299702.0	0.430427	47.66785191382556	90.23940919987771	
Hte-ABur_030-Ex1-4F-lcwgs-1-T	9.04157	0.942948	6194678.0	0.509934	35.56989530519523	79.45940607098177	
Hte-ABur_031-Ex1-4G-lcwgs-1-T	8.61275	0.947993	7566469.0	0.413804	6.709940429628738	95.4155447078645	
Hte-ABur_032-Ex1-4H-lcwgs-1-T	8.460890000000001	0.935066	9117468.0	0.341776	22.27768420854543	93.50977145061583	
Hte-ABur_034-Ex1-5B-lcwgs-1-T	8.94519	0.940747	4453034.0	0.473474	75.70674486803519	62.35190615835777	
Hte-ABur_035-Ex1-5C-lcwgs-1-T	13.6056	0.938227	18398441.0	0.576444	90.05416981607458	32.987528344671205	
Hte-ABur_036-Ex1-5D-lcwgs-1-T	9.93622	0.96215	30842010.0	0.438452	87.86185421431546	76.05410689823728	
Hte-ABur_037-Ex1-5E-lcwgs-1-T	11.026299999999999	0.965846	80053683.0	0.417978	88.57332830958133	81.79935282253597	
Hte-ABur_038-Ex1-5F-lcwgs-1-T	11.071100000000001	0.944824	56316798.0	0.416885	91.39281798978583	52.068046128047726	
Hte-ABur_039-Ex1-5G-lcwgs-1-T	15.4156	0.928594	37118290.0	0.596594	91.51703349530962	22.21857703401502	
Hte-ABur_040-Ex1-5H-lcwgs-1-T	9.97299	0.963732	29480195.0	0.432813	92.78722687015414	83.26989672397414	
Hte-ABur_041-Ex1-6A-lcwgs-1-T	0.829214	0.940534	1281854.0	0.41551	77.16784066067525	76.10517367014816	
Hte-ABur_042-Ex1-6B-lcwgs-1-T	10.8165	0.951446	22265164.0	0.492843	39.551693954685355	80.23121200753496	
Hte-ABur_043-Ex1-6C-lcwgs-1-T	10.3708	0.942027	9898471.0	0.493226	33.56674915195595	82.7687227817349	
Hte-ABur_044-Ex1-6D-lcwgs-1-T	6.28636	0.941331	4031230.0	0.505723	53.11234095966224	75.27528955326068	
Hte-ABur_045-Ex1-6E-lcwgs-1-T	10.4868	0.947265	17681927.0	0.521259	37.463770825931675	81.74259989902578	
Hte-ABur_046-Ex1-6F-lcwgs-1-T	0.866721	0.942204	1217703.0	0.408388	78.40587174864795	76.96368787020344	
Hte-ABur_047-Ex1-6G-lcwgs-1-T	9.09109	0.937437	13694859.0	0.396979	13.560122947681604	91.15170475054965	
Hte-ABur_048-Ex1-6H-lcwgs-1-T	10.9007	0.94254	25123442.0	0.482596	52.91898943212965	72.46979387034204	
Hte-ABur_049-Ex1-7A-lcwgs-1-T	1.2553999999999998	0.944383	974489.0	0.419973	73.11455667620052	78.08219178082192	
Hte-ABur_050-Ex1-7B-lcwgs-1-T	10.492600000000001	0.971173	28655169.0	0.410259	64.58288007348852	92.43720840283316	
Hte-ABur_051-Ex1-7C-lcwgs-1-T	13.958300000000001	0.934883	31552409.0	0.582097	76.91638067085849	40.84301961471981	
Hte-ABur_052-Ex1-7D-lcwgs-1-T	12.7965	0.933805	24643166.0	0.6018	57.72881688517151	51.23468524264463	
Hte-ABur_053-Ex1-7E-lcwgs-1-T	5.05075	0.942675	2678220.0	0.471996	25.696414887227387	87.16111260692169	
Hte-ABur_054-Ex1-7F-lcwgs-1-T	7.55353	0.939744	2100155.0	0.537294	33.52758925936855	79.64923281203895	
Hte-ABur_055-Ex1-7G-lcwgs-1-T	12.2732	0.933356	16670443.0	0.604183	33.37785846166541	72.04715881545968	
Hte-ABur_056-Ex1-7H-lcwgs-1-T	13.015699999999999	0.933793	17002138.0	0.625198	60.16618018706927	48.847369746253484	
Hte-ABur_057-Ex1-8A-lcwgs-1-T	11.2683	0.970175	163892892.0	0.401602	79.30275297744498	89.14839882188929	
Hte-ABur_058-Ex1-8B-lcwgs-1-T	1.11111	0.943263	730629.0	0.411847	65.3575716000686	83.3733493397359	
Hte-ABur_059-Ex1-8C-lcwgs-1-T	13.472700000000001	0.933249	6398769.0	0.627083	56.97184403074929	53.1814392886913	
Hte-ABur_060-Ex1-8D-lcwgs-1-T	10.9017	0.934102	8019186.0	0.599371	35.789543436485324	72.86627791398847	
Hte-ABur_061-Ex1-8E-lcwgs-1-T	11.4504	0.946498	12596222.0	0.609215	39.676198803081235	75.94027465818472	
Hte-ABur_062-Ex1-8F-lcwgs-1-T	10.8469	0.960337	21199828.0	0.441933	39.729320975685425	87.43281498429441	
Hte-ABur_063-Ex1-8G-lcwgs-1-T	10.4132	0.954192	8036313.0	0.462999	39.98426418681907	83.45171618712504	
Hte-ABur_064-Ex1-8H-lcwgs-1-T	12.8971	0.936324	10948073.0	0.591173	48.70862657460837	64.2240085387412	
Hte-ABur_065-Ex1-9A-lcwgs-1-T	12.0823	0.952921	56039544.0	0.441048	86.07587569397515	73.60307693302595	
Hte-ABur_066-Ex1-9B-lcwgs-1-T	11.2592	0.958518	29564846.0	0.406547	85.1044908848377	70.25827904189302	
Hte-ABur_067-Ex1-9C-lcwgs-1-T	11.0721	0.959187	60047690.0	0.410977	46.71740477540312	85.0496723667383	
Hte-ABur_068-Ex1-9D-lcwgs-1-T	11.237400000000001	0.942665	3597804.0	0.554317	49.03129657228018	71.47794653898595	
Hte-ABur_069-Ex1-9E-lcwgs-1-T	10.3323	0.965019	49157504.0	0.419085	51.10165237398034	87.53315206023844	
Hte-ABur_070-Ex1-9F-lcwgs-1-T	11.6705	0.955326	105377646.0	0.451121	71.958360830102	72.7411063160388	
Hte-ABur_071-Ex1-9G-lcwgs-1-T	13.064400000000001	0.931608	25369174.0	0.578878	24.501480367876866	80.08717587448223	
Hte-ABur_072-Ex1-9H-lcwgs-1-T	13.800699999999999	0.934569	37463161.0	0.624947	76.7282723438915	37.74281014055526	
Hte-ABur_073-Ex1-10A-lcwgs-1-T	10.8258	0.960159	230096107.0	0.388416	93.28419875373764	69.13408094828492	
Hte-ABur_074-Ex1-10B-lcwgs-1-T	0.872939	0.941412	385562.0	0.41771	77.98839458413926	82.95938104448743	
Hte-ABur_075-Ex1-10C-lcwgs-1-T	9.92246	0.962337	69146954.0	0.413451	67.36400788906104	85.30758495542219	
Hte-ABur_076-Ex1-10D-lcwgs-1-T	11.4697	0.935114	17445502.0	0.526409	69.16966276337196	47.91310984795228	
Hte-ABur_077-Ex1-10E-lcwgs-1-T	10.4452	0.961356	185897903.0	0.418082	75.59654739410378	79.22860735467756	
Hte-ABur_078-Ex1-10F-lcwgs-1-T	10.5382	0.964486	162647862.0	0.397577	93.33320260700971	75.83466715035406	
Hte-ABur_079-Ex1-10G-lcwgs-1-T	12.825600000000001	0.938294	127963687.0	0.582833	78.45881253023744	43.54066166896639	
Hte-ABur_080-Ex1-10H-lcwgs-1-T	13.2655	0.933585	113720606.0	0.600223	93.99081580636836	28.008164675620513	
Hte-ABur_081-Ex1-11A-lcwgs-1-T	14.732000000000001	0.933818	86543764.0	0.618033	94.97336664534468	23.910929571485532	
Hte-ABur_082-Ex1-11B-lcwgs-1-T	10.7059	0.968428	202782966.0	0.413718	79.64197349458033	86.13908888918573	
Hte-ABur_083-Ex1-11C-lcwgs-1-T	14.6974	0.933426	213112056.0	0.583658	94.4440473994836	24.629115178900772	
Hte-ABur_084-Ex1-11D-lcwgs-1-T	10.3355	0.958649	83073590.0	0.441132	61.201940201082614	80.88606898322884	
Hte-ABur_085-Ex1-11E-lcwgs-1-T	11.357000000000001	0.954492	154393300.0	0.447951	80.10329979123885	69.19157674389501	
Hte-ABur_086-Ex1-11F-lcwgs-1-T	1.1748	0.94121	540163.0	0.423258	85.60145808019442	80.4374240583232	
Hte-ABur_087-Ex1-11G-lcwgs-1-T	11.6114	0.952636	304850404.0	0.491085	92.19727670776258	60.03590035105735	
Hte-ABur_088-Ex1-11H-lcwgs-1-T	9.35261	0.96587	92733249.0	0.40641	85.72802934174213	84.3133768814652	
Hte-ABur_089-Ex1-12A-lcwgs-1-T	14.2359	0.923766	9983199.0	0.413568	86.97273688199279	53.04740631419397	
Hte-ABur_090-Ex1-12B-lcwgs-1-T	12.0745	0.957963	30274852.0	0.395459	86.25662192893668	65.35235891840732	
Hte-ABur_091-Ex1-12C-lcwgs-1-T	0.8639310000000001	0.933825	178622.0	0.445143	78.06122448979592	77.6360544217687	
Hte-ABur_092-Ex1-12D-lcwgs-1-T	10.7087	0.965316	251592492.0	0.417357	84.62324550183338	80.81442824251727	
Hte-ABur_093-Ex1-12E-lcwgs-1-T	12.4074	0.946043	131737350.0	0.55794	82.04132699308576	55.202102724917935	
Hte-ABur_094-Ex1-12F-lcwgs-1-T	12.4386	0.929761	18707119.0	0.446058	59.92467374498985	68.59305503652737	
Hte-ABur_095-Ex1-12G-lcwgs-1-T	13.6569	0.939931	117792138.0	0.564005	89.82270877736873	42.85217906488009	
Hte-ABur_096-Ex1-12H-lcwgs-1-T	4.17847	0.94827	294341.0	0.437764	80.85585585585585	79.0822072072072	
Hte-AJol_001-Ex1-1A-lcwgs-1-T	10.600900000000001	0.969857	355782284.0	0.388818	96.44019901304209	85.74338134423411	
Hte-AJol_002-Ex1-2A-lcwgs-1-T	7.40601	0.968126	77792670.0	0.429059	91.14533131958622	92.3828940278231	
Hte-AJol_003-Ex1-3A-lcwgs-1-T	10.3423	0.968149	321343964.0	0.386278	94.92350773697144	83.11867733787052	
Hte-AJol_004-Ex1-4A-lcwgs-1-T	9.8877	0.972697	378312113.0	0.385524	96.92854371696367	89.97713236781108	
Hte-AJol_005-Ex1-5A-lcwgs-1-T	10.2209	0.971239	278286525.0	0.398177	95.25281241376655	88.37823355387707	
Hte-AJol_006-Ex1-6A-lcwgs-1-T	9.90921	0.972464	271609451.0	0.400786	92.79334798772842	90.86362189950522	
Hte-AJol_007-Ex1-7A-lcwgs-1-T	9.955110000000001	0.975187	222154559.0	0.378719	97.26805313345876	92.97422956943313	
Hte-AJol_008-Ex1-8A-lcwgs-1-T	9.90353	0.969176	282402326.0	0.38852	94.53958219530433	84.0889624887965	
Hte-AJol_009-Ex1-9A-lcwgs-1-T	11.022400000000001	0.964731	207447998.0	0.464338	95.78653506134339	80.13105016582703	
Hte-AJol_010-Ex1-10A-lcwgs-1-T	9.70344	0.970098	412704443.0	0.383048	97.93455964619635	90.6023501855125	
Hte-AJol_011-Ex1-11A-lcwgs-1-T	10.3966	0.97188	464881401.0	0.413562	96.57518197080162	89.52360948799021	
Hte-AJol_012-Ex1-12A-lcwgs-1-T	10.005	0.970323	311370832.0	0.418606	92.5132699023868	87.47070699540247	
Hte-AJol_013-Ex1-1B-lcwgs-1-T	10.5299	0.966665	342238530.0	0.409076	95.57410546660202	83.33740050346144	
