Sample	Passed Filter	Low Quality	Too Many N	Too Short	Too Long
Abu-APnd_001-Ex1-4E-lcwgs-1-T.clmp.r1r2_fastp	67946.0	0.0	0.0	1022.0	0.0
Abu-APnd_002-Ex1-4F-lcwgs-1-T.clmp.r1r2_fastp	991800.0	0.0	0.0	11298.0	0.0
Abu-APnd_003-Ex1-4G-lcwgs-1-T.clmp.r1r2_fastp	10743338.0	0.0	0.0	148804.0	0.0
Abu-APnd_004-Ex1-4H-lcwgs-1-T.clmp.r1r2_fastp	97546.0	0.0	0.0	1178.0	0.0
Abu-APnd_005-Ex1-5A-lcwgs-1-T.clmp.r1r2_fastp	812446.0	0.0	0.0	8582.0	0.0
Abu-APnd_006-Ex1-5B-lcwgs-1-T.clmp.r1r2_fastp	723586.0	0.0	0.0	10572.0	0.0
Abu-APnd_007-Ex1-5C-lcwgs-1-T.clmp.r1r2_fastp	6720.0	0.0	0.0	128.0	0.0
Abu-APnd_008-Ex1-5D-lcwgs-1-T.clmp.r1r2_fastp	25232.0	0.0	0.0	490.0	0.0
Abu-APnd_009-Ex1-5E-lcwgs-1-T.clmp.r1r2_fastp	2607244.0	0.0	0.0	33690.0	0.0
Abu-APnd_010-Ex1-5F-lcwgs-1-T.clmp.r1r2_fastp	201768.0	0.0	0.0	4366.0	0.0
Abu-APnd_011-Ex1-5G-lcwgs-1-T.clmp.r1r2_fastp	504628.0	0.0	0.0	7082.0	0.0
Abu-APnd_012-Ex1-5H-lcwgs-1-T.clmp.r1r2_fastp	48050.0	0.0	0.0	826.0	0.0
Abu-APnd_013-Ex1-6A-lcwgs-1-T.clmp.r1r2_fastp	1423444.0	0.0	0.0	14730.0	0.0
Abu-APnd_014-Ex1-6B-lcwgs-1-T.clmp.r1r2_fastp	7192418.0	0.0	0.0	70004.0	0.0
Abu-APnd_015-Ex1-6C-lcwgs-1-T.clmp.r1r2_fastp	448300.0	0.0	0.0	7834.0	0.0
Abu-APnd_016-Ex1-6D-lcwgs-1-T.clmp.r1r2_fastp	437344.0	0.0	0.0	5262.0	0.0
Abu-APnd_017-Ex1-6E-lcwgs-1-T.clmp.r1r2_fastp	31134354.0	0.0	0.0	359654.0	0.0
Abu-APnd_018-Ex1-6F-lcwgs-1-T.clmp.r1r2_fastp	3108710.0	0.0	0.0	31800.0	0.0
Abu-APnd_019-Ex1-6G-lcwgs-1-T.clmp.r1r2_fastp	1784304.0	0.0	0.0	19998.0	0.0
Abu-APnd_020-Ex1-6H-lcwgs-1-T.clmp.r1r2_fastp	166348.0	0.0	0.0	2088.0	0.0
Abu-APnd_021-Ex1-8E-lcwgs-1-T.clmp.r1r2_fastp	1633086.0	0.0	0.0	17784.0	0.0
Abu-APnd_022-Ex1-8F-lcwgs-1-T.clmp.r1r2_fastp	5640526.0	0.0	0.0	58096.0	0.0
Abu-APnd_023-Ex1-8G-lcwgs-1-T.clmp.r1r2_fastp	652288.0	0.0	0.0	6296.0	0.0
Abu-APnd_024-Ex1-8H-lcwgs-1-T.clmp.r1r2_fastp	4977726.0	0.0	0.0	52726.0	0.0
Abu-APnd_025-Ex1-7E-lcwgs-1-T.clmp.r1r2_fastp	3393240.0	0.0	0.0	36758.0	0.0
Abu-APnd_026-Ex1-7F-lcwgs-1-T.clmp.r1r2_fastp	466810.0	0.0	0.0	4492.0	0.0
Abu-APnd_027-Ex1-7G-lcwgs-1-T.clmp.r1r2_fastp	1059256.0	0.0	0.0	11182.0	0.0
Abu-APnd_028-Ex1-7H-lcwgs-1-T.clmp.r1r2_fastp	350756.0	0.0	0.0	3924.0	0.0
Abu-APnd_029-Ex1-8A-lcwgs-1-T.clmp.r1r2_fastp	1100156.0	0.0	0.0	10272.0	0.0
