Module	Section	Sample Name	Source
fastp	all_sections	Cch-CAL_001-5H-lcwgs-1-2	/home/e1garcia/shotgun_PIRE/pire_lcwgs_data_processing/gotanco-chanos_chanos/2nd_sequencing_run/fq_fp1_stragglers/Cch-CAL_001-5H-lcwgs-1-2.fastp.json
fastp	all_sections	Cch-CWBS_252-1G-lcwgs-1-2	/home/e1garcia/shotgun_PIRE/pire_lcwgs_data_processing/gotanco-chanos_chanos/2nd_sequencing_run/fq_fp1_stragglers/Cch-CWBS_252-1G-lcwgs-1-2.fastp.json
fastp	all_sections	Cch-CBS_002-11F-lcwgs-1-2	/home/e1garcia/shotgun_PIRE/pire_lcwgs_data_processing/gotanco-chanos_chanos/2nd_sequencing_run/fq_fp1_stragglers/Cch-CBS_002-11F-lcwgs-1-2.fastp.json
fastp	all_sections	Cch-CAS_042-4A-lcwgs-1-2	/home/e1garcia/shotgun_PIRE/pire_lcwgs_data_processing/gotanco-chanos_chanos/2nd_sequencing_run/fq_fp1_stragglers/Cch-CAS_042-4A-lcwgs-1-2.fastp.json
fastp	all_sections	Cch-CBS_003-6G-lcwgs-1-2	/home/e1garcia/shotgun_PIRE/pire_lcwgs_data_processing/gotanco-chanos_chanos/2nd_sequencing_run/fq_fp1_stragglers/Cch-CBS_003-6G-lcwgs-1-2.fastp.json
fastp	all_sections	Cch-CBL_004-5H-lcwgs-1-2	/home/e1garcia/shotgun_PIRE/pire_lcwgs_data_processing/gotanco-chanos_chanos/2nd_sequencing_run/fq_fp1_stragglers/Cch-CBL_004-5H-lcwgs-1-2.fastp.json
fastp	all_sections	Cch-CBS_023-3A-lcwgs-1-2	/home/e1garcia/shotgun_PIRE/pire_lcwgs_data_processing/gotanco-chanos_chanos/2nd_sequencing_run/fq_fp1_stragglers/Cch-CBS_023-3A-lcwgs-1-2.fastp.json
fastp	all_sections	Cch-CAL_004-7E-lcwgs-1-2	/home/e1garcia/shotgun_PIRE/pire_lcwgs_data_processing/gotanco-chanos_chanos/2nd_sequencing_run/fq_fp1_stragglers/Cch-CAL_004-7E-lcwgs-1-2.fastp.json
fastp	all_sections	Cch-CAS_001-10B-lcwgs-1-2	/home/e1garcia/shotgun_PIRE/pire_lcwgs_data_processing/gotanco-chanos_chanos/2nd_sequencing_run/fq_fp1_stragglers/Cch-CAS_001-10B-lcwgs-1-2.fastp.json
fastp	all_sections	Cch-CAL_003-3G-lcwgs-1-2	/home/e1garcia/shotgun_PIRE/pire_lcwgs_data_processing/gotanco-chanos_chanos/2nd_sequencing_run/fq_fp1_stragglers/Cch-CAL_003-3G-lcwgs-1-2.fastp.json
fastp	all_sections	Cch-CAS_013-11A-lcwgs-1-2	/home/e1garcia/shotgun_PIRE/pire_lcwgs_data_processing/gotanco-chanos_chanos/2nd_sequencing_run/fq_fp1_stragglers/Cch-CAS_013-11A-lcwgs-1-2.fastp.json
fastp	all_sections	Cch-CBL_003-1H-lcwgs-1-2	/home/e1garcia/shotgun_PIRE/pire_lcwgs_data_processing/gotanco-chanos_chanos/2nd_sequencing_run/fq_fp1_stragglers/Cch-CBL_003-1H-lcwgs-1-2.fastp.json
fastp	all_sections	Cch-CAS_016-6C-lcwgs-1-2	/home/e1garcia/shotgun_PIRE/pire_lcwgs_data_processing/gotanco-chanos_chanos/2nd_sequencing_run/fq_fp1_stragglers/Cch-CAS_016-6C-lcwgs-1-2.fastp.json
