pos	5pC>T
1	0.00515850271152066
2	0.00520336484259821
3	0.00557335322771756
4	0.00452329717623293
5	0.00430584551148225
6	0.00433507028068485
7	0.00414358616478388
8	0.00403579575364099
9	0.00447278685620655
10	0.00348032952993524
11	0.00446191906697296
12	0.0035376830415118
13	0.00431264449582074
14	0.00389432225516662
15	0.00414549344744584
16	0.00388109729205257
17	0.00382324175335645
18	0.00434589800443459
19	0.00333831151717473
20	0.00363894559332564
21	0.00356337392873252
22	0.00342161393530039
23	0.00479211962550473
24	0.00411393820149354
25	0.00428246420127582
