# table produced by mapDamage version 2.2.1
# using mapped file - and /home/e1garcia/shotgun_PIRE/pire_lcwgs_data_processing/salarias_fasciatus/1st_sequencing_run/refGenome/GCF_902148845.1_fSalaFa1.1_chr1-23-mtgen.fasta as reference file
# Std: strand of reads
Std	Length	Occurences 
+	129	508
+	171	204
+	148	378
+	66	148
+	187	135
+	29	8
+	101	579
+	131	507
+	94	450
+	173	197
+	137	453
+	97	436
+	88	245
+	102	592
+	119	594
+	115	619
+	189	113
+	136	514
+	174	203
+	154	332
+	170	207
+	107	649
+	146	416
+	134	464
+	93	395
+	57	100
+	99	493
+	109	594
+	110	599
+	164	236
+	92	336
+	139	449
+	42	38
+	121	557
+	157	321
+	123	559
+	68	128
+	108	639
+	193	99
+	225	35
+	175	183
+	70	127
+	152	342
+	282	9
+	155	315
+	191	105
+	168	252
+	147	359
+	122	579
+	53	87
+	95	410
+	55	114
+	69	140
+	125	567
+	103	583
+	167	247
+	120	629
+	132	520
+	114	624
+	116	583
+	126	565
+	58	95
+	106	618
+	150	359
+	84	183
+	135	449
+	111	652
+	124	505
+	100	562
+	61	125
+	89	299
+	212	54
+	50	76
+	253	8
+	194	93
+	127	558
+	113	607
+	51	84
+	161	279
+	145	392
+	180	156
+	211	65
+	142	441
+	284	9
+	197	99
+	151	347
+	96	442
+	153	336
+	185	144
+	231	34
+	130	572
+	192	124
+	112	568
+	184	163
+	47	56
+	186	129
+	117	562
+	144	423
+	176	180
+	158	311
+	149	365
+	133	527
+	63	117
+	138	457
+	143	425
+	74	141
+	65	148
+	81	155
+	165	260
+	91	317
+	140	399
+	83	170
+	48	56
+	204	81
+	104	627
+	87	246
+	177	165
+	128	537
+	244	21
+	98	498
+	67	133
+	85	192
+	248	12
+	75	153
+	201	68
+	141	445
+	71	116
+	49	75
+	156	304
+	183	194
+	159	309
+	160	240
+	269	7
+	224	29
+	182	153
+	82	182
+	223	36
+	52	69
+	188	133
+	72	155
+	219	48
+	78	153
+	235	21
+	273	5
+	172	227
+	56	88
+	40	36
+	166	260
+	79	146
+	105	626
+	206	66
+	118	596
+	54	101
+	220	48
+	181	143
+	195	78
+	230	40
+	38	30
+	200	74
+	198	100
+	86	200
+	169	235
+	45	56
+	208	63
+	245	14
+	259	13
+	240	24
+	210	54
+	218	53
+	254	14
+	77	127
+	163	280
+	59	108
+	209	67
+	241	23
+	202	85
+	196	112
+	228	22
+	213	51
+	247	14
+	203	69
+	60	113
+	199	84
+	179	165
+	246	20
+	216	49
+	207	72
+	62	108
+	34	14
+	221	50
+	90	306
+	162	256
+	178	171
+	250	20
+	227	36
+	80	161
+	255	17
+	222	49
+	270	11
+	73	142
+	215	54
+	272	3
+	232	38
+	44	42
+	76	145
+	268	8
+	238	22
+	190	121
+	286	8
+	266	5
+	35	23
+	260	13
+	275	5
+	41	42
+	242	18
+	217	59
+	214	52
+	229	31
+	249	12
+	205	82
+	283	7
+	36	18
+	271	7
+	261	11
+	265	12
+	263	8
+	46	64
+	237	25
+	37	27
+	64	129
+	280	7
+	243	17
+	289	4
+	257	6
+	233	25
+	43	58
+	278	4
+	39	37
+	251	16
+	262	12
+	239	24
+	31	4
+	276	1
+	226	37
+	258	13
+	234	26
+	252	17
+	30	2
+	267	11
+	256	8
+	274	5
+	27	3
+	264	10
+	288	2
+	236	25
+	279	6
+	281	2
+	33	8
+	277	1
+	25	3
+	285	5
+	32	3
+	28	1
+	26	1
+	290	1
-	81	137
-	117	639
-	93	388
-	159	286
-	156	317
-	126	571
-	106	634
-	215	50
-	51	74
-	100	555
-	184	120
-	144	419
-	198	111
-	41	46
-	151	369
-	121	564
-	172	210
-	186	151
-	96	469
-	177	181
-	104	587
-	134	479
-	113	582
-	131	499
-	158	278
-	110	642
-	153	321
-	189	120
-	74	129
-	142	410
-	95	437
-	182	147
-	86	205
-	55	78
-	109	646
-	154	333
-	129	531
-	137	506
-	124	640
-	140	453
-	202	86
-	145	470
-	70	140
-	132	507
-	160	277
-	165	249
-	61	105
-	143	434
-	171	237
-	82	188
-	102	573
-	180	153
-	58	113
-	127	548
-	98	537
-	168	250
-	148	391
-	88	224
-	99	505
-	120	526
-	83	158
-	197	103
-	147	381
-	114	619
-	128	548
-	213	59
-	118	622
-	166	269
-	146	384
-	101	597
-	65	126
-	267	12
-	105	589
-	223	48
-	201	73
-	287	7
-	63	133
-	141	422
-	216	46
-	115	609
-	125	542
-	97	494
-	206	65
-	130	453
-	112	645
-	108	650
-	190	96
-	157	300
-	92	298
-	161	286
-	59	121
-	66	141
-	139	429
-	116	636
-	107	635
-	135	515
-	149	396
-	123	544
-	164	267
-	193	107
-	53	82
-	73	138
-	69	135
-	111	610
-	196	82
-	119	611
-	103	580
-	163	256
-	136	479
-	84	191
-	183	146
-	38	36
-	169	247
-	138	485
-	167	238
-	40	37
-	155	321
-	77	130
-	194	104
-	187	123
-	225	32
-	91	298
-	37	26
-	80	147
-	76	158
-	33	14
-	208	62
-	178	162
-	188	140
-	68	140
-	275	5
