Sample	Passed Filter	Low Quality	Too Many N	Low Complexity	Too Short	Too Long
Dar-AJol_001-Ex1-1A-lcwgs-1-2	3126896.0	2014956.0	348.0	409640.0	158282.0	0.0
Dar-AJol_002-Ex1-1B-lcwgs-1-2	81090880.0	3111726.0	8492.0	250136.0	785480.0	0.0
Dar-AJol_003-Ex1-1C-lcwgs-1-2	114211922.0	6097452.0	11604.0	504952.0	1584530.0	0.0
Dar-AJol_004-Ex1-1D-lcwgs-1-2	66338344.0	2204238.0	7190.0	583852.0	399008.0	0.0
Dar-AJol_005-Ex1-1E-lcwgs-1-2	155121478.0	30059708.0	17720.0	4378322.0	1224074.0	0.0
Dar-AJol_006-Ex1-1F-lcwgs-1-2	4549076.0	280344.0	438.0	36256.0	63494.0	0.0
Dar-AJol_007-Ex1-1G-lcwgs-1-2	1094566.0	162894.0	124.0	6980.0	19208.0	0.0
Dar-AJol_008-Ex1-1H-lcwgs-1-2	5020326.0	1480786.0	530.0	279328.0	138726.0	0.0
Dar-AJol_009-Ex1-2A-lcwgs-1-2	20005432.0	205060.0	2058.0	26886.0	42460.0	0.0
Dar-AJol_010-Ex1-2B-lcwgs-1-2	112900910.0	2005492.0	11086.0	162778.0	909040.0	0.0
Dar-AJol_011-Ex1-2C-lcwgs-1-2	62008094.0	2238316.0	6440.0	182710.0	561564.0	0.0
Dar-AJol_012-Ex1-2D-lcwgs-1-2	63481064.0	1536194.0	6802.0	423460.0	288166.0	0.0
Dar-AJol_013-Ex1-2E-lcwgs-1-2	77560550.0	2515444.0	8062.0	365018.0	212644.0	0.0
Dar-AJol_014-Ex1-2F-lcwgs-1-2	27975902.0	585370.0	2620.0	77906.0	172892.0	0.0
Dar-AJol_015-Ex1-2G-lcwgs-1-2	271120542.0	6339192.0	28512.0	295194.0	621932.0	0.0
Dar-AJol_016-Ex1-2H-lcwgs-1-2	49903622.0	3895866.0	5504.0	748068.0	442564.0	0.0
Dar-AJol_017-Ex1-3A-lcwgs-1-2	84545046.0	1765048.0	8808.0	306702.0	212560.0	0.0
Dar-AJol_018-Ex1-3B-lcwgs-1-2	172020758.0	6593162.0	17310.0	602882.0	1475250.0	0.0
Dar-AJol_019-Ex1-3C-lcwgs-1-2	41770966.0	1379222.0	3988.0	123780.0	316422.0	0.0
Dar-AJol_020-Ex1-3D-lcwgs-1-2	93817850.0	3909830.0	9494.0	1404656.0	984392.0	0.0
Dar-AJol_021-Ex1-3E-lcwgs-1-2	231865536.0	6205838.0	23728.0	924952.0	1248902.0	0.0
Dar-CJol_009-Ex1-3B-lcwgs-1-2	22853840.0	697118.0	2776.0	63396.0	73976.0	0.0
Dar-CJol_012-Ex1-3D-lcwgs-1-2	2935574.0	146790.0	308.0	16850.0	18638.0	0.0
Dar-CJol_019-Ex1-1G-lcwgs-1-2	56608046.0	858282.0	6858.0	52900.0	105052.0	0.0
Dar-CJol_020-Ex1-4F-lcwgs-1-2	709258.0	37406.0	58.0	2132.0	4442.0	0.0
Dar-CJol_021-Ex1-6F-lcwgs-1-2	55622168.0	2518658.0	6592.0	149014.0	295366.0	0.0
Dar-CJol_022-Ex1-7C-lcwgs-1-2	5514162.0	276608.0	668.0	18882.0	64172.0	0.0
Dar-CJol_025-Ex1-3C-lcwgs-1-2	601712.0	28408.0	50.0	1654.0	2806.0	0.0
Dar-CJol_028-Ex1-2F-lcwgs-1-2	72364556.0	6729286.0	8460.0	395642.0	585824.0	0.0
Dar-CJol_029-Ex1-5B-lcwgs-1-2	91935716.0	1737318.0	10822.0	127228.0	200958.0	0.0
Dar-CJol_030-Ex1-8D-lcwgs-1-2	137247956.0	7986202.0	15272.0	908246.0	1682900.0	0.0
Dar-CJol_031-Ex1-4H-lcwgs-1-2	28385082.0	459994.0	3460.0	19100.0	54284.0	0.0
Dar-CJol_032-Ex1-3H-lcwgs-1-2	230056854.0	9444316.0	27892.0	527668.0	794210.0	0.0
Dar-CJol_037-Ex1-2D-lcwgs-1-2	160769154.0	5276098.0	18976.0	451736.0	531152.0	0.0
Dar-CJol_038-Ex1-6A-lcwgs-1-2	188553988.0	2519720.0	22756.0	150130.0	276514.0	0.0
Dar-CJol_041-Ex1-1B-lcwgs-1-2	11412870.0	340276.0	1342.0	20906.0	39524.0	0.0
