pos	5pC>T
1	0.030658838878017
2	0.0298507462686567
3	0.0157415078707539
4	0.0120593692022263
5	0.0173674588665448
6	0.0165208940719145
7	0.0257826887661142
8	0.0194264569842738
9	0.00829493087557604
10	0.0153217568947906
11	0.0153429602888087
12	0.0151515151515152
13	0.0150044130626655
14	0.0125
15	0.010377358490566
16	0.0169491525423729
17	0.0123784261715296
18	0.0128558310376492
19	0.0139925373134328
20	0.0119375573921028
21	0.0167753960857409
22	0.0131826741996234
23	0.00816696914700544
24	0.0210526315789474
25	0.0199619771863118
