Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Hte-CBur_095-Ex1-3E-lcwgs-1-T.clmp.fp2_repr.R2	Hte-CBur_095-Ex1-3E-lcwgs-1-T.clmp.fp2_repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	408625.0	0.0	33-150	45.0	96.87480831709262	114.56922851024778	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
Hte-CBur_096-Ex1-4H-lcwgs-1-T.clmp.fp2_repr.R1	Hte-CBur_096-Ex1-4H-lcwgs-1-T.clmp.fp2_repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1247911.0	0.0	33-150	43.0	97.19793561952986	127.87049316818266	pass	pass	warn	pass	warn	pass	pass	warn	pass	pass	pass
Hte-CBur_096-Ex1-4H-lcwgs-1-T.clmp.fp2_repr.R2	Hte-CBur_096-Ex1-4H-lcwgs-1-T.clmp.fp2_repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1247911.0	0.0	33-150	43.0	97.13323304085175	124.71024055401386	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
Hte-CJol_002-Ex1-1B-lcwgs-1-T.clmp.fp2_repr.R1	Hte-CJol_002-Ex1-1B-lcwgs-1-T.clmp.fp2_repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21270.0	0.0	33-150	44.0	98.48142924306535	108.92872590503056	pass	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass
Hte-CJol_002-Ex1-1B-lcwgs-1-T.clmp.fp2_repr.R2	Hte-CJol_002-Ex1-1B-lcwgs-1-T.clmp.fp2_repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21270.0	0.0	33-150	44.0	98.89515749882463	107.28551951104842	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	pass
Hte-CJol_003-Ex1-8A-lcwgs-1-T.clmp.fp2_repr.R1	Hte-CJol_003-Ex1-8A-lcwgs-1-T.clmp.fp2_repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18220.0	0.0	33-150	46.0	98.13940724478594	117.15115257958287	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	pass
Hte-CJol_003-Ex1-8A-lcwgs-1-T.clmp.fp2_repr.R2	Hte-CJol_003-Ex1-8A-lcwgs-1-T.clmp.fp2_repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18220.0	0.0	33-150	46.0	98.44676180021953	115.48556531284304	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	pass
Hte-CJol_004-Ex1-7G-lcwgs-1-T.clmp.fp2_repr.R1	Hte-CJol_004-Ex1-7G-lcwgs-1-T.clmp.fp2_repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	325383.0	0.0	33-150	45.0	96.52132379850492	129.26609257398204	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
Hte-CJol_004-Ex1-7G-lcwgs-1-T.clmp.fp2_repr.R2	Hte-CJol_004-Ex1-7G-lcwgs-1-T.clmp.fp2_repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	325383.0	0.0	33-150	45.0	96.46926186993265	126.5221969187081	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
Hte-CJol_005-Ex1-6C-lcwgs-1-T.clmp.fp2_repr.R1	Hte-CJol_005-Ex1-6C-lcwgs-1-T.clmp.fp2_repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38445.0	0.0	33-150	45.0	97.67460007803356	119.86234880998829	pass	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass
