Sample	Human	Bacteria_24k	Protists_1k	Fungi_RefSeq_release	Bird	Coral	Plant	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Cha-APnd_001-Ex1-1A-lcwgs-1-1.clmp.fp2_r1_screen	484.0	580.0	2182.0	298.0	152.0	47.0	59.0	5.0	2.0	0.0	7319.0	256358.0
Cha-APnd_001-Ex1-1A-lcwgs-1-1.clmp.fp2_r2_screen	477.0	589.0	2197.0	261.0	135.0	45.0	64.0	8.0	0.0	0.0	7325.0	256385.0
Cha-APnd_002-Ex1-1B-lcwgs-1-1.clmp.fp2_r1_screen	388.0	449.0	1766.0	250.0	151.0	53.0	60.0	7.0	2.0	0.0	6843.0	228521.0
Cha-APnd_002-Ex1-1B-lcwgs-1-1.clmp.fp2_r2_screen	369.0	445.0	1785.0	234.0	122.0	34.0	58.0	12.0	5.0	0.0	6810.0	228616.0
Cha-APnd_003-Ex1-1C-lcwgs-1-1.clmp.fp2_r1_screen	1036.0	3030.0	4877.0	660.0	454.0	145.0	128.0	28.0	4.0	0.0	11441.0	1841632.0
Cha-APnd_003-Ex1-1C-lcwgs-1-1.clmp.fp2_r2_screen	1012.0	2999.0	4812.0	629.0	420.0	186.0	105.0	25.0	9.0	0.0	11233.0	1842005.0
Cha-APnd_004-Ex1-1D-lcwgs-1-1.clmp.fp2_r1_screen	981.0	895.0	3947.0	585.0	432.0	166.0	99.0	20.0	4.0	0.0	10123.0	1523076.0
Cha-APnd_004-Ex1-1D-lcwgs-1-1.clmp.fp2_r2_screen	982.0	907.0	4001.0	617.0	423.0	149.0	109.0	14.0	7.0	0.0	10043.0	1523076.0
Cha-APnd_005-Ex1-1E-lcwgs-1-1.clmp.fp2_r1_screen	2105.0	5215.0	9765.0	1239.0	718.0	245.0	254.0	28.0	5.0	0.0	28367.0	1701713.0
Cha-APnd_005-Ex1-1E-lcwgs-1-1.clmp.fp2_r2_screen	2046.0	5172.0	9463.0	1193.0	707.0	231.0	265.0	39.0	5.0	0.0	27945.0	1702588.0
Cha-APnd_006-Ex1-1F-lcwgs-1-1.clmp.fp2_r1_screen	892.0	603.0	3151.0	447.0	226.0	76.0	104.0	18.0	3.0	0.0	12463.0	427119.0
Cha-APnd_006-Ex1-1F-lcwgs-1-1.clmp.fp2_r2_screen	835.0	582.0	3208.0	419.0	211.0	72.0	96.0	16.0	1.0	0.0	12231.0	427431.0
Cha-APnd_007-Ex1-1G-lcwgs-1-1.clmp.fp2_r1_screen	1085.0	1876.0	2303.0	323.0	185.0	60.0	62.0	15.0	1.0	0.0	6405.0	525416.0
Cha-APnd_007-Ex1-1G-lcwgs-1-1.clmp.fp2_r2_screen	1085.0	1912.0	2414.0	317.0	165.0	65.0	61.0	19.0	0.0	0.0	6438.0	525255.0
Cha-APnd_008-Ex1-1H-lcwgs-1-1.clmp.fp2_r1_screen	2193.0	35632.0	7533.0	1090.0	547.0	200.0	219.0	51.0	3.0	0.0	25596.0	1885732.0
Cha-APnd_008-Ex1-1H-lcwgs-1-1.clmp.fp2_r2_screen	2229.0	35484.0	7566.0	1033.0	588.0	186.0	171.0	50.0	6.0	0.0	25359.0	1886124.0
Cha-APnd_009-Ex1-2A-lcwgs-1-1.clmp.fp2_r1_screen	1473.0	6041.0	7774.0	1085.0	558.0	168.0	218.0	29.0	11.0	0.0	24490.0	1406130.0
Cha-APnd_009-Ex1-2A-lcwgs-1-1.clmp.fp2_r2_screen	1466.0	6100.0	7798.0	1064.0	576.0	198.0	198.0	37.0	5.0	0.0	24405.0	1406130.0
Cha-APnd_010-Ex1-2B-lcwgs-1-1.clmp.fp2_r1_screen	778.0	3743.0	2737.0	387.0	209.0	98.0	75.0	19.0	4.0	0.0	7008.0	860377.0
Cha-APnd_010-Ex1-2B-lcwgs-1-1.clmp.fp2_r2_screen	741.0	3742.0	2690.0	343.0	236.0	93.0	48.0	20.0	2.0	0.0	6968.0	860552.0
Cha-APnd_011-Ex1-2C-lcwgs-1-1.clmp.fp2_r1_screen	1225.0	3935.0	4379.0	553.0	305.0	109.0	126.0	13.0	5.0	0.0	15115.0	729800.0
Cha-APnd_011-Ex1-2C-lcwgs-1-1.clmp.fp2_r2_screen	1184.0	3987.0	4361.0	571.0	302.0	94.0	111.0	13.0	9.0	0.0	15133.0	729800.0
Cha-APnd_012-Ex1-2D-lcwgs-1-1.clmp.fp2_r1_screen	1346.0	3383.0	4491.0	649.0	385.0	159.0	131.0	27.0	8.0	0.0	11558.0	1352826.0
Cha-APnd_012-Ex1-2D-lcwgs-1-1.clmp.fp2_r2_screen	1309.0	3300.0	4450.0	665.0	382.0	150.0	144.0	36.0	5.0	0.0	11696.0	1352826.0
Cha-APnd_013-Ex1-2E-lcwgs-1-1.clmp.fp2_r1_screen	2411.0	1501.0	2749.0	367.0	164.0	74.0	70.0	13.0	3.0	0.0	9370.0	371259.0
Cha-APnd_013-Ex1-2E-lcwgs-1-1.clmp.fp2_r2_screen	2411.0	1473.0	2731.0	346.0	187.0	71.0	75.0	12.0	3.0	0.0	9336.0	371336.0
Cha-APnd_014-Ex1-2F-lcwgs-1-1.clmp.fp2_r1_screen	1792.0	1412.0	8295.0	1069.0	627.0	241.0	219.0	25.0	6.0	0.0	21388.0	1627185.0
Cha-APnd_014-Ex1-2F-lcwgs-1-1.clmp.fp2_r2_screen	1828.0	1441.0	8263.0	1027.0	623.0	206.0	213.0	31.0	4.0	0.0	21272.0	1627351.0
Cha-APnd_015-Ex1-2G-lcwgs-1-1.clmp.fp2_r1_screen	1571.0	2103.0	8529.0	1092.0	618.0	236.0	232.0	44.0	5.0	0.0	23566.0	1076242.0
Cha-APnd_015-Ex1-2G-lcwgs-1-1.clmp.fp2_r2_screen	1411.0	2123.0	8598.0	1048.0	492.0	206.0	239.0	27.0	6.0	0.0	23512.0	1076576.0
Cha-APnd_016-Ex1-2H-lcwgs-1-1.clmp.fp2_r1_screen	1757.0	1911.0	7362.0	977.0	570.0	197.0	215.0	32.0	6.0	0.0	20760.0	1501973.0
Cha-APnd_016-Ex1-2H-lcwgs-1-1.clmp.fp2_r2_screen	1724.0	1912.0	7412.0	968.0	581.0	202.0	169.0	30.0	4.0	0.0	20632.0	1502126.0
Cha-APnd_017-Ex1-3A-lcwgs-1-1.clmp.fp2_r1_screen	1982.0	7972.0	6922.0	907.0	517.0	185.0	193.0	34.0	8.0	0.0	23561.0	1122466.0
Cha-APnd_017-Ex1-3A-lcwgs-1-1.clmp.fp2_r2_screen	1936.0	7962.0	6918.0	875.0	432.0	155.0	192.0	55.0	4.0	0.0	23402.0	1122816.0
Cha-APnd_018-Ex1-3B-lcwgs-1-1.clmp.fp2_r1_screen	264.0	336.0	685.0	74.0	40.0	21.0	16.0	1.0	0.0	0.0	1743.0	188361.0
Cha-APnd_018-Ex1-3B-lcwgs-1-1.clmp.fp2_r2_screen	276.0	330.0	680.0	83.0	47.0	18.0	18.0	4.0	1.0	0.0	1685.0	188399.0
Cha-APnd_019-Ex1-3C-lcwgs-1-1.clmp.fp2_r1_screen	142.0	146.0	233.0	32.0	15.0	5.0	6.0	3.0	0.0	0.0	695.0	43359.0
