Sample	total_reads	unpaired_total	unpaired_aligned_none	unpaired_aligned_one	unpaired_aligned_multi	overall_alignment_rate
aligner_standard_error.2Uvzg9bE	10530015	10530015	10144619	22157	363239	3.66
aligner_standard_error.B8i2kVc6	6958742	6958742	6711119	14386	233237	3.56
aligner_standard_error.G0EFnHmE	2007022	2007022	1890947	5965	110110	5.78
aligner_standard_error.I3H1xPYv	6958742	6958742	6510879	35733	412130	6.44
aligner_standard_error.KiDBCZ2o	2546706	2546706	2203822	14235	328649	13.46
aligner_standard_error.MUe9dL0u	1360560	1360560	1201314	6176	153070	11.7
aligner_standard_error.Oyq6FQaQ	159229	159229	147875	566	10788	7.13
aligner_standard_error.Y1UTuAbJ	5718990	5718990	5514139	10800	194051	3.58
aligner_standard_error._XvmA64Z	2219974	2219974	2040816	9568	169590	8.07
aligner_standard_error.lWuUfwvP	2007022	2007022	1890053	6087	110882	5.83
aligner_standard_error.sZDX5q8Q	4009581	4009581	3676072	15028	318481	8.32
aligner_standard_error.vUehxY5N	159229	159229	147955	507	10767	7.08
aligner_standard_error.vqCOmW9L	4009581	4009581	3530379	24563	454639	11.95
