Sample	Protists_1k	Bacteria_24k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Ecoli	Contamnts_Adaptrs	Multiple Genomes	No hits
Sgr-AJol_027-Ex13C-lwgs-1-1.clmp.fp2_r1_screen	166238.0	40364.0	13122.0	8920.0	4065.0	3595.0	1404.0	682.0	11.0	0.0	0.0	1604260.0	12001517.0
Sgr-AJol_027-Ex13C-lwgs-1-1.clmp.fp2_r2_screen	168295.0	40333.0	12931.0	8905.0	3983.0	3481.0	1483.0	659.0	14.0	0.0	0.0	1601192.0	12002902.0
Sgr-AJol_028-Ex14C-lwgs-1-1.clmp.fp2_r1_screen	159311.0	25633.0	15033.0	9239.0	3852.0	3622.0	1489.0	584.0	12.0	0.0	0.0	861227.0	14459595.0
Sgr-AJol_028-Ex14C-lwgs-1-1.clmp.fp2_r2_screen	160721.0	25430.0	15218.0	9217.0	3921.0	3603.0	1451.0	619.0	7.0	0.0	0.0	861369.0	14458041.0
Sgr-AJol_029-Ex15C-lwgs-1-1.clmp.fp2_r1_screen	149079.0	28846.0	12002.0	8341.0	3695.0	3148.0	1277.0	572.0	29.0	0.0	0.0	1287314.0	10374662.0
Sgr-AJol_029-Ex15C-lwgs-1-1.clmp.fp2_r2_screen	151077.0	28753.0	11923.0	8303.0	3805.0	3199.0	1232.0	581.0	10.0	0.0	0.0	1285420.0	10374662.0
Sgr-AJol_030-Ex16C-lwgs-1-1.clmp.fp2_r1_screen	36026.0	9454.0	2831.0	1923.0	890.0	749.0	311.0	122.0	9.0	0.0	0.0	316436.0	2774899.0
Sgr-AJol_030-Ex16C-lwgs-1-1.clmp.fp2_r2_screen	36216.0	9553.0	2749.0	1898.0	826.0	756.0	324.0	123.0	5.0	0.0	0.0	315986.0	2775214.0
Sgr-AJol_031-Ex17C-lwgs-1-1.clmp.fp2_r1_screen	115021.0	29562.0	9134.0	6193.0	2981.0	2582.0	997.0	359.0	10.0	0.0	0.0	1039952.0	7977307.0
Sgr-AJol_031-Ex17C-lwgs-1-1.clmp.fp2_r2_screen	116439.0	29431.0	9209.0	6345.0	2939.0	2571.0	968.0	352.0	15.0	0.0	0.0	1039440.0	7976389.0
Sgr-AJol_032-Ex18C-lwgs-1-1.clmp.fp2_r1_screen	44669.0	13658.0	3383.0	2337.0	1108.0	959.0	320.0	219.0	5.0	0.0	0.0	338958.0	3203065.0
Sgr-AJol_032-Ex18C-lwgs-1-1.clmp.fp2_r2_screen	45098.0	13627.0	3442.0	2251.0	1034.0	948.0	357.0	230.0	2.0	0.0	0.0	337906.0	3203786.0
Sgr-AJol_034-Ex110C-lwgs-1-1.clmp.fp2_r1_screen	65243.0	8417.0	4934.0	3431.0	1536.0	1352.0	552.0	195.0	7.0	0.0	0.0	452037.0	4539765.0
Sgr-AJol_034-Ex110C-lwgs-1-1.clmp.fp2_r2_screen	66027.0	8417.0	4932.0	3374.0	1512.0	1356.0	501.0	180.0	2.0	0.0	0.0	450896.0	4540272.0
Sgr-AJol_035-Ex111C-lwgs-1-1.clmp.fp2_r1_screen	23942.0	5484.0	1883.0	1252.0	575.0	483.0	195.0	97.0	4.0	0.0	0.0	216978.0	1689495.0
Sgr-AJol_035-Ex111C-lwgs-1-1.clmp.fp2_r2_screen	24504.0	5447.0	1933.0	1270.0	638.0	515.0	192.0	103.0	2.0	0.0	0.0	216095.0	1689689.0
Sgr-AJol_037-Ex11D-lwgs-1-1.clmp.fp2_r1_screen	3352.0	1202.0	285.0	189.0	100.0	84.0	35.0	23.0	0.0	0.0	0.0	24398.0	293861.0
Sgr-AJol_037-Ex11D-lwgs-1-1.clmp.fp2_r2_screen	3386.0	1174.0	314.0	198.0	112.0	77.0	38.0	12.0	0.0	0.0	0.0	24292.0	293926.0
Sgr-AJol_038-Ex12D-lwgs-1-1.clmp.fp2_r1_screen	231579.0	66259.0	19363.0	12787.0	5433.0	4876.0	2116.0	813.0	15.0	0.0	1.0	1927142.0	18987889.0
Sgr-AJol_038-Ex12D-lwgs-1-1.clmp.fp2_r2_screen	234307.0	66355.0	19045.0	12651.0	5352.0	4869.0	2046.0	771.0	12.0	0.0	0.0	1927102.0	18985763.0
Sgr-AJol_039-Ex13D-lwgs-1-1.clmp.fp2_r1_screen	268355.0	34129.0	21328.0	15576.0	6260.0	6306.0	2388.0	890.0	17.0	0.0	0.0	1345359.0	24747406.0
Sgr-AJol_039-Ex13D-lwgs-1-1.clmp.fp2_r2_screen	269658.0	34308.0	21716.0	15701.0	6517.0	6295.0	2371.0	885.0	17.0	0.0	0.0	1345785.0	24744761.0
Sgr-AJol_041-Ex15D-lwgs-1-1.clmp.fp2_r1_screen	72698.0	12078.0	6002.0	4119.0	1910.0	1667.0	667.0	270.0	13.0	0.0	0.0	423232.0	6676450.0
Sgr-AJol_041-Ex15D-lwgs-1-1.clmp.fp2_r2_screen	73511.0	12156.0	5996.0	4211.0	1882.0	1643.0	729.0	267.0	9.0	0.0	0.0	422972.0	6675730.0
Sgr-AJol_042-Ex16D-lwgs-1-1.clmp.fp2_r1_screen	71407.0	20626.0	5955.0	3646.0	1802.0	1623.0	659.0	243.0	13.0	0.0	0.0	534552.0	5345694.0
Sgr-AJol_042-Ex16D-lwgs-1-1.clmp.fp2_r2_screen	71661.0	20685.0	5713.0	3779.0	1764.0	1672.0	668.0	269.0	8.0	0.0	0.0	533708.0	5346293.0
Sgr-AJol_043-Ex17D-lwgs-1-1.clmp.fp2_r1_screen	97041.0	24167.0	8335.0	5323.0	2765.0	2366.0	856.0	383.0	4.0	0.0	0.0	810350.0	7417708.0
Sgr-AJol_043-Ex17D-lwgs-1-1.clmp.fp2_r2_screen	97492.0	24231.0	8331.0	5309.0	2747.0	2368.0	920.0	362.0	9.0	0.0	0.0	809821.0	7417708.0
Sgr-AJol_044-Ex18D-lwgs-1-1.clmp.fp2_r1_screen	40793.0	11788.0	3472.0	2134.0	1056.0	878.0	364.0	164.0	1.0	0.0	0.0	323256.0	3183990.0
Sgr-AJol_044-Ex18D-lwgs-1-1.clmp.fp2_r2_screen	40968.0	11757.0	3360.0	2172.0	1058.0	847.0	369.0	192.0	5.0	0.0	0.0	322465.0	3184703.0
