pos	5pC>T
1	0.0296226159880968
2	0.0315101070154578
3	0.0175119775318024
4	0.0158434296365331
5	0.0143830431491294
6	0.0176862255513941
7	0.0199316628701595
8	0.018723085564501
9	0.01865189289012
10	0.0178426601784266
11	0.016372566854648
12	0.0155262682794728
13	0.0149695065607097
14	0.0161381122161756
15	0.0177371172516804
16	0.0137700037216226
17	0.0133433565119338
18	0.014636892475136
19	0.0166168782673637
20	0.0174308450170519
21	0.0167010696190655
22	0.0129032258064516
23	0.0139782968548832
24	0.014406454091433
25	0.013203214695752
