Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Snippy_mqc-generalstats-snippy-VariantTotal
Sfa-ABas_001_Ex1_L3_clmp.fp2_repr.R1	4.343087654674434	43.0	120.55228421674487	0.0	18814655.0	
Sfa-ABas_001_Ex1_L3_clmp.fp2_repr.R2	4.560798590631023	43.0	120.65337844355902	0.0	18814655.0	
Sfa-ABas_002_Ex1_L3_clmp.fp2_repr.R1	5.47411418226055	44.0	125.79375194201269	0.0	19055617.0	
Sfa-ABas_002_Ex1_L3_clmp.fp2_repr.R2	5.992907858704655	44.0	125.85687584925746	0.0	19055617.0	
Sfa-ABas_003_Ex1_L3_clmp.fp2_repr.R1	4.393994296286934	42.0	122.93522296708086	0.0	18375448.0	
Sfa-ABas_003_Ex1_L3_clmp.fp2_repr.R2	4.825167227842357	42.0	123.02492875275749	0.0	18375448.0	
Sfa-ABas_004_Ex1_L3_clmp.fp2_repr.R1	3.7930771657323987	41.0	121.86539394837963	0.0	17570005.0	
Sfa-ABas_004_Ex1_L3_clmp.fp2_repr.R2	4.234399570368851	41.0	121.89276332021534	0.0	17570005.0	
Sfa-ABas_005_Ex1_L3_clmp.fp2_repr.R1	3.7623768350050995	43.0	119.00433492398024	0.0	20145682.0	
Sfa-ABas_005_Ex1_L3_clmp.fp2_repr.R2	4.258436492829134	43.0	119.05628749624857	0.0	20145682.0	
Sfa-ABas_006_Ex1_L3_clmp.fp2_repr.R1	4.525470156802726	43.0	120.64620863100414	0.0	15859522.0	
Sfa-ABas_006_Ex1_L3_clmp.fp2_repr.R2	5.06165728767904	43.0	120.695360995117	0.0	15859522.0	
Sfa-ABas_007_Ex1_L3_clmp.fp2_repr.R1	6.75147277786003	44.0	124.25777310590688	0.0	15299129.0	
Sfa-ABas_007_Ex1_L3_clmp.fp2_repr.R2	7.594534148121284	44.0	124.3418236423786	0.0	15299129.0	
Sfa-ABas_008_Ex1_L3_clmp.fp2_repr.R1	10.648282856063602	44.0	129.7156794653638	0.0	16739308.0	
Sfa-ABas_008_Ex1_L3_clmp.fp2_repr.R2	11.82582350312586	44.0	129.77828533891605	0.0	16739308.0	
Sfa-ABas_009_Ex1_L3_clmp.fp2_repr.R1	9.564185955612345	45.0	128.05092387244804	0.0	17652978.0	
Sfa-ABas_009_Ex1_L3_clmp.fp2_repr.R2	10.16959774513451	45.0	128.1131221032508	0.0	17652978.0	
Sfa-ABas_010_Ex1_L3_clmp.fp2_repr.R1	0.0	0.0	0	0.0	0.0	
Sfa-ABas_010_Ex1_L3_clmp.fp2_repr.R2	0.0	0.0	0	0.0	0.0	
