Sample	Protists_1k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Bacteria_24k	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
GotPopAL11_CKDL230018273-1A_H5YMHDSX7_L2_clmp.fp2_r1_screen	14211.0	2156.0	1063.0	869.0	299.0	250.0	292.0	91.0	2.0	0.0	78312.0	835004.0
GotPopAL11_CKDL230018273-1A_H5YMHDSX7_L2_clmp.fp2_r2_screen	14252.0	2129.0	1079.0	813.0	296.0	256.0	313.0	82.0	4.0	0.0	78601.0	834724.0
GotPopAL12_CKDL230018273-1A_H5YMHDSX7_L2_clmp.fp2_r1_screen	62805.0	9374.0	4845.0	3569.0	1371.0	1222.0	870.0	356.0	7.0	0.0	341846.0	3688255.0
GotPopAL12_CKDL230018273-1A_H5YMHDSX7_L2_clmp.fp2_r2_screen	63210.0	9348.0	4735.0	3501.0	1410.0	1139.0	806.0	368.0	6.0	0.0	343388.0	3686609.0
GotPopAL13_CKDL230018273-1A_H5YMHDSX7_L2_clmp.fp2_r1_screen	131305.0	20027.0	10365.0	7685.0	2794.0	1833.0	1648.0	823.0	19.0	0.0	715653.0	7863018.0
GotPopAL13_CKDL230018273-1A_H5YMHDSX7_L2_clmp.fp2_r2_screen	132866.0	19680.0	10074.0	7583.0	2790.0	1890.0	1651.0	857.0	21.0	0.0	721744.0	7856014.0
GotPopAL14_CKDL230018273-1A_H5YMHDSX7_L2_clmp.fp2_r1_screen	76613.0	11712.0	5827.0	4378.0	1662.0	1765.0	1166.0	468.0	6.0	0.0	412028.0	4500180.0
GotPopAL14_CKDL230018273-1A_H5YMHDSX7_L2_clmp.fp2_r2_screen	77186.0	11311.0	5939.0	4217.0	1581.0	1821.0	1105.0	461.0	14.0	0.0	415000.0	4497170.0
GotPopAL15_CKDL230018273-1A_H5YMHDSX7_L2_clmp.fp2_r1_screen	48162.0	7277.0	3778.0	2694.0	1053.0	808.0	1025.0	256.0	16.0	0.0	256377.0	2905916.0
GotPopAL15_CKDL230018273-1A_H5YMHDSX7_L2_clmp.fp2_r2_screen	47988.0	7296.0	3682.0	2692.0	1025.0	789.0	966.0	248.0	3.0	0.0	256434.0	2906239.0
GotPopAL16_CKDL230018273-1A_H5YMHDSX7_L2_clmp.fp2_r1_screen	102215.0	15506.0	7929.0	5974.0	2284.0	1517.0	1457.0	724.0	19.0	0.0	567038.0	6130089.0
GotPopAL16_CKDL230018273-1A_H5YMHDSX7_L2_clmp.fp2_r2_screen	102862.0	15381.0	7894.0	6120.0	2230.0	1360.0	1499.0	734.0	12.0	0.0	572039.0	6124621.0
GotPopAL17_CKDL230018273-1A_H5YMHDSX7_L2_clmp.fp2_r1_screen	133823.0	20089.0	10178.0	7687.0	2842.0	1941.0	1495.0	750.0	19.0	0.0	727789.0	8016738.0
GotPopAL17_CKDL230018273-1A_H5YMHDSX7_L2_clmp.fp2_r2_screen	135108.0	19927.0	10182.0	7687.0	2967.0	1916.0	1374.0	716.0	16.0	0.0	733859.0	8009599.0
GotPopAL18_CKDL230018273-1A_H5YMHDSX7_L2_clmp.fp2_r1_screen	37823.0	5838.0	2873.0	2313.0	793.0	683.0	603.0	297.0	6.0	0.0	212250.0	2314589.0
GotPopAL18_CKDL230018273-1A_H5YMHDSX7_L2_clmp.fp2_r2_screen	38449.0	5755.0	2865.0	2283.0	777.0	687.0	578.0	280.0	5.0	0.0	214636.0	2311753.0
GotPopAL19_CKDL230018273-1A_H5YMHDSX7_L2_clmp.fp2_r1_screen	1213737.0	184727.0	94079.0	69283.0	27703.0	18988.0	12276.0	6745.0	157.0	0.0	6866895.0	73499519.0
GotPopAL19_CKDL230018273-1A_H5YMHDSX7_L2_clmp.fp2_r2_screen	1225945.0	182561.0	92575.0	68360.0	27546.0	18718.0	11977.0	6497.0	160.0	0.0	6917647.0	73442123.0
GotPopAL1_CKDL230018273-1A_H5YMHDSX7_L2_clmp.fp2_r1_screen	87806.0	12955.0	6931.0	4945.0	1849.0	1191.0	1096.0	550.0	20.0	0.0	469557.0	5116687.0
GotPopAL1_CKDL230018273-1A_H5YMHDSX7_L2_clmp.fp2_r2_screen	87767.0	12746.0	6767.0	5036.0	1855.0	1197.0	1075.0	544.0	10.0	0.0	473325.0	5113265.0
GotPopAL20_CKDL230018273-1A_H5YMHDSX7_L2_clmp.fp2_r1_screen	63862.0	9829.0	5038.0	3663.0	1355.0	1568.0	699.0	393.0	9.0	0.0	339028.0	3854669.0
GotPopAL20_CKDL230018273-1A_H5YMHDSX7_L2_clmp.fp2_r2_screen	64697.0	9655.0	4866.0	3631.0	1355.0	1591.0	769.0	389.0	8.0	0.0	341479.0	3851673.0
GotPopAL21_CKDL230018273-1A_H5YMHDSX7_L2_clmp.fp2_r1_screen	85958.0	12758.0	6819.0	4996.0	1881.0	1612.0	1217.0	592.0	10.0	0.0	471417.0	5136520.0
GotPopAL21_CKDL230018273-1A_H5YMHDSX7_L2_clmp.fp2_r2_screen	86418.0	12878.0	6714.0	4931.0	1831.0	1617.0	1219.0	570.0	12.0	0.0	472787.0	5134803.0
GotPopAL22_CKDL230018273-1A_H5YMHDSX7_L2_clmp.fp2_r1_screen	90758.0	13849.0	7107.0	5106.0	1950.0	1411.0	1592.0	408.0	17.0	0.0	491698.0	5518924.0
GotPopAL22_CKDL230018273-1A_H5YMHDSX7_L2_clmp.fp2_r2_screen	91666.0	13672.0	7044.0	5218.0	2036.0	1358.0	1477.0	453.0	13.0	0.0	493412.0	5516471.0
GotPopAL23_CKDL230018273-1A_H5YMHDSX7_L2_clmp.fp2_r1_screen	77418.0	12104.0	6171.0	4584.0	1708.0	1183.0	1313.0	429.0	12.0	0.0	419178.0	4791311.0
GotPopAL23_CKDL230018273-1A_H5YMHDSX7_L2_clmp.fp2_r2_screen	78306.0	11805.0	6010.0	4447.0	1693.0	1089.0	1289.0	422.0	7.0	0.0	420627.0	4789716.0
GotPopAL24_CKDL230018273-1A_H5YMHDSX7_L2_clmp.fp2_r1_screen	73666.0	11135.0	5599.0	4131.0	1642.0	1267.0	907.0	416.0	12.0	0.0	390175.0	4464943.0
GotPopAL24_CKDL230018273-1A_H5YMHDSX7_L2_clmp.fp2_r2_screen	73757.0	11084.0	5496.0	4099.0	1559.0	1293.0	873.0	370.0	8.0	0.0	392888.0	4462466.0
GotPopAL25_CKDL230018273-1A_H5YMHDSX7_L2_clmp.fp2_r1_screen	10402.0	1598.0	766.0	592.0	235.0	206.0	133.0	81.0	2.0	0.0	54830.0	625157.0
GotPopAL25_CKDL230018273-1A_H5YMHDSX7_L2_clmp.fp2_r2_screen	10389.0	1544.0	806.0	626.0	204.0	225.0	116.0	59.0	2.0	0.0	55221.0	624810.0
GotPopAL27_CKDL230018273-1A_H5YMHDSX7_L2_clmp.fp2_r1_screen	50483.0	7613.0	4002.0	2933.0	1130.0	841.0	1040.0	281.0	9.0	0.0	273177.0	3059967.0
GotPopAL27_CKDL230018273-1A_H5YMHDSX7_L2_clmp.fp2_r2_screen	51326.0	7551.0	3890.0	2801.0	1079.0	891.0	996.0	286.0	10.0	0.0	273699.0	3058947.0
GotPopAL28_CKDL230018273-1A_H5YMHDSX7_L2_clmp.fp2_r1_screen	134855.0	20038.0	10518.0	7522.0	2983.0	1875.0	1896.0	802.0	22.0	0.0	748457.0	7868069.0
