Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Viruses	Bird	Plant	Coral	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Adu-AMat_055-Ex2-4E-lcwgs-3-1.clmp.fp2_r1_screen	25742.0	9788.0	86009.0	817.0	63.0	504.0	142.0	139.0	2.0	0.0	58818.0	2248201.0
Adu-AMat_055-Ex2-4E-lcwgs-3-1.clmp.fp2_r2_screen	25707.0	9802.0	86067.0	915.0	67.0	505.0	108.0	147.0	1.0	0.0	59191.0	2247715.0
Adu-AMat_056-Ex2-4F-lcwgs-3-1.clmp.fp2_r1_screen	30530.0	6330.0	1773.0	529.0	54.0	238.0	67.0	62.0	0.0	0.0	32277.0	1209054.0
Adu-AMat_056-Ex2-4F-lcwgs-3-1.clmp.fp2_r2_screen	30576.0	6352.0	1796.0	536.0	42.0	276.0	72.0	86.0	0.0	0.0	32508.0	1208670.0
Adu-AMat_057-Ex1-8A-lcwgs-1and2-1.clmp.fp2_r1_screen	747.0	218.0	143.0	23.0	12.0	9.0	3.0	3.0	0.0	0.0	720.0	21834.0
Adu-AMat_057-Ex1-8A-lcwgs-1and2-1.clmp.fp2_r2_screen	708.0	235.0	139.0	18.0	11.0	5.0	1.0	2.0	0.0	0.0	705.0	21888.0
Adu-AMat_057-Ex2-4G-lcwgs-3-1.clmp.fp2_r1_screen	56063.0	11743.0	3594.0	998.0	105.0	377.0	137.0	135.0	0.0	0.0	51585.0	1696231.0
Adu-AMat_057-Ex2-4G-lcwgs-3-1.clmp.fp2_r2_screen	56030.0	11848.0	3660.0	968.0	87.0	366.0	127.0	143.0	1.0	0.0	51689.0	1696049.0
Adu-AMat_058-Ex2-4H-lcwgs-3-1.clmp.fp2_r1_screen	9257.0	2957.0	941.0	260.0	50.0	102.0	51.0	43.0	0.0	0.0	11256.0	450592.0
Adu-AMat_058-Ex2-4H-lcwgs-3-1.clmp.fp2_r2_screen	9336.0	2862.0	921.0	270.0	49.0	107.0	30.0	33.0	0.0	0.0	11262.0	450639.0
Adu-AMat_059-Ex2-5A-lcwgs-3-1.clmp.fp2_r1_screen	4437.0	4263.0	1468.0	443.0	25.0	239.0	84.0	68.0	0.0	0.0	14921.0	924522.0
Adu-AMat_059-Ex2-5A-lcwgs-3-1.clmp.fp2_r2_screen	4386.0	4256.0	1433.0	427.0	27.0	232.0	68.0	73.0	0.0	0.0	15046.0	924522.0
Adu-AMat_060-Ex2-5B-lcwgs-3-1.clmp.fp2_r1_screen	7746.0	4180.0	1295.0	371.0	30.0	215.0	51.0	65.0	0.0	0.0	18728.0	1094232.0
Adu-AMat_060-Ex2-5B-lcwgs-3-1.clmp.fp2_r2_screen	7811.0	4148.0	1294.0	364.0	24.0	211.0	62.0	68.0	0.0	0.0	18924.0	1094007.0
Adu-AMat_061-Ex2-5C-lcwgs-3-1.clmp.fp2_r1_screen	167315.0	36272.0	3946.0	365.0	3396.0	99.0	29.0	33.0	0.0	0.0	107694.0	943804.0
Adu-AMat_061-Ex2-5C-lcwgs-3-1.clmp.fp2_r2_screen	168256.0	36429.0	3940.0	361.0	3412.0	94.0	34.0	38.0	0.0	0.0	106964.0	943425.0
Adu-AMat_062-Ex2-5D-lcwgs-3-1.clmp.fp2_r1_screen	6988.0	1486.0	577.0	123.0	24.0	49.0	19.0	6.0	0.0	0.0	10418.0	181427.0
Adu-AMat_062-Ex2-5D-lcwgs-3-1.clmp.fp2_r2_screen	7040.0	1472.0	555.0	112.0	19.0	54.0	17.0	16.0	0.0	0.0	10445.0	181387.0
Adu-AMat_063-Ex2-9E-lcwgs-3-1.clmp.fp2_r1_screen	16391.0	5464.0	772.0	389.0	29.0	204.0	71.0	61.0	5.0	0.0	26680.0	1352319.0
Adu-AMat_063-Ex2-9E-lcwgs-3-1.clmp.fp2_r2_screen	16346.0	5366.0	774.0	389.0	35.0	198.0	49.0	79.0	0.0	0.0	26830.0	1352319.0
Adu-AMat_064-Ex2-5E-lcwgs-1-1.clmp.fp2_r1_screen	42416.0	19843.0	6109.0	1828.0	92.0	875.0	280.0	351.0	3.0	0.0	78448.0	2986391.0
Adu-AMat_064-Ex2-5E-lcwgs-1-1.clmp.fp2_r2_screen	42493.0	19798.0	6197.0	1800.0	91.0	888.0	303.0	356.0	0.0	0.0	78633.0	2986077.0
Adu-AMat_065-Ex2-5F-lcwgs-3-1.clmp.fp2_r1_screen	55731.0	24164.0	12966.0	1898.0	154.0	1044.0	332.0	428.0	3.0	0.0	134162.0	3304818.0
Adu-AMat_065-Ex2-5F-lcwgs-3-1.clmp.fp2_r2_screen	55670.0	23945.0	13038.0	1922.0	188.0	1048.0	333.0	446.0	2.0	0.0	134997.0	3304111.0
Adu-AMat_066-Ex2-5G-lcwgs-3-1.clmp.fp2_r1_screen	22378.0	5955.0	4456.0	547.0	78.0	254.0	87.0	100.0	0.0	0.0	33447.0	972914.0
Adu-AMat_066-Ex2-5G-lcwgs-3-1.clmp.fp2_r2_screen	22512.0	5878.0	4447.0	513.0	72.0	277.0	85.0	79.0	0.0	0.0	33439.0	972914.0
Adu-AMat_067-Ex2-5H-lcwgs-3-1.clmp.fp2_r1_screen	280719.0	12314.0	5218.0	856.0	113.0	167.0	82.0	65.0	1.0	0.0	62736.0	934331.0
Adu-AMat_067-Ex2-5H-lcwgs-3-1.clmp.fp2_r2_screen	280680.0	12335.0	5257.0	842.0	114.0	158.0	79.0	58.0	0.0	0.0	62878.0	934201.0
Adu-AMat_068-Ex2-6A-lcwgs-3-1.clmp.fp2_r1_screen	244522.0	63745.0	151299.0	16693.0	6645.0	230.0	100.0	86.0	1.0	0.0	211827.0	1432638.0
Adu-AMat_068-Ex2-6A-lcwgs-3-1.clmp.fp2_r2_screen	244215.0	64003.0	151311.0	16694.0	6752.0	227.0	67.0	85.0	0.0	0.0	211794.0	1432638.0
Adu-AMat_069-Ex2-6B-lcwgs-3-1.clmp.fp2_r1_screen	4538.0	1729.0	715.0	137.0	14.0	57.0	11.0	19.0	0.0	0.0	5448.0	206880.0
Adu-AMat_069-Ex2-6B-lcwgs-3-1.clmp.fp2_r2_screen	4536.0	1684.0	737.0	140.0	16.0	53.0	24.0	25.0	0.0	0.0	5431.0	206902.0
Adu-AMat_070-Ex2-6C-lcwgs-3-1.clmp.fp2_r1_screen	2323.0	2665.0	825.0	288.0	34.0	128.0	58.0	57.0	2.0	0.0	9803.0	589902.0
Adu-AMat_070-Ex2-6C-lcwgs-3-1.clmp.fp2_r2_screen	2293.0	2721.0	851.0	256.0	38.0	148.0	47.0	52.0	0.0	0.0	9838.0	589841.0
Adu-AMat_071-Ex2-6D-lcwgs-3-1.clmp.fp2_r1_screen	13553.0	17782.0	3011.0	1764.0	84.0	950.0	361.0	376.0	1.0	0.0	51742.0	3193287.0
Adu-AMat_071-Ex2-6D-lcwgs-3-1.clmp.fp2_r2_screen	13391.0	17716.0	3064.0	1816.0	83.0	941.0	335.0	387.0	1.0	0.0	52218.0	3192959.0
Adu-AMat_072-Ex2-6E-lcwgs-2-1.clmp.fp2_r1_screen	1373.0	585.0	747.0	54.0	9.0	35.0	9.0	18.0	0.0	0.0	3108.0	77688.0
Adu-AMat_072-Ex2-6E-lcwgs-2-1.clmp.fp2_r2_screen	1316.0	623.0	755.0	68.0	10.0	25.0	8.0	9.0	0.0	0.0	3141.0	77671.0
Adu-AMat_073-Ex2-6F-lcwgs-2-1.clmp.fp2_r1_screen	52048.0	23263.0	5692.0	2046.0	123.0	1005.0	340.0	325.0	1.0	0.0	109732.0	3554458.0
Adu-AMat_073-Ex2-6F-lcwgs-2-1.clmp.fp2_r2_screen	52448.0	23212.0	5708.0	2005.0	122.0	999.0	342.0	316.0	0.0	0.0	109798.0	3554083.0
Adu-AMat_074-Ex2-6G-lcwgs-3-1.clmp.fp2_r1_screen	2584.0	611.0	368.0	44.0	2.0	16.0	8.0	9.0	0.0	0.0	2864.0	81291.0
Adu-AMat_074-Ex2-6G-lcwgs-3-1.clmp.fp2_r2_screen	2610.0	626.0	362.0	47.0	8.0	20.0	6.0	6.0	0.0	0.0	2874.0	81238.0
Adu-AMat_075-Ex2-6H-lcwgs-3-1.clmp.fp2_r1_screen	12500.0	29393.0	7485.0	2710.0	146.0	1538.0	581.0	608.0	0.0	0.0	89137.0	4504200.0
Adu-AMat_075-Ex2-6H-lcwgs-3-1.clmp.fp2_r2_screen	12560.0	29750.0	7476.0	2852.0	145.0	1550.0	577.0	615.0	5.0	0.0	89497.0	4503271.0
Adu-AMat_076-Ex2-7A-lcwgs-2-1.clmp.fp2_r1_screen	3434.0	3166.0	2678.0	316.0	25.0	140.0	48.0	63.0	0.0	0.0	14297.0	623729.0
Adu-AMat_076-Ex2-7A-lcwgs-2-1.clmp.fp2_r2_screen	3460.0	3095.0	2711.0	312.0	35.0	149.0	55.0	54.0	0.0	0.0	14361.0	623664.0
Adu-AMat_077-Ex2-7B-lcwgs-3-1.clmp.fp2_r1_screen	15198.0	12261.0	5311.0	1129.0	74.0	491.0	212.0	209.0	1.0	0.0	59814.0	1950649.0
Adu-AMat_077-Ex2-7B-lcwgs-3-1.clmp.fp2_r2_screen	15044.0	11963.0	5257.0	1116.0	64.0	480.0	210.0	212.0	0.0	0.0	59945.0	1951058.0
Adu-AMat_078-Ex2-7C-lcwgs-3-1.clmp.fp2_r1_screen	10611.0	16910.0	3426.0	1744.0	118.0	1033.0	291.0	314.0	2.0	0.0	47477.0	3033111.0
Adu-AMat_078-Ex2-7C-lcwgs-3-1.clmp.fp2_r2_screen	10538.0	16894.0	3410.0	1748.0	107.0	1006.0	276.0	317.0	1.0	0.0	47940.0	3032800.0
Adu-AMat_079-Ex2-7D-lcwgs-2-1.clmp.fp2_r1_screen	21616.0	18968.0	6449.0	1794.0	93.0	957.0	318.0	309.0	2.0	0.0	107841.0	3408023.0
Adu-AMat_079-Ex2-7D-lcwgs-2-1.clmp.fp2_r2_screen	21659.0	18952.0	6347.0	1800.0	110.0	1010.0	336.0	289.0	2.0	0.0	108199.0	3407666.0
Adu-AMat_080-Ex1-3G-lcwgs-1-1.clmp.fp2_r1_screen	281.0	270.0	100.0	29.0	22.0	18.0	1.0	7.0	0.0	0.0	915.0	45703.0
Adu-AMat_080-Ex1-3G-lcwgs-1-1.clmp.fp2_r2_screen	292.0	262.0	100.0	27.0	25.0	13.0	2.0	4.0	0.0	0.0	928.0	45693.0
Adu-AMat_080-Ex2-7E-lcwgs-2-1.clmp.fp2_r1_screen	21496.0	26651.0	12174.0	2692.0	128.0	1534.0	447.0	514.0	0.0	0.0	93365.0	4531290.0
Adu-AMat_080-Ex2-7E-lcwgs-2-1.clmp.fp2_r2_screen	21627.0	26912.0	12232.0	2635.0	123.0	1492.0	463.0	525.0	5.0	0.0	93925.0	4530352.0
Adu-AMat_081-Ex2-7F-lcwgs-2-1.clmp.fp2_r1_screen	13941.0	12634.0	3395.0	1243.0	74.0	802.0	182.0	222.0	1.0	0.0	45875.0	2226588.0
Adu-AMat_081-Ex2-7F-lcwgs-2-1.clmp.fp2_r2_screen	13883.0	12736.0	3338.0	1311.0	63.0	759.0	193.0	239.0	2.0	0.0	46076.0	2226357.0
Adu-AMat_082-Ex1-3E-lcwgs-2-1.clmp.fp2_r1_screen	443.0	278.0	199.0	21.0	20.0	23.0	3.0	7.0	0.0	0.0	1071.0	51132.0
Adu-AMat_082-Ex1-3E-lcwgs-2-1.clmp.fp2_r2_screen	438.0	306.0	178.0	25.0	23.0	19.0	2.0	2.0	0.0	0.0	1072.0	51132.0
Adu-AMat_083-Ex2-7G-lcwgs-3-1.clmp.fp2_r1_screen	35294.0	53919.0	17607.0	5501.0	245.0	3015.0	940.0	1052.0	3.0	0.0	186996.0	8549249.0
Adu-AMat_083-Ex2-7G-lcwgs-3-1.clmp.fp2_r2_screen	35148.0	53913.0	17569.0	5449.0	240.0	2959.0	856.0	1110.0	6.0	0.0	188207.0	8548364.0
Adu-AMat_084-Ex2-7H-lcwgs-2-1.clmp.fp2_r1_screen	38839.0	19492.0	4772.0	1623.0	137.0	821.0	278.0	268.0	0.0	0.0	104746.0	3194674.0
Adu-AMat_084-Ex2-7H-lcwgs-2-1.clmp.fp2_r2_screen	38790.0	19488.0	4753.0	1560.0	144.0	815.0	309.0	247.0	2.0	0.0	104868.0	3194674.0
Adu-AMat_085-Ex2-8A-lcwgs-2-1.clmp.fp2_r1_screen	2920.0	3069.0	1263.0	322.0	12.0	207.0	48.0	61.0	0.0	0.0	9218.0	654245.0
Adu-AMat_085-Ex2-8A-lcwgs-2-1.clmp.fp2_r2_screen	2882.0	3106.0	1302.0	305.0	14.0	192.0	54.0	66.0	0.0	0.0	9132.0	654312.0
Adu-AMat_086-Ex2-8B-lcwgs-2-1.clmp.fp2_r1_screen	24336.0	6455.0	14055.0	473.0	41.0	269.0	59.0	85.0	0.0	0.0	29782.0	973807.0
Adu-AMat_086-Ex2-8B-lcwgs-2-1.clmp.fp2_r2_screen	24376.0	6554.0	14095.0	508.0	41.0	251.0	70.0	84.0	2.0	0.0	29783.0	973598.0
Adu-AMat_087-Ex2-8C-lcwgs-2-1.clmp.fp2_r1_screen	81174.0	21359.0	8175.0	1379.0	168.0	676.0	241.0	232.0	1.0	1.0	101221.0	2969749.0
Adu-AMat_087-Ex2-8C-lcwgs-2-1.clmp.fp2_r2_screen	81145.0	21207.0	8193.0	1416.0	133.0	697.0	243.0	204.0	2.0	0.0	101387.0	2969749.0
Adu-AMat_088-Ex2-9F-lcwgs-2-1.clmp.fp2_r1_screen	27142.0	12344.0	2069.0	961.0	80.0	535.0	177.0	265.0	0.0	0.0	46001.0	1590975.0
Adu-AMat_088-Ex2-9F-lcwgs-2-1.clmp.fp2_r2_screen	27106.0	12329.0	2065.0	905.0	100.0	565.0	193.0	235.0	1.0	0.0	46075.0	1590975.0
Adu-AMat_089-Ex1-4B-lcwgs-1-1.clmp.fp2_r1_screen	1015.0	549.0	117.0	53.0	18.0	43.0	8.0	10.0	0.0	0.0	2357.0	92125.0
Adu-AMat_089-Ex1-4B-lcwgs-1-1.clmp.fp2_r2_screen	1020.0	579.0	121.0	53.0	21.0	35.0	7.0	10.0	0.0	0.0	2382.0	92067.0
Adu-AMat_090-Ex1-9G-lcwgs-2-1.clmp.fp2_r1_screen	16585.0	11421.0	21904.0	1054.0	106.0	528.0	171.0	158.0	2.0	0.0	48968.0	2262019.0
Adu-AMat_090-Ex1-9G-lcwgs-2-1.clmp.fp2_r2_screen	16667.0	11513.0	21814.0	1082.0	97.0	476.0	178.0	194.0	1.0	0.0	49348.0	2261546.0
Adu-ASub_001-Ex1-1A-lcwgs-1-1.clmp.fp2_r1_screen	342.0	160.0	109.0	16.0	5.0	7.0	1.0	0.0	0.0	0.0	896.0	18460.0
Adu-ASub_001-Ex1-1A-lcwgs-1-1.clmp.fp2_r2_screen	337.0	170.0	103.0	14.0	5.0	4.0	1.0	0.0	0.0	0.0	890.0	18472.0
Adu-ASub_002-Ex1-1B-lcwgs-1-1.clmp.fp2_r1_screen	1170.0	268.0	183.0	11.0	14.0	67.0	1.0	0.0	0.0	0.0	1206.0	24597.0
Adu-ASub_002-Ex1-1B-lcwgs-1-1.clmp.fp2_r2_screen	1149.0	285.0	181.0	17.0	13.0	63.0	3.0	4.0	1.0	0.0	1196.0	24605.0
Adu-ASub_003-Ex1-1C-lcwgs-1-1.clmp.fp2_r1_screen	1088.0	216.0	143.0	13.0	11.0	4.0	3.0	2.0	0.0	0.0	971.0	28295.0
Adu-ASub_003-Ex1-1C-lcwgs-1-1.clmp.fp2_r2_screen	1129.0	213.0	135.0	11.0	10.0	6.0	3.0	0.0	0.0	0.0	956.0	28283.0
Adu-ASub_004-Ex1-1D-lcwgs-1-1.clmp.fp2_r1_screen	786.0	218.0	165.0	22.0	12.0	7.0	1.0	2.0	0.0	0.0	1324.0	32064.0
Adu-ASub_004-Ex1-1D-lcwgs-1-1.clmp.fp2_r2_screen	790.0	212.0	163.0	17.0	9.0	10.0	1.0	0.0	0.0	0.0	1338.0	32061.0
Adu-ASub_005-Ex1-1E-lcwgs-1-1.clmp.fp2_r1_screen	3819.0	662.0	918.0	63.0	42.0	11.0	0.0	4.0	0.0	0.0	2890.0	61426.0
Adu-ASub_005-Ex1-1E-lcwgs-1-1.clmp.fp2_r2_screen	3837.0	669.0	927.0	63.0	47.0	8.0	3.0	1.0	0.0	0.0	2951.0	61329.0
Adu-ASub_006-Ex1-1F-lcwgs-1-1.clmp.fp2_r1_screen	3565.0	636.0	199.0	42.0	21.0	13.0	3.0	0.0	0.0	0.0	2332.0	53779.0
Adu-ASub_006-Ex1-1F-lcwgs-1-1.clmp.fp2_r2_screen	3617.0	659.0	205.0	44.0	24.0	5.0	1.0	1.0	1.0	0.0	2327.0	53706.0
Adu-ASub_007-Ex1-1G-lcwgs-1-1.clmp.fp2_r1_screen	2780.0	601.0	379.0	44.0	42.0	6.0	2.0	4.0	0.0	0.0	2438.0	50166.0
Adu-ASub_007-Ex1-1G-lcwgs-1-1.clmp.fp2_r2_screen	2811.0	622.0	384.0	35.0	32.0	4.0	2.0	3.0	0.0	0.0	2437.0	50132.0
Adu-ASub_008-Ex1-1H-lcwgs-1-1.clmp.fp2_r1_screen	825.0	296.0	101.0	22.0	16.0	9.0	0.0	3.0	0.0	0.0	1254.0	36930.0
Adu-ASub_008-Ex1-1H-lcwgs-1-1.clmp.fp2_r2_screen	837.0	292.0	109.0	21.0	19.0	10.0	0.0	3.0	0.0	0.0	1282.0	36883.0
Adu-ASub_009-Ex1-2A-lcwgs-1-1.clmp.fp2_r1_screen	1702.0	475.0	404.0	39.0	42.0	12.0	4.0	4.0	0.0	0.0	2412.0	48239.0
Adu-ASub_009-Ex1-2A-lcwgs-1-1.clmp.fp2_r2_screen	1714.0	491.0	424.0	32.0	36.0	16.0	4.0	1.0	0.0	0.0	2408.0	48207.0
Adu-ASub_010-Ex1-2B-lcwgs-1-1.clmp.fp2_r1_screen	3947.0	898.0	735.0	42.0	55.0	10.0	2.0	1.0	0.0	0.0	2568.0	64177.0
Adu-ASub_010-Ex1-2B-lcwgs-1-1.clmp.fp2_r2_screen	3931.0	927.0	725.0	44.0	59.0	7.0	2.0	0.0	0.0	0.0	2570.0	64170.0
Adu-ASub_011-Ex1-2C-lcwgs-1-1.clmp.fp2_r1_screen	25913.0	3776.0	28986.0	195.0	205.0	18.0	6.0	1.0	0.0	0.0	21033.0	239628.0
Adu-ASub_011-Ex1-2C-lcwgs-1-1.clmp.fp2_r2_screen	25758.0	3749.0	28980.0	181.0	203.0	28.0	4.0	2.0	1.0	0.0	21067.0	239788.0
Adu-ASub_012-Ex1-2D-lcwgs-1-1.clmp.fp2_r1_screen	1450.0	249.0	270.0	25.0	6.0	3.0	0.0	3.0	0.0	0.0	1432.0	32261.0
Adu-ASub_012-Ex1-2D-lcwgs-1-1.clmp.fp2_r2_screen	1427.0	253.0	266.0	24.0	6.0	5.0	0.0	2.0	0.0	0.0	1445.0	32271.0
Adu-ASub_013-Ex1-2E-lcwgs-1-1.clmp.fp2_r1_screen	1296.0	335.0	305.0	28.0	14.0	7.0	1.0	0.0	0.0	0.0	1457.0	40973.0
Adu-ASub_013-Ex1-2E-lcwgs-1-1.clmp.fp2_r2_screen	1300.0	368.0	304.0	24.0	11.0	10.0	1.0	3.0	0.0	0.0	1404.0	40991.0
Adu-ASub_014-Ex1-2F-lcwgs-1-1.clmp.fp2_r1_screen	166.0	128.0	56.0	14.0	0.0	5.0	2.0	1.0	0.0	0.0	544.0	25025.0
Adu-ASub_014-Ex1-2F-lcwgs-1-1.clmp.fp2_r2_screen	180.0	113.0	54.0	13.0	2.0	6.0	2.0	3.0	0.0	0.0	548.0	25020.0
Adu-ASub_015-Ex1-2G-lcwgs-1-1.clmp.fp2_r1_screen	2687.0	615.0	605.0	46.0	40.0	10.0	7.0	1.0	0.0	0.0	2304.0	53598.0
Adu-ASub_015-Ex1-2G-lcwgs-1-1.clmp.fp2_r2_screen	2657.0	632.0	598.0	49.0	32.0	3.0	4.0	2.0	1.0	0.0	2313.0	53622.0
Adu-ASub_016-Ex1-2H-lcwgs-1-1.clmp.fp2_r1_screen	947.0	316.0	153.0	20.0	8.0	12.0	1.0	2.0	0.0	0.0	1121.0	38110.0
Adu-ASub_016-Ex1-2H-lcwgs-1-1.clmp.fp2_r2_screen	962.0	310.0	155.0	19.0	11.0	8.0	3.0	3.0	0.0	0.0	1150.0	38069.0
Adu-ASub_017-Ex1-3A-lcwgs-1-1.clmp.fp2_r1_screen	5267.0	529.0	1045.0	56.0	48.0	9.0	1.0	3.0	0.0	0.0	3990.0	48226.0
Adu-ASub_017-Ex1-3A-lcwgs-1-1.clmp.fp2_r2_screen	5210.0	519.0	1049.0	44.0	45.0	7.0	0.0	2.0	0.0	0.0	4036.0	48262.0
Adu-ASub_018-Ex1-3B-lcwgs-1-1.clmp.fp2_r1_screen	28900.0	3841.0	1897.0	160.0	178.0	26.0	4.0	0.0	0.0	0.0	16612.0	258213.0
Adu-ASub_018-Ex1-3B-lcwgs-1-1.clmp.fp2_r2_screen	28962.0	3910.0	1879.0	156.0	161.0	20.0	3.0	1.0	0.0	0.0	16712.0	258027.0
Adu-ASub_019-Ex1-3C-lcwgs-1-1.clmp.fp2_r1_screen	95497.0	14727.0	4548.0	650.0	638.0	54.0	11.0	4.0	0.0	0.0	45534.0	893573.0
Adu-ASub_019-Ex1-3C-lcwgs-1-1.clmp.fp2_r2_screen	95360.0	14627.0	4552.0	670.0	663.0	47.0	9.0	3.0	0.0	0.0	45626.0	893679.0
Adu-ASub_020-Ex1-3D-lcwgs-1-1.clmp.fp2_r1_screen	5366.0	769.0	613.0	53.0	44.0	5.0	3.0	2.0	0.0	0.0	3978.0	59873.0
Adu-ASub_020-Ex1-3D-lcwgs-1-1.clmp.fp2_r2_screen	5376.0	738.0	596.0	45.0	34.0	4.0	2.0	1.0	1.0	0.0	3993.0	59916.0
Adu-ASub_021-Ex1-3E-lcwgs-1-1.clmp.fp2_r1_screen	46004.0	9608.0	4526.0	501.0	489.0	50.0	15.0	11.0	0.0	0.0	28233.0	561007.0
Adu-ASub_021-Ex1-3E-lcwgs-1-1.clmp.fp2_r2_screen	45879.0	9711.0	4502.0	527.0	509.0	45.0	19.0	10.0	1.0	0.0	28364.0	560877.0
Adu-ASub_022-Ex1-3F-lcwgs-1-1.clmp.fp2_r1_screen	2593.0	629.0	563.0	37.0	47.0	12.0	1.0	0.0	0.0	0.0	2693.0	57759.0
Adu-ASub_022-Ex1-3F-lcwgs-1-1.clmp.fp2_r2_screen	2576.0	647.0	564.0	36.0	39.0	12.0	3.0	1.0	0.0	0.0	2710.0	57746.0
Adu-ASub_023-Ex1-3G-lcwgs-1-1.clmp.fp2_r1_screen	6458.0	1217.0	918.0	88.0	55.0	10.0	7.0	2.0	0.0	0.0	3921.0	82272.0
Adu-ASub_023-Ex1-3G-lcwgs-1-1.clmp.fp2_r2_screen	6497.0	1193.0	928.0	75.0	53.0	7.0	11.0	2.0	0.0	0.0	3910.0	82272.0
Adu-ASub_024-Ex1-3H-lcwgs-1-1.clmp.fp2_r1_screen	51577.0	11058.0	8566.0	352.0	511.0	28.0	7.0	7.0	0.0	0.0	30009.0	593961.0
Adu-ASub_024-Ex1-3H-lcwgs-1-1.clmp.fp2_r2_screen	51348.0	11055.0	8537.0	372.0	524.0	21.0	12.0	3.0	0.0	0.0	30312.0	593892.0
Adu-ASub_025-Ex1-4A-lcwgs-1-1.clmp.fp2_r1_screen	20705.0	3684.0	3385.0	106.0	192.0	11.0	4.0	1.0	0.0	0.0	11180.0	210524.0
Adu-ASub_025-Ex1-4A-lcwgs-1-1.clmp.fp2_r2_screen	20744.0	3646.0	3414.0	104.0	178.0	12.0	1.0	0.0	1.0	0.0	11193.0	210499.0
Adu-ASub_026-Ex1-4B-lcwgs-1-1.clmp.fp2_r1_screen	63453.0	12721.0	58866.0	1048.0	881.0	37.0	11.0	2.0	0.0	0.0	44208.0	741516.0
Adu-ASub_026-Ex1-4B-lcwgs-1-1.clmp.fp2_r2_screen	63231.0	12805.0	58845.0	1054.0	895.0	31.0	9.0	1.0	0.0	0.0	44264.0	741608.0
Adu-ASub_027-Ex1-4C-lcwgs-1-1.clmp.fp2_r1_screen	66588.0	12456.0	24965.0	730.0	505.0	404.0	29.0	20.0	0.0	0.0	53684.0	793281.0
Adu-ASub_027-Ex1-4C-lcwgs-1-1.clmp.fp2_r2_screen	66354.0	12310.0	24986.0	716.0	522.0	389.0	26.0	26.0	1.0	0.0	53956.0	793376.0
Adu-ASub_028-Ex1-4D-lcwgs-1-1.clmp.fp2_r1_screen	47706.0	8672.0	6955.0	494.0	416.0	42.0	7.0	4.0	0.0	0.0	25192.0	527241.0
Adu-ASub_028-Ex1-4D-lcwgs-1-1.clmp.fp2_r2_screen	47780.0	8681.0	6979.0	480.0	420.0	38.0	10.0	5.0	0.0	0.0	25157.0	527179.0
Adu-ASub_029-Ex1-4E-lcwgs-1-1.clmp.fp2_r1_screen	65034.0	16958.0	9980.0	820.0	822.0	93.0	49.0	35.0	0.0	0.0	41792.0	962250.0
Adu-ASub_029-Ex1-4E-lcwgs-1-1.clmp.fp2_r2_screen	64751.0	16976.0	9916.0	817.0	871.0	89.0	47.0	34.0	1.0	0.0	42191.0	962140.0
Adu-ASub_030-Ex1-4F-lcwgs-1-1.clmp.fp2_r1_screen	30010.0	4184.0	2209.0	143.0	201.0	31.0	7.0	4.0	0.0	0.0	18684.0	272572.0
Adu-ASub_030-Ex1-4F-lcwgs-1-1.clmp.fp2_r2_screen	30202.0	4209.0	2203.0	133.0	205.0	29.0	5.0	4.0	0.0	0.0	18680.0	272375.0
Adu-ASub_031-Ex1-4G-lcwgs-1-1.clmp.fp2_r1_screen	11629.0	2376.0	1331.0	129.0	73.0	22.0	5.0	5.0	0.0	0.0	7877.0	151139.0
Adu-ASub_031-Ex1-4G-lcwgs-1-1.clmp.fp2_r2_screen	11716.0	2351.0	1323.0	130.0	83.0	18.0	4.0	7.0	0.0	0.0	7868.0	151086.0
Adu-ASub_032-Ex1-4H-lcwgs-1-1.clmp.fp2_r1_screen	2777.0	587.0	755.0	32.0	15.0	5.0	2.0	3.0	0.0	0.0	2350.0	50968.0
Adu-ASub_032-Ex1-4H-lcwgs-1-1.clmp.fp2_r2_screen	2678.0	583.0	754.0	37.0	15.0	6.0	6.0	1.0	0.0	0.0	2337.0	51077.0
Adu-ASub_033-Ex1-5A-lcwgs-1-1.clmp.fp2_r1_screen	23907.0	4582.0	19902.0	603.0	309.0	39.0	2.0	9.0	0.0	0.0	20179.0	292989.0
Adu-ASub_033-Ex1-5A-lcwgs-1-1.clmp.fp2_r2_screen	23971.0	4656.0	19837.0	604.0	291.0	27.0	5.0	3.0	1.0	0.0	20355.0	292771.0
Adu-ASub_034-Ex1-5B-lcwgs-1-1.clmp.fp2_r1_screen	30530.0	5828.0	18953.0	511.0	246.0	13.0	9.0	0.0	0.0	0.0	17734.0	308881.0
Adu-ASub_034-Ex1-5B-lcwgs-1-1.clmp.fp2_r2_screen	30417.0	5804.0	18941.0	519.0	281.0	12.0	5.0	2.0	0.0	0.0	17767.0	308957.0
Adu-ASub_035-Ex1-5C-lcwgs-1-1.clmp.fp2_r1_screen	8482.0	1275.0	7744.0	139.0	68.0	18.0	6.0	2.0	0.0	0.0	6618.0	83590.0
Adu-ASub_035-Ex1-5C-lcwgs-1-1.clmp.fp2_r2_screen	8445.0	1238.0	7747.0	138.0	73.0	19.0	5.0	6.0	0.0	0.0	6670.0	83601.0
