Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Viruses	Bird	Plant	Coral	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Adu-AGui_018-Ex1-6B-lcwgs-1-1.clmp.fp2_r1_screen	17372.0	8070.0	3984.0	656.0	643.0	307.0	35.0	42.0	0.0	0.0	57143.0	957386.0
Adu-AGui_018-Ex1-6B-lcwgs-1-1.clmp.fp2_r2_screen	17300.0	8056.0	3925.0	639.0	606.0	281.0	37.0	50.0	3.0	0.0	57042.0	957699.0
Adu-AGui_019-Ex1-7B-lcwgs-1-1.clmp.fp2_r1_screen	14111.0	22547.0	5251.0	1933.0	491.0	1119.0	189.0	187.0	4.0	0.0	84261.0	3897531.0
Adu-AGui_019-Ex1-7B-lcwgs-1-1.clmp.fp2_r2_screen	13967.0	22437.0	5252.0	1995.0	488.0	1059.0	199.0	211.0	1.0	0.0	84484.0	3897531.0
Adu-AGui_020-Ex1-8B-lcwgs-1-1.clmp.fp2_r1_screen	7167.0	2765.0	1719.0	306.0	271.0	112.0	12.0	11.0	0.0	0.0	17093.0	370750.0
Adu-AGui_020-Ex1-8B-lcwgs-1-1.clmp.fp2_r2_screen	7071.0	2782.0	1707.0	314.0	261.0	110.0	13.0	12.0	0.0	0.0	17106.0	370830.0
Adu-AGui_021-Ex1-9B-lcwgs-1-1.clmp.fp2_r1_screen	24576.0	7035.0	2487.0	588.0	583.0	215.0	30.0	30.0	0.0	0.0	39447.0	752720.0
Adu-AGui_021-Ex1-9B-lcwgs-1-1.clmp.fp2_r2_screen	24787.0	6932.0	2387.0	600.0	542.0	198.0	21.0	25.0	0.0	0.0	39499.0	752720.0
Adu-AGui_022-Ex1-10B-lcwgs-1-1.clmp.fp2_r1_screen	16279.0	9942.0	2370.0	675.0	465.0	353.0	55.0	58.0	0.0	0.0	38781.0	1136916.0
Adu-AGui_022-Ex1-10B-lcwgs-1-1.clmp.fp2_r2_screen	16268.0	9889.0	2402.0	601.0	477.0	357.0	56.0	66.0	0.0	0.0	38500.0	1137278.0
Adu-AGui_023-Ex1-11B-lcwgs-1-1.clmp.fp2_r1_screen	3803.0	4156.0	698.0	419.0	46.0	273.0	40.0	32.0	0.0	0.0	22371.0	910110.0
Adu-AGui_023-Ex1-11B-lcwgs-1-1.clmp.fp2_r2_screen	3764.0	4183.0	686.0	457.0	49.0	288.0	34.0	35.0	0.0	0.0	22248.0	910204.0
Adu-AGui_024-Ex1-12B-lcwgs-1-1.clmp.fp2_r1_screen	927.0	983.0	411.0	102.0	80.0	43.0	5.0	12.0	0.0	0.0	4612.0	157388.0
Adu-AGui_024-Ex1-12B-lcwgs-1-1.clmp.fp2_r2_screen	957.0	1003.0	407.0	90.0	74.0	54.0	10.0	10.0	0.0	0.0	4587.0	157371.0
Adu-AGui_025-Ex1-5C-lcwgs-1-1.clmp.fp2_r1_screen	4188.0	7538.0	1882.0	665.0	178.0	312.0	55.0	73.0	0.0	0.0	27935.0	1247110.0
Adu-AGui_025-Ex1-5C-lcwgs-1-1.clmp.fp2_r2_screen	4140.0	7662.0	1924.0	661.0	180.0	317.0	64.0	48.0	0.0	0.0	28088.0	1246852.0
Adu-AGui_026-Ex1-6C-lcwgs-1-1.clmp.fp2_r1_screen	53058.0	18142.0	2322.0	1426.0	185.0	796.0	126.0	139.0	0.0	0.0	141984.0	2702534.0
Adu-AGui_026-Ex1-6C-lcwgs-1-1.clmp.fp2_r2_screen	52968.0	18287.0	2281.0	1464.0	188.0	818.0	135.0	140.0	1.0	0.0	141604.0	2702826.0
Adu-AGui_027-Ex1-9C-lcwgs-1-1.clmp.fp2_r1_screen	17447.0	28481.0	6351.0	2446.0	747.0	1390.0	248.0	300.0	3.0	0.0	107812.0	4796478.0
Adu-AGui_027-Ex1-9C-lcwgs-1-1.clmp.fp2_r2_screen	17519.0	28327.0	6266.0	2472.0	721.0	1371.0	263.0	297.0	0.0	0.0	107989.0	4796478.0
Adu-AGui_028-Ex1-10C-lcwgs-1-1.clmp.fp2_r1_screen	6968.0	2899.0	800.0	300.0	29.0	162.0	24.0	28.0	0.0	0.0	17922.0	576522.0
Adu-AGui_028-Ex1-10C-lcwgs-1-1.clmp.fp2_r2_screen	6943.0	2994.0	808.0	297.0	27.0	148.0	24.0	29.0	0.0	0.0	17984.0	576400.0
Adu-AGui_029-Ex1-11C-lcwgs-1-1.clmp.fp2_r1_screen	3680.0	1827.0	259.0	175.0	14.0	91.0	10.0	24.0	0.0	0.0	12103.0	309435.0
Adu-AGui_029-Ex1-11C-lcwgs-1-1.clmp.fp2_r2_screen	3638.0	1791.0	254.0	161.0	14.0	75.0	17.0	20.0	0.0	0.0	12049.0	309599.0
Adu-AGui_030-Ex1-12C-lcwgs-1-1.clmp.fp2_r1_screen	12727.0	3142.0	1521.0	5316.0	233.0	95.0	8.0	16.0	0.0	0.0	17587.0	316827.0
Adu-AGui_030-Ex1-12C-lcwgs-1-1.clmp.fp2_r2_screen	12680.0	3107.0	1476.0	5260.0	233.0	83.0	11.0	8.0	1.0	0.0	17679.0	316934.0
Adu-AGui_031-Ex1-1C-lcwgs-1-1.clmp.fp2_r1_screen	2876.0	4247.0	2961.0	261.0	219.0	185.0	40.0	35.0	0.0	0.0	22727.0	572050.0
Adu-AGui_031-Ex1-1C-lcwgs-1-1.clmp.fp2_r2_screen	2914.0	4245.0	2920.0	294.0	206.0	192.0	28.0	21.0	0.0	0.0	22731.0	572050.0
Adu-AGui_032-Ex1-2C-lcwgs-1-1.clmp.fp2_r1_screen	18185.0	27992.0	7031.0	2457.0	762.0	1265.0	278.0	298.0	5.0	0.0	114722.0	4251428.0
Adu-AGui_032-Ex1-2C-lcwgs-1-1.clmp.fp2_r2_screen	18042.0	28103.0	6898.0	2433.0	775.0	1203.0	281.0	300.0	3.0	0.0	114957.0	4251428.0
Adu-AGui_033-Ex1-3C-lcwgs-1-1.clmp.fp2_r1_screen	12804.0	8312.0	2487.0	822.0	65.0	434.0	83.0	81.0	0.0	0.0	61041.0	1622761.0
Adu-AGui_033-Ex1-3C-lcwgs-1-1.clmp.fp2_r2_screen	12696.0	8141.0	2529.0	871.0	84.0	457.0	74.0	77.0	0.0	0.0	60858.0	1623103.0
Adu-AGui_034-Ex1-4C-lcwgs-1-1.clmp.fp2_r1_screen	419192.0	129451.0	8141.0	2572.0	11976.0	1424.0	351.0	385.0	1.0	0.0	371112.0	5985731.0
Adu-AGui_034-Ex1-4C-lcwgs-1-1.clmp.fp2_r2_screen	417916.0	129432.0	8114.0	2565.0	11998.0	1352.0	328.0	397.0	1.0	0.0	370423.0	5987810.0
Adu-AGui_035-Ex1-7C-lcwgs-1-1.clmp.fp2_r1_screen	85693.0	24954.0	1874.0	697.0	1897.0	383.0	74.0	100.0	0.0	0.0	79522.0	2007898.0
Adu-AGui_035-Ex1-7C-lcwgs-1-1.clmp.fp2_r2_screen	85540.0	25360.0	1933.0	640.0	1842.0	392.0	85.0	62.0	1.0	0.0	79339.0	2007898.0
Adu-AGui_036-Ex1-8C-lcwgs-1-1.clmp.fp2_r1_screen	3859.0	6536.0	1768.0	527.0	164.0	275.0	41.0	43.0	1.0	0.0	26580.0	1012942.0
Adu-AGui_036-Ex1-8C-lcwgs-1-1.clmp.fp2_r2_screen	3806.0	6513.0	1827.0	510.0	168.0	297.0	47.0	48.0	0.0	0.0	26578.0	1012942.0
Adu-AGui_037-Ex1-1D-lcwgs-1-1.clmp.fp2_r1_screen	113115.0	36336.0	5655.0	1110.0	2792.0	703.0	156.0	145.0	1.0	1.0	122876.0	3651602.0
Adu-AGui_037-Ex1-1D-lcwgs-1-1.clmp.fp2_r2_screen	113329.0	36667.0	5658.0	1170.0	2796.0	664.0	135.0	122.0	3.0	0.0	122740.0	3651208.0
Adu-AGui_038-Ex1-2D-lcwgs-1-1.clmp.fp2_r1_screen	101583.0	35672.0	2389.0	1415.0	2394.0	691.0	131.0	163.0	1.0	0.0	103712.0	3281735.0
Adu-AGui_038-Ex1-2D-lcwgs-1-1.clmp.fp2_r2_screen	101113.0	35621.0	2375.0	1455.0	2378.0	635.0	139.0	171.0	0.0	0.0	103911.0	3282088.0
Adu-AGui_039-Ex1-3D-lcwgs-1-1.clmp.fp2_r1_screen	51569.0	19577.0	9650.0	1400.0	1339.0	763.0	157.0	141.0	0.0	0.0	159829.0	2901319.0
Adu-AGui_039-Ex1-3D-lcwgs-1-1.clmp.fp2_r2_screen	51399.0	19609.0	9457.0	1444.0	1272.0	783.0	148.0	141.0	1.0	0.0	159542.0	2901948.0
Adu-AGui_040-Ex1-4D-lcwgs-1-1.clmp.fp2_r1_screen	7623.0	1317.0	144.0	54.0	60.0	17.0	8.0	8.0	0.0	0.0	5234.0	102275.0
