pos	3pG>A
1	0.00623582766439909
2	0.00591741722142453
3	0.00537847727372922
4	0.00476784600303003
5	0.00476253472681572
6	0.00569961712495649
7	0.00470978151846845
8	0.00427966286737412
9	0.00413057961359094
10	0.00548226065252273
11	0.00409330985915493
12	0.00458250716016744
13	0.00448988664147588
14	0.00309830478466782
15	0.00383551868700384
16	0.0042617419870372
17	0.00359122145865662
18	0.00462168229235442
19	0.00471469486671073
20	0.00392572008292532
21	0.00447794280647307
22	0.00460054852693975
23	0.00459445131648701
24	0.00401248328131966
25	0.00394801046888169
