# table produced by mapDamage version 2.2.1
# using mapped file - and /home/e1garcia/shotgun_PIRE/pire_lcwgs_data_processing/salarias_fasciatus/1st_sequencing_run/refGenome/GCF_902148845.1_fSalaFa1.1_chr1-23-mtgen.fasta as reference file
# Std: strand of reads
Std	Length	Occurences 
+	92	174
+	96	202
+	122	231
+	145	205
+	132	218
+	121	220
+	86	176
+	58	62
+	112	204
+	130	201
+	179	135
+	62	80
+	69	124
+	140	210
+	208	133
+	198	143
+	155	189
+	75	108
+	149	155
+	103	205
+	202	122
+	206	137
+	211	138
+	90	180
+	84	154
+	100	180
+	72	127
+	102	205
+	234	132
+	189	136
+	173	184
+	166	173
+	213	122
+	185	164
+	144	205
+	150	204
+	197	119
+	136	205
+	50	35
+	193	130
+	81	142
+	67	103
+	230	102
+	129	221
+	151	214
+	177	148
+	178	163
+	248	68
+	97	194
+	233	109
+	123	220
+	220	125
+	196	150
+	143	210
+	126	198
+	94	169
+	216	107
+	141	216
+	111	210
+	161	179
+	175	148
+	108	216
+	133	219
+	139	222
+	106	204
+	113	208
+	127	193
+	192	145
+	76	116
+	221	121
+	168	174
+	64	82
+	207	132
+	105	193
+	212	134
+	164	181
+	119	193
+	242	93
+	83	172
+	82	162
+	205	127
+	162	196
+	214	117
+	87	166
+	59	71
+	131	221
+	147	194
+	114	209
+	153	185
+	60	71
+	187	184
+	255	89
+	138	231
+	259	71
+	157	205
+	256	91
+	169	178
+	218	102
+	215	129
+	170	168
+	137	240
+	191	141
+	154	211
+	77	128
+	222	124
+	171	170
+	217	147
+	174	165
+	225	115
+	184	165
+	73	121
+	51	43
+	240	83
+	74	129
+	182	158
+	118	185
+	120	233
+	110	209
+	117	181
+	203	121
+	227	105
+	146	204
+	181	169
+	195	130
+	79	115
+	124	199
+	232	83
+	231	91
+	142	192
+	156	196
+	115	203
+	190	168
+	228	108
+	237	82
+	63	69
+	95	186
+	183	182
+	107	209
+	148	187
+	163	181
+	172	163
+	44	20
+	65	74
+	194	133
+	245	89
+	176	163
+	78	134
+	238	115
+	204	137
+	186	178
+	98	197
+	239	87
+	125	215
+	246	83
+	109	206
+	89	173
+	61	49
+	252	76
+	91	167
+	55	42
+	128	187
+	188	136
+	167	187
+	152	180
+	244	91
+	180	175
+	236	89
+	260	4
+	229	114
+	224	111
+	99	201
+	226	132
+	165	189
+	201	147
+	70	100
+	93	178
+	159	176
+	249	85
+	135	204
+	160	182
+	200	135
+	258	71
+	199	158
+	209	120
+	116	215
+	134	196
+	71	127
+	210	118
+	85	166
+	247	93
+	235	110
+	241	100
+	46	24
+	254	84
+	243	103
+	219	132
+	253	85
+	104	193
+	48	32
+	158	168
+	101	187
+	88	147
+	49	31
+	251	84
+	80	149
+	250	85
+	66	104
+	34	4
+	52	47
+	257	76
+	47	18
+	54	43
+	223	89
+	68	93
+	41	10
+	56	50
+	57	47
+	43	20
+	39	12
+	37	9
+	40	17
+	53	36
+	45	20
+	42	18
+	38	7
+	32	4
+	36	8
+	30	3
+	26	2
+	35	2
+	33	3
+	31	2
+	29	2
+	28	1
-	202	133
-	193	141
-	138	197
-	105	207
-	122	207
-	200	136
-	143	197
-	153	199
-	107	213
-	192	136
-	116	211
-	199	147
-	146	196
-	183	131
-	208	143
-	94	184
-	234	102
-	218	136
-	185	148
-	99	220
-	86	152
-	169	162
-	150	206
-	155	199
-	156	161
-	142	218
-	241	92
-	246	78
-	111	208
-	77	143
-	196	140
-	190	142
-	92	172
-	112	198
-	69	110
-	97	196
-	149	209
-	95	188
-	133	215
-	231	104
-	257	69
-	53	35
-	110	220
-	106	200
-	198	143
-	191	144
-	209	118
-	161	186
-	247	87
-	78	147
-	128	207
-	180	165
-	211	130
-	113	204
