Sample	Protists_1k	Bacteria_24k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Och-ACat_008-Ex1-8A-lcwgs-2-1.clmp.fp2_r2_screen	9645.0	1374.0	572.0	498.0	253.0	91.0	45.0	34.0	0.0	0.0	57780.0	780692.0
Och-ACat_009-Ex1-4C-lcwgs-1-1.clmp.fp2_r1_screen	80.0	80.0	31.0	7.0	6.0	3.0	1.0	0.0	0.0	0.0	335.0	12344.0
Och-ACat_009-Ex1-4C-lcwgs-1-1.clmp.fp2_r2_screen	89.0	93.0	27.0	7.0	6.0	1.0	2.0	1.0	0.0	0.0	327.0	12334.0
Och-ACat_009-Ex1-9A-lcwgs-2-1.clmp.fp2_r1_screen	6092.0	818.0	381.0	319.0	154.0	37.0	22.0	18.0	2.0	0.0	43861.0	360277.0
Och-ACat_009-Ex1-9A-lcwgs-2-1.clmp.fp2_r2_screen	6012.0	799.0	391.0	294.0	141.0	44.0	15.0	22.0	2.0	0.0	43737.0	360524.0
Och-ACat_010-Ex1-10A-lcwgs-2-1.clmp.fp2_r1_screen	1779.0	231.0	128.0	119.0	46.0	15.0	10.0	5.0	0.0	0.0	11804.0	135930.0
Och-ACat_010-Ex1-10A-lcwgs-2-1.clmp.fp2_r2_screen	1829.0	231.0	104.0	108.0	47.0	14.0	15.0	8.0	3.0	0.0	11793.0	135915.0
Och-ACat_011-Ex1-11A-lcwgs-2-1.clmp.fp2_r1_screen	22427.0	4672.0	2123.0	1383.0	996.0	303.0	202.0	73.0	3.0	0.0	131704.0	2093488.0
Och-ACat_011-Ex1-11A-lcwgs-2-1.clmp.fp2_r2_screen	22680.0	4571.0	2050.0	1451.0	919.0	249.0	221.0	86.0	3.0	0.0	130979.0	2094165.0
Och-ACat_012-Ex1-12A-lcwgs-2-1.clmp.fp2_r1_screen	17757.0	3197.0	1265.0	876.0	551.0	178.0	124.0	76.0	1.0	0.0	107920.0	1431378.0
Och-ACat_012-Ex1-12A-lcwgs-2-1.clmp.fp2_r2_screen	17973.0	3145.0	1173.0	886.0	574.0	153.0	138.0	84.0	0.0	0.0	107037.0	1432160.0
Och-ACat_013-Ex1-1B-lcwgs-2-1.clmp.fp2_r1_screen	24122.0	2966.0	1848.0	1360.0	853.0	255.0	188.0	71.0	2.0	0.0	132529.0	2100543.0
Och-ACat_013-Ex1-1B-lcwgs-2-1.clmp.fp2_r2_screen	24084.0	2928.0	1844.0	1399.0	826.0	232.0	158.0	80.0	11.0	0.0	131953.0	2101222.0
Och-ACat_014-Ex1-2B-lcwgs-2-1.clmp.fp2_r1_screen	25353.0	7790.0	3049.0	1963.0	1225.0	423.0	359.0	110.0	7.0	0.0	138533.0	2161648.0
Och-ACat_014-Ex1-2B-lcwgs-2-1.clmp.fp2_r2_screen	25485.0	7728.0	2984.0	1928.0	1272.0	406.0	386.0	92.0	8.0	0.0	138289.0	2161882.0
Och-ACat_015-Ex1-3B-lcwgs-2-1.clmp.fp2_r1_screen	17657.0	1728.0	1226.0	936.0	543.0	134.0	102.0	61.0	5.0	0.0	107214.0	1246252.0
Och-ACat_015-Ex1-3B-lcwgs-2-1.clmp.fp2_r2_screen	17637.0	1682.0	1170.0	891.0	570.0	142.0	107.0	61.0	6.0	0.0	106652.0	1246940.0
