Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Goy-APnd_002-Ex1-1B-lcwgs-1-2.clmp.fp2_repr.R1	Goy-APnd_002-Ex1-1B-lcwgs-1-2.clmp.fp2_repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9693560.0	0.0	33-150	39.0	98.59607570426361	94.5603034385716	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
Goy-APnd_002-Ex1-1B-lcwgs-1-2.clmp.fp2_repr.R2	Goy-APnd_002-Ex1-1B-lcwgs-1-2.clmp.fp2_repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9693560.0	0.0	33-150	39.0	98.67744739217257	94.51563512270002	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
Goy-APnd_003-Ex1-1C-lcwgs-1-2.clmp.fp2_repr.R1	Goy-APnd_003-Ex1-1C-lcwgs-1-2.clmp.fp2_repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20799161.0	0.0	33-150	40.0	97.5971339966609	99.84038510014899	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
Goy-APnd_003-Ex1-1C-lcwgs-1-2.clmp.fp2_repr.R2	Goy-APnd_003-Ex1-1C-lcwgs-1-2.clmp.fp2_repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20799161.0	0.0	33-150	40.0	97.7502439839409	99.78121425186333	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
Goy-APnd_004-Ex1-1D-lcwgs-1-2.clmp.fp2_repr.R1	Goy-APnd_004-Ex1-1D-lcwgs-1-2.clmp.fp2_repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	74843306.0	0.0	33-150	40.0	97.32020863158478	93.987053578312	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
Goy-APnd_004-Ex1-1D-lcwgs-1-2.clmp.fp2_repr.R2	Goy-APnd_004-Ex1-1D-lcwgs-1-2.clmp.fp2_repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	74843306.0	0.0	33-150	40.0	97.57069119474778	93.9492070272791	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
Goy-APnd_005-Ex1-1E-lcwgs-1-2.clmp.fp2_repr.R1	Goy-APnd_005-Ex1-1E-lcwgs-1-2.clmp.fp2_repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6509338.0	0.0	33-150	40.0	98.11421272827651	95.34637685122512	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
Goy-APnd_005-Ex1-1E-lcwgs-1-2.clmp.fp2_repr.R2	Goy-APnd_005-Ex1-1E-lcwgs-1-2.clmp.fp2_repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6509338.0	0.0	33-150	40.0	98.19329255275872	95.32006972137566	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
Goy-APnd_006-Ex1-1F-lcwgs-1-2.clmp.fp2_repr.R1	Goy-APnd_006-Ex1-1F-lcwgs-1-2.clmp.fp2_repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26199209.0	0.0	33-150	40.0	98.2050243800733	85.58139289625117	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
Goy-APnd_006-Ex1-1F-lcwgs-1-2.clmp.fp2_repr.R2	Goy-APnd_006-Ex1-1F-lcwgs-1-2.clmp.fp2_repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26199209.0	0.0	33-150	40.0	98.37597437824542	85.56183123696597	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
Goy-APnd_007-Ex1-1G-lcwgs-1-2.clmp.fp2_repr.R1	Goy-APnd_007-Ex1-1G-lcwgs-1-2.clmp.fp2_repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27284199.0	0.0	33-150	40.0	98.75405685461456	82.77321075102846	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
Goy-APnd_007-Ex1-1G-lcwgs-1-2.clmp.fp2_repr.R2	Goy-APnd_007-Ex1-1G-lcwgs-1-2.clmp.fp2_repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27284199.0	0.0	33-150	40.0	98.89418250106117	82.75573089024897	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
Goy-APnd_010-Ex1-2B-lcwgs-1-2.clmp.fp2_repr.R1	Goy-APnd_010-Ex1-2B-lcwgs-1-2.clmp.fp2_repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3134103.0	0.0	33-150	40.0	99.37472853342402	79.02915315801683	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	pass
Goy-APnd_010-Ex1-2B-lcwgs-1-2.clmp.fp2_repr.R2	Goy-APnd_010-Ex1-2B-lcwgs-1-2.clmp.fp2_repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3134103.0	0.0	33-150	40.0	99.38842824388642	79.01870072553454	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	pass
Goy-APnd_011-Ex1-2C-lcwgs-1-2.clmp.fp2_repr.R1	Goy-APnd_011-Ex1-2C-lcwgs-1-2.clmp.fp2_repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7991675.0	0.0	33-150	40.0	99.05406993888415	79.66579772075316	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
Goy-APnd_011-Ex1-2C-lcwgs-1-2.clmp.fp2_repr.R2	Goy-APnd_011-Ex1-2C-lcwgs-1-2.clmp.fp2_repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7991675.0	0.0	33-150	40.0	99.14493672342537	79.65715985697616	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
