Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Adu-AGui_001-Ex1-1A-lcwgs-1-1.clmp.r1	Adu-AGui_001-Ex1-1A-lcwgs-1-1.clmp.r1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	95748.0	0.0	33-150	45.0	98.56498308058654	101.91357521828132	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	pass
Adu-AGui_001-Ex1-1A-lcwgs-1-1.clmp.r2	Adu-AGui_001-Ex1-1A-lcwgs-1-1.clmp.r2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	95748.0	0.0	33-150	45.0	98.9587249864227	101.94929398003092	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	pass
Adu-AGui_002-Ex1-2A-lcwgs-1-1.clmp.r1	Adu-AGui_002-Ex1-2A-lcwgs-1-1.clmp.r1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	251948.0	0.0	33-150	44.0	98.34046250378628	101.38802848206772	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
Adu-AGui_002-Ex1-2A-lcwgs-1-1.clmp.r2	Adu-AGui_002-Ex1-2A-lcwgs-1-1.clmp.r2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	251948.0	0.0	33-150	44.0	98.79805363678403	101.41889596265897	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	pass
Adu-AGui_003-Ex1-3A-lcwgs-1-1.clmp.r1	Adu-AGui_003-Ex1-3A-lcwgs-1-1.clmp.r1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	393876.0	0.0	33-150	44.0	94.90149767641329	107.79392245275163	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	pass
Adu-AGui_003-Ex1-3A-lcwgs-1-1.clmp.r2	Adu-AGui_003-Ex1-3A-lcwgs-1-1.clmp.r2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	393876.0	0.0	33-150	44.0	96.3341697549781	107.82582589444394	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
Adu-AGui_004-Ex1-4A-lcwgs-1-1.clmp.r1	Adu-AGui_004-Ex1-4A-lcwgs-1-1.clmp.r1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	730899.0	0.0	33-150	40.0	99.62566389803284	85.4052119376275	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	pass
Adu-AGui_004-Ex1-4A-lcwgs-1-1.clmp.r2	Adu-AGui_004-Ex1-4A-lcwgs-1-1.clmp.r2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	730899.0	0.0	33-150	40.0	99.67878291526083	85.43525302401564	pass	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass
Adu-AGui_005-Ex1-5A-lcwgs-1-1.clmp.r1	Adu-AGui_005-Ex1-5A-lcwgs-1-1.clmp.r1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	472559.0	0.0	33-150	47.0	95.98634362846752	109.1369712564992	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
Adu-AGui_005-Ex1-5A-lcwgs-1-1.clmp.r2	Adu-AGui_005-Ex1-5A-lcwgs-1-1.clmp.r2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	472559.0	0.0	33-150	47.0	97.01126339337458	109.17057552601898	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
Adu-AGui_006-Ex1-6A-lcwgs-1-1.clmp.r1	Adu-AGui_006-Ex1-6A-lcwgs-1-1.clmp.r1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	347662.0	0.0	33-150	41.0	99.53312329332546	85.61895749319741	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	pass
Adu-AGui_006-Ex1-6A-lcwgs-1-1.clmp.r2	Adu-AGui_006-Ex1-6A-lcwgs-1-1.clmp.r2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	347662.0	0.0	33-150	41.0	99.63198640874461	85.66852575202351	pass	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass
Adu-AGui_007-Ex1-7A-lcwgs-1-1.clmp.r1	Adu-AGui_007-Ex1-7A-lcwgs-1-1.clmp.r1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2624831.0	0.0	33-150	39.0	96.79830173427946	107.9309970813359	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	pass
Adu-AGui_007-Ex1-7A-lcwgs-1-1.clmp.r2	Adu-AGui_007-Ex1-7A-lcwgs-1-1.clmp.r2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2624831.0	0.0	33-150	39.0	97.35087294097163	107.95888382909223	pass	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass
Adu-AGui_008-Ex1-8A-lcwgs-1-1.clmp.r1	Adu-AGui_008-Ex1-8A-lcwgs-1-1.clmp.r1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	974322.0	0.0	33-150	44.0	94.22407520374139	109.63808781901672	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	pass
Adu-AGui_008-Ex1-8A-lcwgs-1-1.clmp.r2	Adu-AGui_008-Ex1-8A-lcwgs-1-1.clmp.r2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	974322.0	0.0	33-150	44.0	95.56981442095389	109.67535578586956	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
Adu-AGui_009-Ex1-9A-lcwgs-1-1.clmp.r1	Adu-AGui_009-Ex1-9A-lcwgs-1-1.clmp.r1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	537361.0	0.0	33-150	41.0	99.37227147253434	89.24390121352313	pass	pass	fail	pass	warn	pass	pass	warn	pass	pass	pass
Adu-AGui_009-Ex1-9A-lcwgs-1-1.clmp.r2	Adu-AGui_009-Ex1-9A-lcwgs-1-1.clmp.r2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	537361.0	0.0	33-150	41.0	99.47664430397401	89.27695534287007	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	pass
Adu-AGui_010-Ex1-10A-lcwgs-1-1.clmp.r1	Adu-AGui_010-Ex1-10A-lcwgs-1-1.clmp.r1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	469157.0	0.0	33-150	41.0	98.04552554732568	101.33997361224495	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	pass
Adu-AGui_010-Ex1-10A-lcwgs-1-1.clmp.r2	Adu-AGui_010-Ex1-10A-lcwgs-1-1.clmp.r2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	469157.0	0.0	33-150	41.0	98.54555483055118	101.36936036337516	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
Adu-AGui_011-Ex1-11A-lcwgs-1-1.clmp.r1	Adu-AGui_011-Ex1-11A-lcwgs-1-1.clmp.r1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1794706.0	0.0	33-150	41.0	98.97014022850591	89.83861033506324	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	pass
Adu-AGui_011-Ex1-11A-lcwgs-1-1.clmp.r2	Adu-AGui_011-Ex1-11A-lcwgs-1-1.clmp.r2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1794706.0	0.0	33-150	41.0	99.1653835756221	89.86927329601617	pass	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass
Adu-AGui_012-Ex1-12A-lcwgs-1-1.clmp.r1	Adu-AGui_012-Ex1-12A-lcwgs-1-1.clmp.r1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	73841.0	0.0	33-150	43.0	98.97482428461153	87.79493777169866	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	pass
Adu-AGui_012-Ex1-12A-lcwgs-1-1.clmp.r2	Adu-AGui_012-Ex1-12A-lcwgs-1-1.clmp.r2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	73841.0	0.0	33-150	43.0	99.33099497569101	87.83322273533673	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	pass
Adu-AGui_013-Ex1-1B-lcwgs-1-1.clmp.r1	Adu-AGui_013-Ex1-1B-lcwgs-1-1.clmp.r1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1036864.0	0.0	33-150	43.0	97.20249766081145	96.3374174433677	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	pass
