Sequence_Name	Extraction_ID
SgA0100101A	Sgr-AMvi_001-Ex11A-lwgs-2-1
SgA0100202A	Sgr-AMvi_002-Ex12A-lwgs-2-1
SgA0100303A	Sgr-AMvi_003-Ex13A-lwgs-2-1
SgA0100404A	Sgr-AMvi_004-Ex14A-lwgs-2-1
SgA0100505A	Sgr-AMvi_005-Ex15A-lwgs-2-1
SgA0100606A	Sgr-AMvi_006-Ex16A-lwgs-2-1
SgA0100707A	Sgr-AMvi_007-Ex17A-lwgs-2-1
SgA0100909A	Sgr-AMvi_009-Ex19A-lwgs-2-1
SgA0101111A	Sgr-AMvi_011-Ex111A-lwgs-2-1
SgA0101212A	Sgr-AMvi_012-Ex112A-lwgs-2-1
SgA0101301B	Sgr-AMvi_013-Ex11B-lwgs-2-1
SgA0101402B	Sgr-AMvi_014-Ex12B-lwgs-2-1
SgA0101503B	Sgr-AMvi_015-Ex13B-lwgs-2-1
SgA0101806B	Sgr-AMvi_018-Ex16B-lwgs-2-1
SgA0101907B	Sgr-AMvi_019-Ex17B-lwgs-2-1
SgA0102008B	Sgr-AMvi_020-Ex18B-lwgs-2-1
SgA0102210B	Sgr-AMvi_022-Ex110B-lwgs-2-1
SgA0102311B	Sgr-AMvi_023-Ex111B-lwgs-2-1
SgA0102501C	Sgr-AMvi_025-Ex11C-lwgs-2-1
SgA0102703C	Sgr-AMvi_027-Ex13C-lwgs-2-1
SgA0102905C	Sgr-AMvi_029-Ex15C-lwgs-2-1
SgA0103006C	Sgr-AMvi_030-Ex16C-lwgs-2-1
SgA0103107C	Sgr-AMvi_031-Ex17C-lwgs-2-1
SgA0103208C	Sgr-AMvi_032-Ex18C-lwgs-2-1
SgA0103309C	Sgr-AMvi_033-Ex19C-lwgs-2-1
SgA0103410C	Sgr-AMvi_034-Ex110C-lwgs-2-1
SgA0103511C	Sgr-AMvi_035-Ex111C-lwgs-2-1
SgA0103612C	Sgr-AMvi_036-Ex112C-lwgs-2-1
SgA0103701D	Sgr-AMvi_037-Ex11D-lwgs-2-1
SgA0103802D	Sgr-AMvi_038-Ex12D-lwgs-2-1
SgA0103903D	Sgr-AMvi_039-Ex13D-lwgs-2-1
SgA0104004D	Sgr-AMvi_040-Ex14D-lwgs-2-1
SgA0104105D	Sgr-AMvi_041-Ex15D-lwgs-2-1
SgA0104206D	Sgr-AMvi_042-Ex16D-lwgs-2-1
SgA0104307D	Sgr-AMvi_043-Ex17D-lwgs-2-1
SgA0104408D	Sgr-AMvi_044-Ex18D-lwgs-2-1
SgA0104509D	Sgr-AMvi_045-Ex19D-lwgs-2-1
SgA0104610D	Sgr-AMvi_046-Ex110D-lwgs-2-1
SgA0104711D	Sgr-AMvi_047-Ex111D-lwgs-2-1
SgA0104812D	Sgr-AMvi_048-Ex112D-lwgs-2-1
SgA0104901E	Sgr-AMvi_049-Ex11E-lwgs-2-1
SgA0105002E	Sgr-AMvi_050-Ex12E-lwgs-2-1
SgA0105103E	Sgr-AMvi_051-Ex13E-lwgs-2-1
SgA0105204E	Sgr-AMvi_052-Ex14E-lwgs-2-1
SgA0105305E	Sgr-AMvi_053-Ex15E-lwgs-2-1
SgA0105406E	Sgr-AMvi_054-Ex16E-lwgs-2-1
SgA0105507E	Sgr-AMvi_055-Ex17E-lwgs-2-1
SgA0105608E	Sgr-AMvi_056-Ex18E-lwgs-2-1
SgA0105709E	Sgr-AMvi_057-Ex19E-lwgs-2-1
SgA0105810E	Sgr-AMvi_058-Ex110E-lwgs-2-1
SgA0105911E	Sgr-AMvi_059-Ex111E-lwgs-2-1
