Sample	Unique Reads	Duplicate Reads
Sfa-CBas_007-Ex1-7D-lcwgs-1-3.1	8360402.0	1641128.0
Sfa-CBas_007-Ex1-7D-lcwgs-1-3.2	8460581.0	1540949.0
Sfa-CBas_008-Ex1-4H-lcwgs-1-3.1	17784.0	648.0
Sfa-CBas_008-Ex1-4H-lcwgs-1-3.2	17838.0	594.0
Sfa-CBas_009-Ex1-6E-lcwgs-1-3.1	32474.0	1217.0
Sfa-CBas_009-Ex1-6E-lcwgs-1-3.2	32560.0	1131.0
Sfa-CBas_010-Ex1-6C-lcwgs-1-3.1	20071.0	631.0
Sfa-CBas_010-Ex1-6C-lcwgs-1-3.2	20132.0	570.0
Sfa-CBas_011-Ex1-5F-lcwgs-1-3.1	59986.0	2101.0
Sfa-CBas_011-Ex1-5F-lcwgs-1-3.2	60110.0	1977.0
Sfa-CBas_014-Ex1-8C-lcwgs-1-3.1	6230060.0	1228221.0
Sfa-CBas_014-Ex1-8C-lcwgs-1-3.2	6336001.0	1122280.0
Sfa-CBas_015-Ex1-7C-lcwgs-1-3.1	5305257.0	1028681.0
Sfa-CBas_015-Ex1-7C-lcwgs-1-3.2	5350909.0	983029.0
Sfa-CBas_016-Ex1-7G-lcwgs-1-3.1	8344563.0	1851356.0
Sfa-CBas_016-Ex1-7G-lcwgs-1-3.2	8514011.0	1681908.0
Sfa-CBas_017-Ex1-5A-lcwgs-2-3.1	9418549.0	1632212.0
Sfa-CBas_017-Ex1-5A-lcwgs-2-3.2	9668865.0	1381896.0
Sfa-CBas_019-Ex1-5A-lcwgs-1-3.1	28838.0	1157.0
Sfa-CBas_019-Ex1-5A-lcwgs-1-3.2	28887.0	1108.0
Sfa-CBas_020-Ex1-7A-lcwgs-1-3.1	3641202.0	676611.0
Sfa-CBas_020-Ex1-7A-lcwgs-1-3.2	3671761.0	646052.0
Sfa-CBas_021-Ex1-8D-lcwgs-1-3.1	3324011.0	674130.0
Sfa-CBas_021-Ex1-8D-lcwgs-1-3.2	3363452.0	634689.0
Sfa-CBas_023-Ex1-4G-lcwgs-1-3.1	13441.0	518.0
