Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255	256	257	258	259	260	261	262	263	264	265	266	267	268	269	270
Cvi-APal_001-Ex1-1A-lcwgs-1-2.clmp.r1r2_fastp	0.0	0.01564874292029286	0.011439770686558918	0.007014953722889902	0.0037772827738637932	0.002590136759220887	0.001942602569415665	0.001942602569415665	0.0011871460146429065	0.0006475341898052217	0.00043168945987014784	0.00043168945987014784	0.00032376709490261087	0.0007554565547727587	0.0005396118248376848	0.0006475341898052217	0.0006475341898052217	0.0010792236496753695	0.0009713012847078325	0.0014029907445779802	0.0012950683796104435	0.0015109131095455174	0.0031297485840585714	0.00248221439425335	0.004316894598701478	0.004208972233733941	0.004316894598701478	0.004640661693604089	0.004856506423539163	0.004640661693604089	0.003993127503798867	0.005072351153474237	0.003993127503798867	0.03831243956347562	0.042953101257079705	0.050291822074872226	0.057306775797762124	0.06302666114104158	0.07435850946263296	0.07932293825113966	0.08989933001795829	0.09950442050006908	0.11288679375604366	0.11493731869042685	0.13403957728968088	0.13857231661831743	0.1480694847354607	0.15141507804945434	0.16080432380163007	0.16943811299903302	0.18184918497029975	0.18184918497029975	0.19339687802182623	0.2018148224892941	0.20224651194916424	0.2148734286503661	0.22178046000828844	0.23980349495786712	0.22577358751208731	0.25253833402403647	0.25189079983423124	0.25847406409725104	0.2544809365934521	0.2541571694985495	0.25847406409725104	0.27671294377676475	0.2703455242436801	0.2793030805359856	0.28610218952894045	0.28081399364553117	0.28480712114933	0.2832962080397845	0.2772525556016024	0.2714247478933554	0.2818932172952065	0.28178529493023896	0.2786555463461804	0.2830803633098494	0.2741228070175438	0.2776842450614726	0.28642595662384307	0.26764746511949167	0.2811377607404338	0.26246719160104987	0.2711009807984528	0.26753954275452413	0.2635464152507252	0.2541571694985495	0.24962443016991295	0.26861876640419946	0.26289888106092	0.2528621011189391	0.2614958903163421	0.25221456692913385	0.261280045586407	0.26484148363033566	0.2517828774692637	0.25631561679790027	0.25512847078325734	0.2485452065202376	0.24260947644702308	0.24865312888520513	0.23634997927890594	0.24573922503108164	0.2380767371183865	0.23829258184832158	0.2360262121840033	0.23462322143942535	0.24347285536676336	0.226313199336925	0.23116970576046417	0.22901125846111342	0.21897447851913246	0.23289646359994473	0.22242799419809364	0.23106178339549663	0.23375984251968507	0.21919032324906754	0.2271765782566653	0.2211329258184832	0.226313199336925	0.23494698853432794	0.22383098494267165	0.2360262121840033	0.23084593866556155	0.2348390661693604	0.22674488879679514	0.23753712529354884	0.23160139522033432	0.23516283326426302	0.2386163489432242	0.23786089238845143	0.24260947644702308	0.23764504765851638	0.24109856333747753	0.23473114380439286	0.25653146152783535	0.24260947644702308	0.2557760049730626	0.26181965741124463	0.2625751139660174	0.2631147257908551	0.2740148846525763	0.28286451857991435	0.2750941083022517	0.28718141317861584	0.290634928857577	0.2967865036607266	0.29894495096007734	0.32538593037712393	0.41679617350462767	0.34934469539991714	0.3580864069622876	0.33963168255283877	0.341682207487222	0.35625172675783945	0.3548487360132615	0.3626191462909242	0.3536615899986186	0.3737351498825805	0.3876571349633927	0.38571453239397707	0.40244249896394535	0.3908948059124189	0.40039197402956206	0.4180912418842382	0.4210051457383617	0.4381648017682	0.43427959662936866	0.4254299627020307	0.4422658516369664	0.44992833954966155	0.46957020997375326	0.4581304392871944	0.47442671639729245	0.47572178477690286	0.49083091587235805	0.5004360063544688	0.5031340654786572	0.4997884721646636	0.5179194294792099	0.5304384238154441	0.5151134479900539	0.5414465050421329	0.5490010705898605	0.5590378505318414	0.5797589446056085	0.5625992885757701	0.5765212736565825	0.5905511811023622	0.578248031496063	0.5976740571902196	0.6044731661831745	0.6142941013952203	0.6049048556430446	0.6347993507390524	0.6328567481696367	0.6396558571625915	0.6314537574250587	0.636526108578533	0.6460232766956762	0.6568155131924299	0.651419394944053	0.6683632062439563	0.6556283671777869	0.6785079085509048	0.6894080674126261	0.6695503522585993	0.6738672468573007	0.7073231799972372	0.6858466293686973	0.7045171985080813	0.6972864000552563	0.6897318345075286	0.687573387208178	0.7256699820417185	0.6864941635585026	0.7044092761431137	0.7060281116176267	0.7380810540129852	0.7133668324354193	0.7283680411659068	0.7163886586545103	0.7089420154717503	0.7249145254869458	0.7354909172537644	0.7292314200856471	0.7191946401436663	0.7088340931067827	0.7265333609614588	0.7217847769028871	0.7242669912971406	0.6964230211355159	0.7216768545379196	0.7341958488741539	0.7297710319104849	0.7200580190634066	0.7144460560850946	0.7170361928443155	0.7286918082608095	0.6971784776902887	0.7221085439977898	0.7227560781875949	0.7240511465672055	0.7020349841138279	0.7249145254869458	0.7148777455449647	0.7114242298660036	0.7182233388589584	0.7058122668876916	0.6895159897775935	0.7125034535156789	0.7239432242022379	0.6862783188285675	0.6887605332228208	0.6912427476170743	0.7239432242022379	0.6846594833540544	0.6758098494267164	0.6719246442878851	0.6899476792374637	0.6835802597043791	0.6805584334852881	0.6655572247548004	0.660053184141456	0.663290855090482	0.6768890730763918	0.6591898052217158	0.6673919049592485	0.6191506078187594
Cvi-APal_002-Ex1-1B-lcwgs-1-2.clmp.r1r2_fastp	0.0	0.010201885636117356	0.009680621406534718	0.004914777021779164	0.003462683810798957	0.0033137511737753454	0.00215952323684236	0.0013776268924684022	0.0017871916442833325	0.0010052952999093745	0.0010052952999093745	0.0013031605739565965	0.0011542279369329855	0.0013403937332124992	0.00107976161842118	0.001265927414700694	0.001265927414700694	0.0020850569183305545	0.00215952323684236	0.0028669532627045124	0.003946714881125692	0.004356279632940623	0.005696673366153122	0.005957305480944441	0.007223232895645135	0.008600859788113537	0.008228528195554509	0.006962600780853816	0.007744497125227774	0.008489160310345828	0.008005129240019093	0.009568921928767009	0.00971785456579062	0.06378040180536142	0.07617904383757704	0.09259886706943016	0.11099204774184612	0.12178966392605792	0.1358637981247892	0.15474100986753186	0.1751447811397666	0.1888465837459388	0.21543105945465335	0.23851561819331307	0.2628288711874176	0.2866208599519394	0.30024819623959986	0.33252934531446754	0.34526308577998627	0.37624107428089737	0.39102263850549074	0.4118732076887963	0.44225546564161294	0.44940423221874626	0.4652655580617609	0.4889086141892591	0.5087911212319112	0.52152486169743	0.5370138559478854	0.5514230885799198	0.5646408601157653	0.5954699159796528	0.5944646206797435	0.609953614930199	0.6266713034360993	0.6470378415490782	0.65701632822966	0.6545961728780264	0.6582077893258489	0.6665852501584271	0.6741808146466313	0.6790583585091545	0.6662873848843799	0.663532131099443	0.6726914882763951	0.6466282767972632	0.6550802039483532	0.6547078723557942	0.6551546702668649	0.6443198209233972	0.6331126399873704	0.626783002913867	0.6239160496511625	0.6209001637514344	0.6067515632341914	0.6074962264193094	0.5924912632391806	0.5828851081511577	0.5699279687301035	0.5683641760413557	0.559800549412498	0.5497103632541483	0.5481838037246562	0.5420030992881765	0.5274821671783744	0.5220833590862685	0.5059614011284626	0.500041328806774	0.4867118577931609	0.4750206457868074	0.46820697764297714	0.4663825528394379	0.45878698835123377	0.44069167295286504	0.4435586262155696	0.4299685230871651	0.41786774632899665	0.4196921711325359	0.41209660664433173	0.40520847218198974	0.3999958298861633	0.3872248562613887	0.38659189255403836	0.3803367217990467	0.36965080509260256	0.36965080509260256	0.3588159557491349	0.356097935123454	0.3481300390426908	0.3359920291252665	0.3317102158108377	0.3368483917881523	0.32724223670012936	0.3239657186856099	0.324710381870728	0.3175988484528505	0.30933308709804014	0.3046789421910523	0.2999130978062967	0.3027055847504894	0.3038598126874224	0.3018864552468596	0.30266835159123356	0.30140242417653285	0.2995407662137377	0.30177475576909185	0.2955568181733561	0.29820037248052517	0.30170028945058003	0.2955568181733561	0.2956312844918679	0.2998758646470408	0.2966738129510332	0.30121625838025334	0.2945887560327026	0.29864717039159605	0.2981631393212693	0.29600361608442693	0.2941791912808877	0.319721138530437	0.44076613927137687	0.36883167558897273	0.35643303355675715	0.34779494060938765	0.33584309648824284	0.3253805787373342	0.32996025732581025	0.33528459909940433	0.33275274427000295	0.3294762262554835	0.34086957298778975	0.3402366092804394	0.3388217492287151	0.34470458839114776	0.34593328264659257	0.34422055732082096	0.3489119353870647	0.3550554066642887	0.35263525131265505	0.3631350022228196	0.36510835966338245	0.36611365496329185	0.37050716775548836	0.3731507220626574	0.3772836027400626	0.37486344738842897	0.37724636958080676	0.37598044216610604	0.3820866802840741	0.3871876231021328	0.3860706283244557	0.39210240012391195	0.39705441030494704	0.3938151254496835	0.38648019307627063	0.4069211975077613	0.4077403270113912	0.40986261708897753	0.4138465651293592	0.416192254162481	0.42188892752863416	0.42010173588435085	0.423080388624823	0.4307131862722831	0.42620797400231886	0.4315695489351689	0.4365587922754598	0.4374523880976015	0.4437447920118491	0.44098953822691234	0.443037361985987	0.4449734862672939	0.4533881802591279	0.44769150689297477	0.44862233587437234	0.44761704057446294	0.4555104703367143	0.44705854318562444	0.45606896772555294	0.4574838277772772	0.4450479525858057	0.4527924497110335	0.46038801419923764	0.4620635063657532	0.45398391080722234	0.464855993309946	0.4667176512727411	0.45409561028499	0.46854207607628034	0.4674250812986032	0.4619145737287296	0.46299433534715084	0.4656751228135758	0.4624358379583123	0.46459536119515465	0.47099946458716996	0.46221243900277686	0.4645581280358987	0.4600156826066786	0.45685086406992687	0.4656378896543199	0.4601646152437022	0.46120714370286753	0.45722319566248587	0.4672389155023237	0.45469134083308455	0.4529041491888011	0.459084853625281	0.45666469827364736	0.45539877085894664	0.4534254134183838	0.442627797234172	0.4585635893956984	0.4528296828702894	0.4505584601556793	0.4440426572858963	0.43979807713072333	0.43402693744605847	0.45007442908535256	0.4400587092455147	0.443037361985987	0.44117570402319184	0.4388672481493258	0.4272877356207401	0.44057997347509736	0.43384077164977897	0.4314578494574011	0.42628244032083074	0.4281440982836259	0.41931983953997687	0.42185169436937825	0.4191709069029533	0.41332530089977654	0.40636270011892267	0.41325083458126477	0.4076286275336234	0.40357021317473	0.4039053116080331	0.4076286275336234	0.379070794384346
Cvi-APal_003-Ex1-1C-lcwgs-1-2.clmp.r1r2_fastp	0.0	0.007926511508555249	0.006227046684298723	0.004190283497976015	0.002581629771198845	0.00199784414454584	0.0020108171584714623	0.0018940600331408613	0.0012454093368597446	0.0013881124900415901	0.0010637871419010318	0.0012194633090084998	0.001193517281157255	0.0012583823507853668	0.0014270315318184572	0.0019589251027689733	0.0016605457824796592	0.0025556837433476005	0.0027762249800831803	0.0033729836206618075	0.004177310484050393	0.005772991196901941	0.006836778338802972	0.007926511508555249	0.00860110823268761	0.010534087307605338	0.010780574572192163	0.01032651908479538	0.010585979363307829	0.01159787444950637	0.011416252254547657	0.011909226783721307	0.011974091853349418	0.12686310317866084	0.15183615498548386	0.17959840478631564	0.2177779847694222	0.24435969030302238	0.2743014064433587	0.30711015866125757	0.34268216284531405	0.3766195672747421	0.41806834676710547	0.45675387429331127	0.503275102230593	0.5343714166103097	0.5687888225549858	0.6043867727668936	0.6404258054522723	0.6664107523452939	0.6957297638172003	0.7271504035450577	0.750151557235186	0.7722186539226696	0.8010446908654024	0.8189733961106126	0.8453864524631797	0.8612913675359926	0.8729541070551272	0.9056461021476954	0.9214342600951778	0.9398170208277847	0.9495857003137783	0.9649068297599382	0.9782301150615523	0.9928896207975056	1.0081977772297401	1.0066410155586651	1.0228962020074701	1.0193415961918495	1.0117783290732116	1.0196399755121388	1.0186929454955684	1.0147880683039563	1.0069393948789547	0.9997263991363087	0.9881933897564303	0.9863771678068431	0.9750257806219237	0.9627014173925825	0.9567338309867963	0.9449413613284056	0.9265586005957986	0.9204223650089792	0.9020525772902981	0.8911163265509984	0.8763400636897145	0.8661303017302499	0.8532610719160325	0.838951837556071	0.822943138371853	0.8111636417273879	0.794052236359492	0.7868003215750692	0.7746575805406867	0.75846725916151	0.7405126078884487	0.7281493256173306	0.7139957674244767	0.700036804440507	0.6840021592284378	0.6682918393645092	0.6604431659395076	0.6439804112678928	0.6217057463575993	0.6086159753066465	0.5998591909068514	0.5825661633439967	0.5734072155125073	0.5609531221439099	0.5493163286526267	0.5343195245546073	0.5284946413020029	0.5180773111197281	0.5062199763917092	0.49148263257220226	0.4886804615642679	0.4694674279404212	0.46475822388542026	0.4526933209345915	0.4397073339950435	0.42874513722789265	0.425021882231239	0.4165764501656589	0.4090261560609467	0.3995039638395399	0.388749335295199	0.38489635015928914	0.37787794962552745	0.3722087425400305	0.36266060429077246	0.35439679442015104	0.35076435052097676	0.3485848841814722	0.33842701427770994	0.34191675502370233	0.33504105764312253	0.3285156316385345	0.326608598591468	0.323482102235393	0.3168528921194	0.313246394248077	0.3070323205777039	0.30400960833303386	0.3043858257368769	0.2980420219272476	0.291192270574519	0.28776739489815467	0.28855874874761767	0.3048398812242737	0.37815038291796554	0.32768535874729465	0.3141804512507218	0.3093674630843159	0.28935010259708066	0.2851338730712534	0.28024304682129375	0.2836419764698068	0.2808138594340211	0.2774149297855081	0.2727965368279865	0.26729597892352264	0.26795760263372936	0.2696959864997628	0.2660246235588116	0.2638451572193071	0.2618992051304638	0.25969379276310794	0.26086136401641397	0.25613918694748744	0.2516245781013709	0.25323323182814805	0.24996403231889122	0.250418087806288	0.24687645500459313	0.2449694219575266	0.24482671880434476	0.24695429308814681	0.24522888223603906	0.24266022547876584	0.24363320152318751	0.23884615938463286	0.24005264967971573	0.23806777854909553	0.23477263301198747	0.238119670604798	0.23786021032628557	0.23085478280644953	0.23063424156971393	0.22748179918578768	0.2347466869841362	0.2244590869411177	0.228947749759383	0.2278190975478539	0.2287012624947962	0.22617152477929983	0.224173680634754	0.2293369401771517	0.2247055742057045	0.2253931439437625	0.22634017396033296	0.22146232072429894	0.22586017244508488	0.2274169341161596	0.22229259361553877	0.2249261154424401	0.22118988743186088	0.22046339865202602	0.22710558178194465	0.21989258603929865	0.219192043287315	0.2179596069643809	0.21554662637421512	0.21576716761095072	0.21479419156652907	0.21592284377805818	0.2153520311653308	0.2171941991427692	0.21696068489210799	0.21175850630793341	0.20654335470983326	0.2140028377170661	0.21352283620181806	0.21332824099293374	0.21034444779004058	0.21235526494851206	0.21208283165607397	0.2071660593782631	0.20811308939483356	0.210707692179958	0.20906011941140396	0.21025363669256122	0.20388388685508066	0.20660821977946134	0.20839849570119723	0.20105576981929502	0.20560929770718847	0.20387091384115505	0.206037407166734	0.1998233334963609	0.20483091687165111	0.1994341430785922	0.19750116400367446	0.20013468583057584	0.20127631105603055	0.2030276679359896	0.20139306818136118	0.1998233334963609	0.1955422389009055	0.19494548026032688	0.19416709942478955	0.19445250573115325	0.19515304848313683	0.19155952362573944	0.1925195266562355	0.19163736170929319	0.1860200466794987	0.19011951907999536	0.1862016688744574	0.1923379044612768	0.18864059549247442	0.18535842296929197	0.18482652939834143	0.1878103226012346	0.18599410065164745	0.18569572133135814	0.1838016612982173	0.18679842751503606	0.17993570314838184	0.16954431899395833
Cvi-APal_004-Ex1-1D-lcwgs-1-2.clmp.r1r2_fastp	0.0	0.006178507584374164	0.005138085322756753	0.0032461174562463226	0.002336948464556031	0.002080844523234822	0.0018823639687108851	0.0014950067574625568	0.00130292880147165	0.0011492664366789247	0.0013637534875354373	0.0014790002611299812	0.0013765586846014976	0.001504610655262102	0.0015238184508611927	0.0016230587281231613	0.0018535522753122492	0.002509818624947847	0.0033325525364422304	0.003956805893412677	0.004849968388770392	0.006296955657235223	0.00737899480931733	0.009168521099299278	0.010042475799057902	0.01230259308121757	0.012648333402001203	0.01276678147486226	0.01259071001520393	0.013000476321317863	0.013525489401026344	0.014082515473399972	0.014066508977067396	0.13711484888410871	0.168004185506713	0.19825006097674777	0.23955962671185876	0.26963263202150173	0.30179928705144554	0.33728889072003204	0.3769113717416896	0.41345420286895956	0.45734721711214826	0.498810445212052	0.539175627663541	0.5807284921429071	0.6164709984535484	0.6493419393221256	0.6855134197344798	0.71416504816979	0.7493633336051236	0.7748296692702513	0.7931987244615151	0.8186202419369116	0.8416856031521529	0.8618505872319316	0.8857418836579339	0.9019980813332976	0.9238245397323976	0.9371867628708317	0.9571020456078222	0.9695839114479645	0.9861410312543808	1.0007197481140906	1.0119306981454266	1.0207822906173407	1.0257635122760382	1.0359468452428229	1.0397723978663085	1.052055783151927	1.0454386975680403	1.0446959961382087	1.0447248078316074	1.036270176468741	1.0295730584031912	1.0251552654154004	1.0211792517263887	1.013915503690666	1.008117950719007	0.9964204031991608	0.9896496552504814	0.9836184074323668	0.9711045285995593	0.9572365001770158	0.9490443753540037	0.943727017272322	0.9260558453211587	0.9141310055533899	0.9075555368599677	0.8904958130687088	0.8777130250975139	0.8713648486520145	0.8606629052040545	0.8484435459037664	0.8364706866469998	0.8200160084171121	0.8088594804733069	0.796143919786709	0.7820133848243113	0.7758572863348027	0.7596427055499037	0.7480379957087864	0.7379827147126624	0.7206700882793486	0.7091326057228282	0.7005883379804994	0.688410595570676	0.6734509240982508	0.6664080657119176	0.6529754139896202	0.6413546976521702	0.6327464039245112	0.6176650830799585	0.6119763742833612	0.5974296704163164	0.5889590325571176	0.5758497120607381	0.568925301747266	0.5572181503296202	0.5448227195696737	0.5371876208190351	0.5293636454116721	0.5165808574404773	0.5119197657084313	0.5010065365088814	0.49195646348244315	0.48526254671616004	0.4759627723469336	0.4685517645449512	0.46204672443539246	0.454747762107738	0.4476985011228717	0.4385363826221055	0.43182645935948977	0.42671078313159866	0.41758067762349754	0.41012805293105037	0.40940776059608447	0.40125725266353696	0.3952932321300193	0.38783740613830564	0.3810410477954941	0.37545157927615874	0.3690905976335932	0.36368360317244913	0.3611673819489683	0.35338502343207	0.347654697745008	0.34721932104476194	0.3521301141195961	0.3782239044409608	0.35662473828978336	0.3482661459049124	0.3400932288774993	0.3296185776774619	0.32485824566815386	0.317892218464217	0.3139162047752052	0.31027952880844406	0.3058137163316555	0.30368165102015643	0.2948620715409073	0.29394329865141744	0.28737423255652844	0.28300445905773536	0.2802385364914663	0.27572470452568	0.2707658919618481	0.26828168373103234	0.26365900759018457	0.2602272147764803	0.2556621620224298	0.24924035569380046	0.24841121918377304	0.2453539783842511	0.2413459517025742	0.23622707417541655	0.2336788399592705	0.2306856251450789	0.22571400738418093	0.22309534458417155	0.21997727909858583	0.21559149910346012	0.21366751824428454	0.21013328385405186	0.20629492603350025	0.20457902962664815	0.20150258103152713	0.19709119064226932	0.19557377478994115	0.1930895665591254	0.1902019946207288	0.18722798760213627	0.18269814914001736	0.1810686878133612	0.17837639513022197	0.1756520894544176	0.17518469976150639	0.17211785506418492	0.16802339330231209	0.1684075492142939	0.16622106181526408	0.16109898298883993	0.1619217169003343	0.15769600186853436	0.15545509238197378	0.1524266632758505	0.15235303339272063	0.14775596764600496	0.14631858427533964	0.14459308397068799	0.1420672588494076	0.14117089505478336	0.1391252648234802	0.13527090050659601	0.1351812641271336	0.1348259199085504	0.1313301011095159	0.1320471921452153	0.12882028248456806	0.1271972237564449	0.1246361843432328	0.12314117758577024	0.12038485891730075	0.12027601474223922	0.117366033708977	0.1169242544101979	0.11564693600285839	0.1135532862825575	0.11371655254514977	0.111014655964211	0.11068492213975994	0.10967971417007422	0.10704504487373229	0.10654884348742244	0.10625752525416955	0.10525551858375033	0.10418948592800079	0.10178210887958143	0.10123468670500736	0.09954760199155388	0.09747956266538511	0.09758520554118011	0.09657359497296135	0.09568043247760363	0.0950369713250341	0.09261678907954868	0.09369242563309775	0.0939805425670841	0.0900365418707375	0.0875619375377213	0.08904093779885129	0.08704652835581238	0.086118151568523	0.08434783307414015	0.08531142415336118	0.0837491901113018	0.08234702103256819	0.08157870920860458	0.08065993631911472	0.08101528053769791	0.0808456116765726	0.07882239054013505	0.0761204939591963	0.07656227325797539	0.07655907195870887	0.07543221461689555	0.07567231206188418	0.07299922717434407	0.0692344992369223
Cvi-APal_005-Ex1-1E-lcwgs-1-2.clmp.r1r2_fastp	0.0	0.0038890795380360542	0.0037912410590917505	0.0022160415480884685	0.0017659845449446738	0.0015311721954783459	0.0014871448799534093	0.0013795225531146758	0.0011838455952260692	0.0012474406065398663	0.001267008302328727	0.0013012517699592333	0.0014382256404812577	0.0014577933362701183	0.0014431175644284728	0.0016926056857364462	0.0018589310999417615	0.002431286201765936	0.003140615174112134	0.003815700678827827	0.004642435825907189	0.006222527260857686	0.007039478560042619	0.008189080687638182	0.009686009415486021	0.01160853552674158	0.01142753434069462	0.011403074720958542	0.0120341329101493	0.012083052149621451	0.01250864953302917	0.011955862126993858	0.012024349062254868	0.22305216429722255	0.26494170905722597	0.31334729651492	0.37778861067158537	0.4182839571066324	0.46961002316081396	0.5169834146656456	0.5694346232276866	0.6202910645829354	0.6741364714699326	0.727003493567487	0.7773658506040669	0.8252137587317785	0.8714571158048033	0.913826069111634	0.9524722682946338	0.9851307525662422	1.0217419113872004	1.0533779835538408	1.0737675225658336	1.1081919913823868	1.1337131586150084	1.1518817641549655	1.1809495762493178	1.194617611757837	1.210442985727078	1.2293942990985895	1.2459241101162297	1.2544703012520146	1.2722426609522473	1.2853285575110478	1.2988058079856255	1.3011734991760777	1.3103898838926311	1.312092273426262	1.3060800988951344	1.3039129765865183	1.297015363820945	1.2929550669447563	1.2775063711194508	1.2678448213237008	1.2617397002375763	1.2467459533393617	1.2305047658346076	1.218920689927602	1.2066321769721975	1.1914525369639888	1.1704172639909636	1.1510110016923611	1.1363352298507157	1.1140280566514145	1.096285048494865	1.0754992636431477	1.0577758231823875	1.0384380478190458	1.0187235943117687	0.9939313237472822	0.9774357561972726	0.9589883109923243	0.9379090107037741	0.9268581545070151	0.9079313007552396	0.8828259470581314	0.8715500623598006	0.848460181328945	0.8316417467984193	0.813561195889512	0.7921541366964985	0.7723076012426465	0.7554157878529126	0.7384457036800232	0.7192204425674675	0.6995304486799265	0.6813569512160222	0.6663045012304412	0.6496475001901736	0.6279175740166438	0.6143278092912801	0.5997254163088428	0.5836114188267161	0.5653645425036036	0.5518334808656064	0.5346872874306172	0.5220563397989076	0.5055754480207398	0.4900044540967539	0.4778578069358187	0.46244335457814373	0.45105006370507966	0.43748965052339917	0.4256463026471913	0.414385093720702	0.3999832696201005	0.38850192411598655	0.3799753006759905	0.3659012354798525	0.35579452060490596	0.3484859862277665	0.33895162645464416	0.33175071440434345	0.322690871254101	0.31626777511140747	0.30812761366324143	0.30091202584109905	0.29152442378639315	0.28869199982095556	0.27791998328918777	0.27268073274172033	0.2659690130861412	0.2584305582834826	0.2519194075097392	0.24804011181959756	0.24331451328658774	0.23495421526079702	0.22958777469070196	0.22447082224191492	0.22920131269887198	0.24518812015837116	0.23228811670956478	0.22099755623939216	0.218810866234987	0.20482485566989886	0.20272132837259632	0.19802997330721697	0.19401859567050053	0.18729709216702692	0.18446466820158933	0.17997877394199305	0.17665715758183395	0.17530698657240257	0.17004327640519903	0.16925078472575017	0.1647746743140483	0.16117421828889797	0.1572215437395481	0.1545163097967381	0.15210459129076104	0.1484552160261385	0.1456717113001731	0.1425751234415859	0.1403150545779725	0.1342882042750034	0.13230697507638128	0.1306779644019586	0.12764497155468524	0.12684758795128917	0.12143712006566919	0.121887177068813	0.11719582200343363	0.11504826739060618	0.11295941586514531	0.10914371518631748	0.1082778446476604	0.1066928612887627	0.10477522710145434	0.10399741119384712	0.10065622713789919	0.09800969628245576	0.09658125448986894	0.09521640770859592	0.09146430204108189	0.09312755618313504	0.09030002414164467	0.08829433532328645	0.087306166685949	0.08421447075130901	0.08286429974187763	0.08270286625161953	0.08070206935720853	0.07881378671358348	0.0781778366004455	0.07564871191973527	0.07434256822582883	0.07381424043952958	0.07108943880093074	0.07028227134964024	0.06893699226415607	0.06742538776446658	0.06721503503473633	0.0663980837355514	0.06350206475880002	0.06269978923145673	0.06245030111014876	0.0614278890051808	0.06023915148600751	0.05914825244577853	0.058262814211332586	0.05722572633452297	0.05554779642062816	0.05638920733954917	0.05467214203407665	0.054853143220123614	0.052294666995730085	0.0517174199699587	0.051433688381020214	0.0518495019165335	0.05043573589578833	0.050421060123946676	0.04956986535713123	0.04711411953562923	0.048273505511119225	0.04636076324775809	0.04547043308936494	0.04563186657962303	0.04547043308936494	0.04311741767075444	0.04351366351047887	0.0432984188568014	0.041943355923422805	0.04143948775685964	0.04142970390896521	0.04134654120186255	0.039531637417445725	0.03946315048218471	0.039443582786395856	0.0379760056022313	0.03784881557960371	0.037579759762506874	0.036850863094371814	0.036787268083058024	0.03616110181781448	0.03560831441177916	0.03544688092152107	0.03440000919681702	0.03382276217104563	0.03335802939606019	0.034018439128934236	0.03348521941868778	0.03386678948657057	0.03288840469712753	0.03236986075872273	0.031958939147156654	0.03190512798373729	0.031919803755578936	0.03097566243376641	0.029693978359596033	0.029307516367766035
