#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	27708	27097	97.79	80	0.29	10	0.04	38	0.14	483	1.74
Ecoli	27708	27708	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	27708	27708	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	27708	27704	99.99	0	0.00	0	0.00	0	0.00	4	0.01
Vectors	27708	27689	99.94	0	0.00	0	0.00	4	0.01	15	0.05
Bacteria_24k	27708	26654	96.20	100	0.36	382	1.38	31	0.11	541	1.95
Protists_1k	27708	26740	96.51	61	0.22	75	0.27	95	0.34	737	2.66
Viruses	27708	27407	98.91	0	0.00	2	0.01	27	0.10	272	0.98
Fungi_RefSeq_release	27708	27145	97.96	14	0.05	10	0.04	58	0.21	481	1.74
Coral	27708	27364	98.76	0	0.00	0	0.00	30	0.11	314	1.13
Bird	27708	27277	98.45	2	0.01	4	0.01	47	0.17	378	1.36
Plant	27708	27382	98.82	2	0.01	0	0.00	36	0.13	288	1.04

%Hit_no_genomes: 94.25
