#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	38234	36790	96.22	141	0.37	44	0.12	54	0.14	1205	3.15
Ecoli	38234	38221	99.97	0	0.00	0	0.00	4	0.01	9	0.02
PhiX	38234	38234	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	38234	38223	99.97	0	0.00	0	0.00	1	0.00	10	0.03
Vectors	38234	38195	99.90	0	0.00	0	0.00	5	0.01	34	0.09
Bacteria_24k	38234	29750	77.81	691	1.81	3913	10.23	177	0.46	3703	9.69
Protists_1k	38234	33716	88.18	184	0.48	137	0.36	986	2.58	3211	8.40
Viruses	38234	37227	97.37	3	0.01	4	0.01	81	0.21	919	2.40
Fungi_RefSeq_release	38234	36907	96.52	26	0.07	0	0.00	106	0.28	1195	3.13
Coral	38234	37222	97.36	1	0.00	0	0.00	43	0.11	968	2.53
Bird	38234	37128	97.11	11	0.03	0	0.00	55	0.14	1040	2.72
Plant	38234	37248	97.42	3	0.01	1	0.00	49	0.13	933	2.44

%Hit_no_genomes: 75.42
