Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter	Snippy_mqc-generalstats-snippy-VariantTotal
Adu-AGui_045-Ex1-9D-lcwgs-1-1	3.4928500000000002	0.954873	56449332.0	0.499464	95.04553669670042	29.333277360683336	
Adu-AGui_046-Ex1-10D-lcwgs-1-1	4.84607	0.952931	70263780.0	0.526006	93.87651310633109	32.9802316467822	
Adu-AGui_047-Ex1-11D-lcwgs-1-1	1.08746	0.959476	3320076.0	0.441826	90.6034706034706	74.70603470603471	
Adu-AGui_048-Ex1-12D-lcwgs-1-1	2.68032	0.955338	13506912.0	0.505904	86.11417409659431	41.76380706341955	
Adu-AGui_049-Ex1-1E-lcwgs-1-1	4.54912	0.962069	419685572.0	0.433826	91.88099927702697	75.7684830169587	
Adu-AHam_001-Ex1-a-10G-lcwgs-2-1	1.10974	0.962786	10676416.0	0.428597	80.73885506601849	71.18725942737966	
Adu-AHam_002-Ex1-b-10H-lcwgs-2-1	0.6494500000000001	0.95891	10919867.0	0.46754	89.30071904216277	69.22399907006096	
Adu-AHam_003-Ex1-a-11A-lcwgs-2-1	0.590231	0.958308	2938032.0	0.443008	88.19809069212411	73.13842482100239	
Adu-AHam_004-Ex1-a-11B-lcwgs-2-1	0.418303	0.959867	4611016.0	0.427171	93.527520332892	79.48363911480992	
Adu-AHam_005-Ex1-b-11C-lcwgs-2-1	0.861725	0.9609	7929645.0	0.431421	82.25492361125053	73.42755616229347	
Adu-AHam_006-Ex1-a-11D-lcwgs-2-1	0.735905	0.96142	6745118.0	0.423477	89.25705538134861	77.97091429841238	
Adu-AHam_007-Ex1-a-11E-lcwgs-2-1	1.5257	0.959786	9364018.0	0.4338	82.8207012387151	72.71152634893974	
Adu-AHam_008-Ex1-b-11F-lcwgs-2-1	0.39661799999999997	0.958234	7633850.0	0.420659	92.13899368210537	78.1566746966047	
Adu-AHam_009-Ex1-a-11G-lcwgs-2-1	0.362691	0.958616	6325069.0	0.416874	92.53973938675996	78.83550511033361	
Adu-AHam_010-Ex1-a-11H-lcwgs-2-1	0.4479	0.959027	9834494.0	0.457859	93.25228428336582	71.17215276981305	
Adu-AHam_011-Ex1-a-12A-lcwgs-2-1	0.544723	0.962328	3832079.0	0.440148	92.01369609476217	77.01739774199518	
Adu-AHam_012-Ex1-a-12B-lcwgs-2-1	1.38876	0.966112	9945246.0	0.432176	85.00024429569551	81.65909350010587	
Adu-AHam_013-Ex1-a-12C-lcwgs-2-1	0.505912	0.962147	9617758.0	0.428793	91.17940985675965	79.7701492013956	
Adu-AHam_014-Ex1-a-12D-lcwgs-2-1	0.566028	0.964812	8185326.0	0.417965	91.94755421079172	82.08068582955119	
Adu-AHam_015-Ex1-a-12E-lcwgs-2-1	0.6205890000000001	0.963011	10958934.0	0.42211	89.69456821720964	79.12471669313433	
Adu-AHam_016-Ex1-a-12F-lcwgs-2-1	0.484735	0.96345	9772992.0	0.419571	92.71003652809185	81.94816489824316	
Adu-AHam_017-Ex1-a-12G-lcwgs-2-1	0.668107	0.963633	8505905.0	0.41313	90.64141364834522	81.36385824465489	
Adu-AHam_018-Ex1-a-12H-lcwgs-2-1	0.691668	0.957174	12878467.0	0.458604	89.99808941536111	72.77075713739833	
Adu-AHam_019-Ex1-a-3C-lcwgs-2-1	0.784113	0.963167	6364996.0	0.4292	87.77118549199598	86.5286018135005	
Adu-AHam_020-Ex1-b-1B-lcwgs-1-1	1.64877	0.958692	19070347.0	0.440792	86.3397564503336	65.64643307049877	
Adu-AHam_021-Ex1-a-1C-lcwgs-1-1	0.720193	0.963661	11839884.0	0.429465	90.3635628144515	86.95737365054484	
Adu-AHam_022-Ex1-a-3F-lcwgs-2-1	2.00854	0.96238	9481476.0	0.427194	65.34053052973925	76.06179350219642	
Adu-AHam_024-Ex1-a-3G-lcwgs-2-1	0.553895	0.961401	10230325.0	0.42255	90.81278778341202	85.69024304948417	
Adu-AHam_025-Ex1-a-1G-lcwgs-1-1	0.9489589999999999	0.964011	7208388.0	0.428486	86.852964007027	83.05143604199861	
