Sample	Human	Bacteria_24k	Protists_1k	Fungi_RefSeq_release	Bird	Coral	Plant	Viruses	Vectors	Multiple Genomes	No hits
Sfa-ABas_001_Ex1_L3_clmp.fp2_r1_screen	744787.0	672892.0	161412.0	51160.0	10944.0	2735.0	2831.0	1136.0	43.0	970082.0	18894070.0
Sfa-ABas_001_Ex1_L3_clmp.fp2_r2_screen	743784.0	671847.0	161930.0	51062.0	10579.0	2587.0	2641.0	1149.0	46.0	968095.0	18898372.0
Sfa-ABas_002_Ex1_L3_clmp.fp2_r1_screen	109415.0	169194.0	155637.0	27887.0	11856.0	2575.0	2498.0	1258.0	47.0	754768.0	19113051.0
Sfa-ABas_002_Ex1_L3_clmp.fp2_r2_screen	108758.0	168909.0	155480.0	27757.0	11899.0	2460.0	2383.0	1198.0	36.0	752186.0	19117120.0
Sfa-ABas_003_Ex1_L3_clmp.fp2_r1_screen	155533.0	233285.0	153949.0	33342.0	11183.0	2794.0	2634.0	988.0	46.0	659964.0	18427868.0
Sfa-ABas_003_Ex1_L3_clmp.fp2_r2_screen	155312.0	232722.0	153815.0	32771.0	10919.0	2580.0	2543.0	1003.0	41.0	656107.0	18433773.0
Sfa-ABas_004_Ex1_L3_clmp.fp2_r1_screen	34859.0	32321.0	144602.0	17058.0	10777.0	2887.0	2859.0	731.0	82.0	557423.0	17543396.0
Sfa-ABas_004_Ex1_L3_clmp.fp2_r2_screen	34134.0	32344.0	145453.0	16781.0	10406.0	2835.0	2541.0	705.0	28.0	558372.0	17543396.0
Sfa-ABas_005_Ex1_L3_clmp.fp2_r1_screen	45426.0	36311.0	166267.0	19331.0	12127.0	2918.0	2877.0	809.0	79.0	651440.0	19990645.0
Sfa-ABas_005_Ex1_L3_clmp.fp2_r2_screen	44625.0	36187.0	167287.0	18568.0	11941.0	2895.0	2648.0	748.0	37.0	650556.0	19992738.0
Sfa-ABas_006_Ex1_L3_clmp.fp2_r1_screen	89416.0	49510.0	124605.0	19451.0	9561.0	2378.0	2251.0	578.0	52.0	529871.0	15792258.0
Sfa-ABas_006_Ex1_L3_clmp.fp2_r2_screen	89227.0	49236.0	124988.0	19127.0	9207.0	2310.0	2068.0	604.0	31.0	529213.0	15793920.0
Sfa-ABas_007_Ex1_L3_clmp.fp2_r1_screen	65409.0	176083.0	130467.0	20383.0	9648.0	2117.0	2147.0	885.0	57.0	583991.0	15365023.0
Sfa-ABas_007_Ex1_L3_clmp.fp2_r2_screen	65061.0	175403.0	130491.0	20181.0	9321.0	2064.0	2056.0	822.0	33.0	584119.0	15366659.0
Sfa-ABas_008_Ex1_L3_clmp.fp2_r1_screen	53068.0	264844.0	150959.0	23390.0	10112.0	2321.0	2267.0	1180.0	51.0	773955.0	16930162.0
Sfa-ABas_008_Ex1_L3_clmp.fp2_r2_screen	52925.0	264226.0	151205.0	23007.0	9667.0	2236.0	2141.0	1194.0	27.0	768234.0	16937447.0
Sfa-ABas_009_Ex1_L3_clmp.fp2_r1_screen	132904.0	184710.0	154311.0	29710.0	11830.0	2534.0	2352.0	1395.0	46.0	877171.0	17792086.0
Sfa-ABas_009_Ex1_L3_clmp.fp2_r2_screen	132393.0	183875.0	154452.0	29277.0	11821.0	2360.0	2274.0	1445.0	45.0	873265.0	17797842.0
Sfa-ABas_010_Ex1_L3_clmp.fp2_r1_screen	72838.0	332037.0	157093.0	29678.0	9924.0	2739.0	2672.0	1211.0	56.0	643018.0	17508334.0
Sfa-ABas_010_Ex1_L3_clmp.fp2_r2_screen	71976.0	329959.0	156753.0	29062.0	9779.0	2484.0	2464.0	1206.0	31.0	643800.0	17512086.0
Sfa-ABas_013_Ex1_L3_clmp.fp2_r1_screen	132205.0	354423.0	140201.0	33955.0	10932.0	2344.0	2349.0	1088.0	37.0	673168.0	18483389.0
Sfa-ABas_013_Ex1_L3_clmp.fp2_r2_screen	131804.0	353575.0	140649.0	33211.0	10470.0	2366.0	2274.0	1143.0	39.0	671204.0	18487356.0
Sfa-ABas_014_Ex1_L3_clmp.fp2_r1_screen	232645.0	466855.0	108448.0	55347.0	7767.0	1567.0	1571.0	1382.0	21.0	638477.0	12163244.0
Sfa-ABas_014_Ex1_L3_clmp.fp2_r2_screen	232510.0	465899.0	108287.0	55353.0	7428.0	1552.0	1503.0	1413.0	23.0	634641.0	12168715.0
Sfa-ABas_016_Ex1_L3_clmp.fp2_r1_screen	182789.0	268616.0	136658.0	27403.0	10365.0	2308.0	2218.0	1248.0	59.0	716685.0	16277122.0
Sfa-ABas_016_Ex1_L3_clmp.fp2_r2_screen	182230.0	267227.0	137136.0	26795.0	10331.0	2119.0	2011.0	1222.0	30.0	715723.0	16280647.0
Sfa-ABas_017_Ex1_L3_clmp.fp2_r1_screen	66441.0	153987.0	133898.0	22110.0	9802.0	2199.0	2180.0	1023.0	59.0	592201.0	16277493.0
Sfa-ABas_017_Ex1_L3_clmp.fp2_r2_screen	65923.0	153193.0	134024.0	21681.0	9790.0	2141.0	2012.0	1000.0	30.0	590654.0	16280945.0
Sfa-ABas_018_Ex1_L3_clmp.fp2_r1_screen	64851.0	136232.0	134101.0	21888.0	10746.0	2546.0	2398.0	876.0	73.0	623548.0	16874751.0
Sfa-ABas_018_Ex1_L3_clmp.fp2_r2_screen	64580.0	135822.0	134520.0	21469.0	10350.0	2424.0	2323.0	812.0	34.0	624925.0	16874751.0
Sfa-ABas_019_Ex1_L3_clmp.fp2_r1_screen	65009.0	169582.0	133192.0	21158.0	10110.0	2274.0	2262.0	928.0	56.0	614596.0	16892364.0
Sfa-ABas_019_Ex1_L3_clmp.fp2_r2_screen	64555.0	168963.0	133163.0	20960.0	9949.0	2194.0	2240.0	878.0	31.0	612651.0	16895947.0
Sfa-ABas_020_Ex1_L3_clmp.fp2_r1_screen	76397.0	587470.0	117083.0	34213.0	5289.0	1240.0	1219.0	1136.0	35.0	583881.0	11299282.0
Sfa-ABas_020_Ex1_L3_clmp.fp2_r2_screen	75956.0	585228.0	116627.0	33723.0	5236.0	1261.0	1136.0	1217.0	21.0	581205.0	11305635.0
Sfa-ABas_021_Ex1_L3_clmp.fp2_r1_screen	31686.0	96209.0	56924.0	10258.0	3874.0	955.0	907.0	511.0	18.0	249359.0	6795287.0
Sfa-ABas_021_Ex1_L3_clmp.fp2_r2_screen	31288.0	95647.0	56481.0	9838.0	3864.0	905.0	925.0	473.0	14.0	249092.0	6797461.0
Sfa-ABas_022_Ex1_L3_clmp.fp2_r1_screen	79071.0	204772.0	144711.0	23103.0	10167.0	2521.0	2414.0	971.0	43.0	615920.0	17160293.0
Sfa-ABas_022_Ex1_L3_clmp.fp2_r2_screen	78586.0	204416.0	144930.0	22871.0	9846.0	2417.0	2269.0	956.0	29.0	617373.0	17160293.0
Sfa-ABas_023_Ex1_L3_clmp.fp2_r1_screen	41793.0	248036.0	118793.0	18262.0	7968.0	2069.0	1871.0	752.0	39.0	587929.0	14217473.0
Sfa-ABas_023_Ex1_L3_clmp.fp2_r2_screen	41274.0	246269.0	118227.0	18007.0	7881.0	2005.0	1813.0	790.0	19.0	586654.0	14222046.0
Sfa-ABas_024_Ex1_L3_clmp.fp2_r1_screen	69114.0	258843.0	123391.0	24654.0	8128.0	1854.0	1822.0	983.0	49.0	585117.0	13207357.0
Sfa-ABas_024_Ex1_L3_clmp.fp2_r2_screen	68842.0	258507.0	123755.0	24393.0	7844.0	1772.0	1730.0	941.0	27.0	583288.0	13210213.0
Sfa-ABas_025_Ex1_L3_clmp.fp2_r1_screen	34355.0	39464.0	131520.0	14851.0	9588.0	2106.0	1996.0	637.0	38.0	566046.0	15878574.0
Sfa-ABas_025_Ex1_L3_clmp.fp2_r2_screen	34141.0	39236.0	131745.0	14511.0	9335.0	2006.0	1999.0	624.0	30.0	565306.0	15880242.0
Sfa-ABas_026_Ex1_L3_clmp.fp2_r1_screen	431854.0	593911.0	164847.0	39086.0	11959.0	2845.0	3006.0	1406.0	53.0	851656.0	19032405.0
Sfa-ABas_026_Ex1_L3_clmp.fp2_r2_screen	430846.0	593095.0	165541.0	38520.0	11576.0	2772.0	2785.0	1456.0	43.0	847650.0	19038744.0
Sfa-ABas_027_Ex1_L3_clmp.fp2_r1_screen	127937.0	102690.0	165065.0	22614.0	12689.0	3167.0	3010.0	915.0	74.0	745514.0	18912671.0
Sfa-ABas_027_Ex1_L3_clmp.fp2_r2_screen	127494.0	102543.0	166213.0	21950.0	12429.0	3077.0	2755.0	877.0	50.0	746287.0	18912671.0
Sfa-ABas_028_Ex1_L3_clmp.fp2_r1_screen	242338.0	295147.0	136248.0	51419.0	9903.0	2274.0	2312.0	967.0	49.0	679005.0	15999494.0
Sfa-ABas_028_Ex1_L3_clmp.fp2_r2_screen	242080.0	294012.0	136973.0	50906.0	9594.0	2290.0	2194.0	860.0	31.0	677238.0	16002978.0
Sfa-ABas_029_Ex1_L3_clmp.fp2_r1_screen	129976.0	107399.0	135096.0	17552.0	10122.0	2431.0	2176.0	770.0	54.0	640075.0	16557896.0
Sfa-ABas_029_Ex1_L3_clmp.fp2_r2_screen	129667.0	107487.0	134571.0	17286.0	9982.0	2355.0	2088.0	762.0	29.0	637903.0	16561417.0
Sfa-ABas_030_Ex1_L3_clmp.fp2_r1_screen	629550.0	204256.0	137446.0	25924.0	9375.0	2476.0	2356.0	932.0	67.0	689130.0	16059567.0
Sfa-ABas_030_Ex1_L3_clmp.fp2_r2_screen	629017.0	204026.0	137027.0	25528.0	9160.0	2275.0	2222.0	915.0	26.0	687764.0	16063119.0
Sfa-ABas_031_Ex1_L3_clmp.fp2_r1_screen	14610601.0	48141.0	67195.0	13993.0	3906.0	905.0	855.0	307.0	20.0	4515974.0	6389849.0
Sfa-ABas_031_Ex1_L3_clmp.fp2_r2_screen	14604555.0	48023.0	68573.0	13917.0	3730.0	933.0	856.0	304.0	10.0	4508170.0	6402675.0
Sfa-ABas_032_Ex1_L3_clmp.fp2_r1_screen	66612.0	122036.0	140610.0	19895.0	10198.0	2448.0	2423.0	806.0	59.0	610756.0	16831511.0
Sfa-ABas_032_Ex1_L3_clmp.fp2_r2_screen	66203.0	122294.0	140110.0	19610.0	10025.0	2347.0	2240.0	722.0	36.0	608695.0	16835072.0
Sfa-ABas_033_Ex1_L3_clmp.fp2_r1_screen	293556.0	82387.0	149042.0	18464.0	11307.0	2742.0	2808.0	906.0	57.0	666535.0	18736479.0
Sfa-ABas_033_Ex1_L3_clmp.fp2_r2_screen	292478.0	82023.0	148771.0	17949.0	11008.0	2632.0	2642.0	941.0	27.0	667336.0	18738476.0
Sfa-ABas_034_Ex1_L3_clmp.fp2_r1_screen	231416.0	46891.0	170894.0	21220.0	13486.0	3321.0	3001.0	857.0	62.0	748774.0	21764194.0
Sfa-ABas_034_Ex1_L3_clmp.fp2_r2_screen	230601.0	46972.0	171875.0	20681.0	13436.0	3153.0	2899.0	806.0	54.0	747145.0	21766494.0
Sfa-ABas_035_Ex1_L3_clmp.fp2_r1_screen	72727.0	99218.0	113417.0	18879.0	8525.0	2201.0	2187.0	699.0	38.0	477357.0	13850202.0
Sfa-ABas_035_Ex1_L3_clmp.fp2_r2_screen	72369.0	99044.0	113360.0	18265.0	8338.0	2151.0	2126.0	629.0	22.0	477480.0	13851666.0
Sfa-CBas_001_Ex1_L3_clmp.fp2_r1_screen	5366.0	3229.0	33779.0	3690.0	3164.0	492.0	478.0	219.0	9.0	172167.0	4543841.0
Sfa-CBas_001_Ex1_L3_clmp.fp2_r2_screen	5299.0	3183.0	34075.0	3665.0	3098.0	480.0	445.0	206.0	5.0	173090.0	4542888.0
Sfa-CBas_002_Ex1_L3_clmp.fp2_r1_screen	7348.0	2153.0	44828.0	5166.0	3945.0	710.0	746.0	282.0	14.0	215393.0	5740532.0
Sfa-CBas_002_Ex1_L3_clmp.fp2_r2_screen	7241.0	2121.0	45426.0	5234.0	3977.0	819.0	759.0	278.0	17.0	217121.0	5738124.0
