Sample	Protists_1k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Bacteria_24k	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Cch-CAL_003-3G-lcwgs-1-2.clmp.fp2_r2_screen	1085831.0	157214.0	81122.0	58842.0	23206.0	18132.0	14060.0	5896.0	133.0	0.0	5914451.0	61868645.0
Cch-CAL_005-10E-lcwgs-1-2.clmp.fp2_r1_screen	5828.0	883.0	429.0	315.0	131.0	72.0	89.0	16.0	1.0	0.0	31761.0	341983.0
Cch-CAL_005-10E-lcwgs-1-2.clmp.fp2_r2_screen	5653.0	867.0	471.0	294.0	123.0	87.0	101.0	51.0	3.0	0.0	31493.0	342365.0
Cch-CAL_006-10A-lcwgs-1-2.clmp.fp2_r1_screen	176767.0	25734.0	13353.0	9730.0	3799.0	2628.0	2068.0	907.0	21.0	0.0	959416.0	10084354.0
Cch-CAL_006-10A-lcwgs-1-2.clmp.fp2_r2_screen	178972.0	25489.0	13295.0	9486.0	3671.0	2522.0	2063.0	902.0	20.0	0.0	964770.0	10077587.0
Cch-CAL_008-3B-lcwgs-1-2.clmp.fp2_r1_screen	1728.0	242.0	142.0	97.0	36.0	32.0	31.0	7.0	0.0	0.0	9469.0	106759.0
Cch-CAL_008-3B-lcwgs-1-2.clmp.fp2_r2_screen	1760.0	229.0	144.0	93.0	33.0	24.0	30.0	15.0	2.0	0.0	9406.0	106807.0
Cch-CAL_009-3A-lcwgs-1-2.clmp.fp2_r1_screen	16427.0	2400.0	1189.0	936.0	371.0	253.0	205.0	70.0	1.0	0.0	87917.0	958021.0
Cch-CAL_009-3A-lcwgs-1-2.clmp.fp2_r2_screen	16243.0	2378.0	1248.0	796.0	342.0	256.0	217.0	182.0	1.0	0.0	88961.0	957166.0
Cch-CAL_011-4D-lcwgs-1-2.clmp.fp2_r1_screen	40282.0	5715.0	2990.0	2138.0	856.0	684.0	898.0	226.0	3.0	0.0	229423.0	2147814.0
Cch-CAL_011-4D-lcwgs-1-2.clmp.fp2_r2_screen	40305.0	5644.0	2972.0	2080.0	807.0	672.0	893.0	208.0	11.0	0.0	228408.0	2149029.0
Cch-CAL_012-1F-lcwgs-1-2.clmp.fp2_r1_screen	135917.0	19875.0	10428.0	7627.0	2955.0	2483.0	1876.0	711.0	8.0	0.0	749376.0	7699467.0
Cch-CAL_012-1F-lcwgs-1-2.clmp.fp2_r2_screen	136880.0	19880.0	10203.0	7317.0	2896.0	2420.0	1662.0	704.0	19.0	0.0	751864.0	7696878.0
Cch-CAL_013-5C-lcwgs-1-2.clmp.fp2_r1_screen	301691.0	44801.0	23455.0	17163.0	6350.0	4258.0	3680.0	1874.0	49.0	0.0	1664326.0	17292343.0
Cch-CAL_013-5C-lcwgs-1-2.clmp.fp2_r2_screen	303668.0	44280.0	22698.0	16864.0	6352.0	4118.0	3566.0	1916.0	42.0	0.0	1671887.0	17284599.0
Cch-CAL_014-12A-lcwgs-1-2.clmp.fp2_r1_screen	170037.0	25452.0	12829.0	9320.0	3618.0	3821.0	2475.0	1004.0	15.0	0.0	925885.0	9675335.0
Cch-CAL_014-12A-lcwgs-1-2.clmp.fp2_r2_screen	171187.0	24956.0	12754.0	9135.0	3492.0	3786.0	2372.0	973.0	25.0	0.0	927942.0	9673169.0
Cch-CAL_015-2D-lcwgs-1-2.clmp.fp2_r1_screen	119664.0	17452.0	9024.0	6400.0	2624.0	2000.0	2498.0	576.0	24.0	0.0	663404.0	6705268.0
Cch-CAL_015-2D-lcwgs-1-2.clmp.fp2_r2_screen	120006.0	17264.0	9028.0	6380.0	2457.0	1919.0	2390.0	590.0	10.0	0.0	660610.0	6708280.0
Cch-CAL_016-12C-lcwgs-1-2.clmp.fp2_r1_screen	221820.0	33239.0	17113.0	12901.0	4861.0	3172.0	3031.0	1492.0	34.0	0.0	1238496.0	13038400.0
Cch-CAL_016-12C-lcwgs-1-2.clmp.fp2_r2_screen	223573.0	33124.0	16990.0	12804.0	4811.0	3096.0	3106.0	1482.0	36.0	0.0	1244424.0	13031113.0
Cch-CAL_017-4B-lcwgs-1-2.clmp.fp2_r1_screen	297497.0	43682.0	22732.0	16462.0	6424.0	4171.0	3185.0	1652.0	44.0	0.0	1633375.0	17315139.0
Cch-CAL_017-4B-lcwgs-1-2.clmp.fp2_r2_screen	300668.0	43326.0	22372.0	16457.0	6430.0	4107.0	3055.0	1593.0	49.0	0.0	1636970.0	17309336.0
Cch-CAL_018-11G-lcwgs-1-2.clmp.fp2_r1_screen	86605.0	12873.0	6680.0	5022.0	1885.0	1614.0	1311.0	644.0	9.0	0.0	493739.0	5083474.0
Cch-CAL_018-11G-lcwgs-1-2.clmp.fp2_r2_screen	87912.0	12776.0	6546.0	5026.0	1877.0	1532.0	1279.0	619.0	14.0	0.0	495078.0	5081197.0
Cch-CAL_021-1E-lcwgs-1-2.clmp.fp2_r1_screen	3114.0	464.0	227.0	160.0	62.0	40.0	31.0	18.0	1.0	0.0	16206.0	170680.0
Cch-CAL_021-1E-lcwgs-1-2.clmp.fp2_r2_screen	3164.0	421.0	206.0	164.0	68.0	53.0	42.0	28.0	2.0	0.0	16022.0	170833.0
Cch-CAL_022-2H-lcwgs-1-2.clmp.fp2_r1_screen	40897.0	5912.0	3052.0	2465.0	923.0	931.0	548.0	402.0	6.0	0.0	225045.0	2328572.0
Cch-CAL_022-2H-lcwgs-1-2.clmp.fp2_r2_screen	41147.0	5757.0	3031.0	2149.0	846.0	630.0	533.0	333.0	7.0	0.0	228356.0	2325964.0
Cch-CAL_023-9B-lcwgs-1-2.clmp.fp2_r1_screen	211585.0	31605.0	16267.0	11660.0	4524.0	3176.0	3473.0	1065.0	34.0	0.0	1161201.0	12287254.0
Cch-CAL_023-9B-lcwgs-1-2.clmp.fp2_r2_screen	213433.0	31062.0	16048.0	11418.0	4550.0	3110.0	3414.0	1030.0	23.0	0.0	1160502.0	12287254.0
Cch-CAL_024-8A-lcwgs-1-2.clmp.fp2_r1_screen	153471.0	23761.0	12213.0	8988.0	3426.0	2269.0	2571.0	841.0	36.0	0.0	823787.0	9492749.0
Cch-CAL_024-8A-lcwgs-1-2.clmp.fp2_r2_screen	155467.0	23204.0	11895.0	8742.0	3238.0	2209.0	2576.0	852.0	21.0	0.0	827369.0	9488539.0
Cch-CAL_025-9F-lcwgs-1-2.clmp.fp2_r1_screen	136411.0	20068.0	10377.0	7519.0	2943.0	2412.0	1671.0	764.0	20.0	0.0	738020.0	7851999.0
Cch-CAL_025-9F-lcwgs-1-2.clmp.fp2_r2_screen	136923.0	20050.0	9934.0	7232.0	2877.0	2350.0	1538.0	677.0	22.0	0.0	740356.0	7850245.0
Cch-CAL_026-2C-lcwgs-1-2.clmp.fp2_r1_screen	30701.0	4439.0	2198.0	1602.0	650.0	563.0	372.0	178.0	4.0	0.0	170284.0	1671172.0
Cch-CAL_026-2C-lcwgs-1-2.clmp.fp2_r2_screen	30656.0	4263.0	2258.0	1611.0	579.0	583.0	342.0	173.0	5.0	0.0	170145.0	1671548.0
Cch-CAL_027-2E-lcwgs-1-2.clmp.fp2_r1_screen	121283.0	17945.0	9394.0	6773.0	2475.0	2004.0	2424.0	643.0	17.0	0.0	671172.0	6961472.0
Cch-CAL_027-2E-lcwgs-1-2.clmp.fp2_r2_screen	122303.0	17651.0	9206.0	6432.0	2497.0	2015.0	2363.0	653.0	17.0	0.0	668654.0	6963811.0
Cch-CAL_028-1H-lcwgs-1-2.clmp.fp2_r1_screen	298531.0	44391.0	23044.0	16500.0	6690.0	4186.0	4085.0	1732.0	42.0	0.0	1671813.0	17158448.0
Cch-CAL_028-1H-lcwgs-1-2.clmp.fp2_r2_screen	300962.0	44199.0	22934.0	16172.0	6477.0	4075.0	4148.0	1580.0	42.0	0.0	1672348.0	17156525.0
Cch-CAL_029-3B-lcwgs-1-2.clmp.fp2_r1_screen	39982.0	5407.0	2873.0	1844.0	844.0	491.0	510.0	223.0	6.0	0.0	251388.0	1810409.0
Cch-CAL_029-3B-lcwgs-1-2.clmp.fp2_r2_screen	40327.0	5285.0	2815.0	1830.0	804.0	477.0	457.0	186.0	5.0	0.0	247154.0	1814637.0
Cch-CAL_030-9D-lcwgs-1-2.clmp.fp2_r1_screen	60103.0	8872.0	4478.0	3511.0	1191.0	919.0	1079.0	388.0	12.0	0.0	338203.0	3426562.0
Cch-CAL_030-9D-lcwgs-1-2.clmp.fp2_r2_screen	60942.0	8746.0	4634.0	3531.0	1244.0	934.0	1066.0	415.0	6.0	0.0	340314.0	3423486.0
Cch-CAL_031-12F-lcwgs-1-2.clmp.fp2_r1_screen	141826.0	20589.0	10991.0	7435.0	3133.0	1932.0	1592.0	718.0	23.0	0.0	764721.0	7887110.0
Cch-CAL_031-12F-lcwgs-1-2.clmp.fp2_r2_screen	142588.0	20437.0	10623.0	7348.0	3040.0	1875.0	1471.0	663.0	22.0	0.0	768429.0	7883574.0
Cch-CAL_034-11A-lcwgs-1-2.clmp.fp2_r1_screen	248818.0	36902.0	18686.0	13650.0	5468.0	4788.0	3866.0	1264.0	40.0	0.0	1349834.0	14675440.0
Cch-CAL_034-11A-lcwgs-1-2.clmp.fp2_r2_screen	252952.0	37209.0	18756.0	13468.0	5561.0	4712.0	3854.0	1287.0	39.0	0.0	1363473.0	14657445.0
Cch-CAL_036-3D-lcwgs-1-2.clmp.fp2_r1_screen	165670.0	23806.0	12568.0	8983.0	3516.0	2648.0	1783.0	888.0	16.0	0.0	908947.0	9180073.0
Cch-CAL_036-3D-lcwgs-1-2.clmp.fp2_r2_screen	165992.0	23451.0	12063.0	8642.0	3530.0	2486.0	1647.0	809.0	19.0	0.0	909155.0	9181104.0
Cch-CAL_038-11A-lcwgs-1-2.clmp.fp2_r1_screen	164069.0	24409.0	12466.0	8862.0	3477.0	3120.0	1861.0	896.0	32.0	0.0	893336.0	9373121.0
Cch-CAL_038-11A-lcwgs-1-2.clmp.fp2_r2_screen	165944.0	24033.0	12296.0	8845.0	3414.0	3083.0	1820.0	803.0	26.0	0.0	897507.0	9367878.0
Cch-CAL_039-12A-lcwgs-1-2.clmp.fp2_r1_screen	296763.0	44447.0	22678.0	17066.0	6375.0	5200.0	4233.0	1942.0	45.0	0.0	1628965.0	17450800.0
Cch-CAL_039-12A-lcwgs-1-2.clmp.fp2_r2_screen	299399.0	43469.0	22667.0	17029.0	6346.0	5004.0	4157.0	1884.0	43.0	0.0	1639403.0	17439113.0
Cch-CAL_040-6D-lcwgs-1-2.clmp.fp2_r1_screen	310733.0	46817.0	24298.0	17525.0	6837.0	5869.0	5482.0	1837.0	52.0	0.0	1689509.0	18426176.0
Cch-CAL_040-6D-lcwgs-1-2.clmp.fp2_r2_screen	315313.0	46440.0	24396.0	17334.0	6760.0	5841.0	5324.0	1691.0	48.0	0.0	1710454.0	18401534.0
Cch-CAL_041-12H-lcwgs-1-2.clmp.fp2_r1_screen	221229.0	33135.0	17061.0	12432.0	4747.0	3690.0	2954.0	1412.0	28.0	0.0	1207691.0	13072936.0
Cch-CAL_041-12H-lcwgs-1-2.clmp.fp2_r2_screen	221912.0	32873.0	16582.0	12350.0	4772.0	3784.0	3095.0	1291.0	31.0	0.0	1206232.0	13074393.0
Cch-CAL_042-9C-lcwgs-1-2.clmp.fp2_r1_screen	160700.0	23690.0	12567.0	8593.0	3504.0	2561.0	2626.0	878.0	34.0	0.0	901127.0	9143644.0
Cch-CAL_042-9C-lcwgs-1-2.clmp.fp2_r2_screen	162184.0	23421.0	12262.0	8582.0	3429.0	2459.0	2602.0	840.0	25.0	0.0	899450.0	9144670.0
Cch-CAL_043-2F-lcwgs-1-2.clmp.fp2_r1_screen	151765.0	22256.0	11691.0	8115.0	3288.0	2622.0	1680.0	807.0	17.0	0.0	830653.0	8766854.0
Cch-CAL_043-2F-lcwgs-1-2.clmp.fp2_r2_screen	152467.0	22166.0	11411.0	7866.0	3191.0	2551.0	1574.0	778.0	23.0	0.0	830867.0	8766854.0
Cch-CAL_044-1E-lcwgs-1-2.clmp.fp2_r1_screen	69437.0	9952.0	5327.0	3684.0	1427.0	1030.0	1030.0	390.0	6.0	0.0	390084.0	3863280.0
Cch-CAL_044-1E-lcwgs-1-2.clmp.fp2_r2_screen	70375.0	9871.0	5318.0	3629.0	1381.0	868.0	1058.0	383.0	8.0	0.0	391649.0	3861107.0
Cch-CAL_045-11D-lcwgs-1-2.clmp.fp2_r1_screen	287049.0	42242.0	21910.0	16132.0	6260.0	4004.0	3002.0	1625.0	36.0	0.0	1561148.0	16797264.0
Cch-CAL_045-11D-lcwgs-1-2.clmp.fp2_r2_screen	289561.0	41989.0	21541.0	16036.0	6065.0	3898.0	3040.0	1604.0	36.0	0.0	1565260.0	16791642.0
Cch-CAL_046-8C-lcwgs-1-2.clmp.fp2_r1_screen	86698.0	12374.0	6349.0	4298.0	1799.0	1472.0	1675.0	512.0	20.0	0.0	506907.0	4536300.0
Cch-CAL_046-8C-lcwgs-1-2.clmp.fp2_r2_screen	87167.0	11859.0	6402.0	4226.0	1747.0	1334.0	1616.0	463.0	9.0	0.0	503670.0	4539911.0
Cch-CAL_049-4F-lcwgs-1-2.clmp.fp2_r1_screen	76438.0	11111.0	5854.0	3968.0	1679.0	1187.0	1162.0	427.0	9.0	0.0	431363.0	4181192.0
Cch-CAL_049-4F-lcwgs-1-2.clmp.fp2_r2_screen	77216.0	10842.0	5657.0	3931.0	1623.0	1169.0	1096.0	411.0	9.0	0.0	429830.0	4182606.0
Cch-CAL_050-11B-lcwgs-1-2.clmp.fp2_r1_screen	43197.0	6612.0	3293.0	2299.0	923.0	948.0	539.0	227.0	3.0	0.0	237153.0	2562437.0
Cch-CAL_050-11B-lcwgs-1-2.clmp.fp2_r2_screen	43698.0	6511.0	3216.0	2281.0	874.0	980.0	556.0	238.0	7.0	0.0	238262.0	2561008.0
Cch-CAS_004-12H-lcwgs-1-2.clmp.fp2_r1_screen	2441240.0	369496.0	186529.0	135324.0	52824.0	39205.0	36191.0	13660.0	356.0	1.0	13363146.0	142121298.0
Cch-CAS_005-8H-lcwgs-1-2.clmp.fp2_r1_screen	181635.0	26722.0	13846.0	10085.0	3879.0	3223.0	2316.0	1028.0	23.0	0.0	972681.0	10471458.0
Cch-CAS_005-8H-lcwgs-1-2.clmp.fp2_r2_screen	182311.0	26375.0	13435.0	9711.0	3939.0	3099.0	2222.0	985.0	21.0	0.0	972171.0	10472627.0
Cch-CAS_007-7G-lcwgs-1-2.clmp.fp2_r1_screen	137036.0	19892.0	10346.0	7386.0	2863.0	2579.0	1769.0	848.0	14.0	0.0	760322.0	7614604.0
Cch-CAS_007-7G-lcwgs-1-2.clmp.fp2_r2_screen	137611.0	20044.0	10223.0	7297.0	2965.0	2601.0	1809.0	769.0	15.0	0.0	761432.0	7612893.0
Cch-CAS_009-5C-lcwgs-1-2.clmp.fp2_r1_screen	47067.0	6999.0	3600.0	2712.0	1005.0	743.0	725.0	255.0	7.0	0.0	259816.0	2764341.0
