Sample	Protists_1k	Bacteria_24k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Ecoli	Multiple Genomes	No hits
Pbb-AGal_001-Ex1-12E-lcwgs-1-1.clmp.fp2_r1_screen	3933.0	13061.0	1231.0	283.0	208.0	44.0	24.0	16.0	1.0	0.0	0.0	26902.0	241013.0
Pbb-AGal_001-Ex1-12E-lcwgs-1-1.clmp.fp2_r2_screen	3933.0	13107.0	1251.0	279.0	175.0	47.0	32.0	17.0	1.0	0.0	0.0	26632.0	241242.0
Pbb-AGal_002-Ex1-12F-lcwgs-1-1.clmp.fp2_r1_screen	42566.0	237912.0	14801.0	2274.0	1869.0	458.0	252.0	258.0	4.0	0.0	0.0	523513.0	1507463.0
Pbb-AGal_002-Ex1-12F-lcwgs-1-1.clmp.fp2_r2_screen	42829.0	237528.0	14740.0	2160.0	1836.0	489.0	241.0	259.0	7.0	0.0	0.0	515891.0	1515390.0
Pbb-AGal_003-Ex1-12G-lcwgs-1-1.clmp.fp2_r1_screen	39264.0	8044.0	5800.0	3375.0	2342.0	610.0	532.0	134.0	3.0	0.0	0.0	125954.0	3876329.0
Pbb-AGal_003-Ex1-12G-lcwgs-1-1.clmp.fp2_r2_screen	39712.0	8063.0	5704.0	3314.0	2247.0	574.0	522.0	125.0	3.0	0.0	0.0	126200.0	3875923.0
Pbb-AGal_004-Ex1-12H-lcwgs-1-1.clmp.fp2_r1_screen	31243.0	45267.0	12463.0	2545.0	1571.0	424.0	311.0	121.0	1.0	0.0	0.0	144459.0	2381427.0
Pbb-AGal_004-Ex1-12H-lcwgs-1-1.clmp.fp2_r2_screen	31612.0	45236.0	12491.0	2601.0	1457.0	387.0	329.0	118.0	6.0	0.0	0.0	143906.0	2381689.0
Pbb-AGal_005-Ex1-1A-lcwgs-1-1.clmp.fp2_r1_screen	35184.0	231741.0	88444.0	2381.0	886.0	129.0	109.0	192.0	0.0	0.0	0.0	246831.0	1178777.0
Pbb-AGal_005-Ex1-1A-lcwgs-1-1.clmp.fp2_r2_screen	35071.0	231078.0	88479.0	2301.0	829.0	132.0	97.0	193.0	2.0	0.0	0.0	245574.0	1180918.0
Pbb-AGal_006-Ex1-1B-lcwgs-1-1.clmp.fp2_r1_screen	187065.0	126166.0	415062.0	14601.0	10076.0	2078.0	1562.0	633.0	26.0	0.0	0.0	917234.0	14871960.0
Pbb-AGal_006-Ex1-1B-lcwgs-1-1.clmp.fp2_r2_screen	186976.0	125907.0	414552.0	14617.0	9970.0	2056.0	1544.0	624.0	13.0	0.0	0.0	914934.0	14875270.0
Pbb-AGal_007-Ex1-1C-lcwgs-1-1.clmp.fp2_r1_screen	161786.0	12942.0	18828.0	10560.0	8746.0	1644.0	1024.0	399.0	7.0	0.0	0.0	549267.0	14417380.0
