# table produced by mapDamage version 2.2.1
# using mapped file - and /home/e1garcia/shotgun_PIRE/pire_lcwgs_data_processing/salarias_fasciatus/1st_sequencing_run/refGenome/GCF_902148845.1_fSalaFa1.1_chr1-23-mtgen.fasta as reference file
# Std: strand of reads
Std	Length	Occurences 
+	116	562
+	166	299
+	194	128
+	118	552
+	146	401
+	228	49
+	198	113
+	134	537
+	125	543
+	77	130
+	98	414
+	128	562
+	130	507
+	168	272
+	270	18
+	131	462
+	241	30
+	97	416
+	82	157
+	41	32
+	182	167
+	167	268
+	223	65
+	158	330
+	94	348
+	133	501
+	157	301
+	91	289
+	154	352
+	119	595
+	112	571
+	165	285
+	100	505
+	70	96
+	189	159
+	171	238
+	139	466
+	136	435
+	155	352
+	179	214
+	162	279
+	144	385
+	184	172
+	180	193
+	142	438
+	111	613
+	105	541
+	140	482
+	150	364
+	113	586
+	247	31
+	110	563
+	215	63
+	217	66
+	227	53
+	163	290
+	153	318
+	108	561
+	101	487
+	57	87
+	210	91
+	145	425
+	121	528
+	185	179
+	103	531
+	107	585
+	161	299
+	53	63
+	156	357
+	74	118
+	151	376
+	55	60
+	64	88
+	95	374
+	126	557
+	117	560
+	175	248
+	137	476
+	120	566
+	115	561
+	169	238
+	124	542
+	216	77
+	219	67
+	123	541
+	190	146
+	102	559
+	172	242
+	52	65
+	132	464
+	138	443
+	188	178
+	88	197
+	42	29
+	211	94
+	143	439
+	47	54
+	164	295
+	109	572
+	253	21
+	89	209
+	104	491
+	114	601
+	255	16
+	135	464
+	66	98
+	129	511
+	237	25
+	160	327
+	81	136
+	51	71
+	73	119
+	99	489
+	203	95
+	87	189
+	84	152
+	96	399
+	86	196
+	236	45
+	127	456
+	83	136
+	178	215
+	93	353
+	206	101
+	141	435
+	50	45
+	147	435
+	149	391
+	148	376
+	122	553
+	59	60
+	173	231
+	248	24
+	183	173
+	213	86
+	80	131
+	235	41
+	212	88
+	54	71
+	44	32
+	76	127
+	106	538
+	208	80
+	71	112
+	152	362
+	61	94
+	43	27
+	159	310
+	220	70
+	187	150
+	79	145
+	72	100
+	278	8
+	192	145
+	67	104
+	39	22
+	177	224
+	209	73
+	176	219
+	200	115
+	170	251
+	28	3
+	69	99
+	193	142
+	174	235
+	56	62
+	90	247
+	45	53
+	197	135
+	78	130
+	199	108
+	261	11
+	75	131
+	275	16
+	289	5
+	231	37
+	254	19
+	195	124
+	280	6
+	271	11
+	226	55
+	205	96
+	92	300
+	256	19
+	242	38
+	207	121
+	234	45
+	246	34
+	222	66
+	181	191
+	38	27
+	266	19
+	240	35
+	214	72
+	202	97
+	60	84
+	196	114
+	191	153
+	48	57
+	238	48
+	62	90
+	201	106
+	204	87
+	36	12
+	232	35
+	224	45
+	225	54
+	259	22
+	85	185
+	268	10
+	245	27
+	63	85
+	34	10
+	218	60
+	262	21
+	68	105
+	221	68
+	282	10
+	251	19
+	229	51
+	65	113
+	186	149
+	58	74
+	244	23
+	243	24
+	33	7
+	29	1
+	267	13
+	230	48
+	49	51
+	269	13
+	233	38
+	252	15
+	281	7
+	239	31
+	290	1
+	258	17
+	263	15
+	40	20
+	257	17
+	265	10
+	46	34
+	264	19
+	287	8
+	32	7
+	277	11
+	37	12
+	274	11
+	260	20
+	285	7
+	273	7
+	35	5
+	284	3
+	31	7
+	249	25
+	250	24
+	283	9
+	279	6
+	276	10
+	30	4
+	288	5
+	27	2
+	26	3
+	286	2
+	272	7
-	120	564
-	205	87
-	108	566
-	213	78
-	151	388
-	74	122
-	124	517
-	173	237
-	190	143
-	137	473
-	143	443
-	126	592
-	100	473
-	128	529
-	160	286
-	167	276
-	131	524
-	132	535
-	102	525
-	158	312
-	99	459
-	112	594
-	219	56
-	139	458
-	243	34
-	161	322
-	166	285
-	147	387
-	216	67
-	263	16
-	179	214
-	186	142
-	127	523
-	121	505
-	94	353
-	41	28
-	234	31
-	64	92
-	171	225
-	52	68
-	130	509
-	110	592
-	183	200
-	209	78
-	142	445
-	119	542
-	164	268
-	223	60
-	118	570
-	81	131
-	71	110
-	135	468
-	129	506
-	181	208
-	203	116
-	101	547
-	136	507
-	95	418
-	154	353
-	54	71
-	221	66
-	144	400
-	146	417
-	62	83
-	194	125
-	133	497
-	187	169
-	113	594
-	141	447
-	149	424
-	92	288
-	145	413
-	116	568
-	201	112
-	162	319
-	237	34
-	228	49
-	150	397
-	103	544
-	82	133
-	83	153
-	58	86
-	157	376
-	165	288
-	138	455
-	59	77
-	175	236
-	122	526
-	174	230
-	106	550
-	155	339
-	125	521
-	98	448
-	114	532
-	96	395
-	105	522
-	256	19
-	250	39
-	204	114
-	287	7
-	123	540
-	109	556
-	61	76
-	115	552
-	214	72
-	85	172
-	88	191
-	104	564
-	107	566
-	199	104
-	170	257
-	176	225
-	84	147
-	192	126
-	90	261
-	80	122
-	252	23
-	180	201
-	75	109
-	156	309
-	172	231
-	93	328
-	191	153
-	163	278
-	140	478
-	117	571
-	48	48
-	188	164
-	70	100
-	193	128
-	195	125
-	87	206
-	178	205
-	184	196
-	153	360
-	207	83
-	86	196
-	206	98
-	236	37
-	220	67
-	233	34
-	44	39
-	211	69
-	73	129
-	185	172
-	134	500
-	148	395
-	76	117
-	189	187
-	210	72
-	72	122
-	77	113
-	57	77
-	79	132
-	63	84
-	53	70
-	242	37
-	215	81
-	218	82
-	97	422
-	89	209
-	111	573
-	212	84
-	45	44
-	152	388
-	42	35
-	239	24
-	56	75
-	51	53
-	159	330
-	55	71
-	182	179
-	264	12
-	36	18
-	247	25
-	168	300
-	169	251
-	254	21
-	198	129
-	68	93
-	208	90
-	245	35
-	279	2
-	91	283
-	39	19
-	43	38
-	69	104
-	244	27
-	202	115
-	66	115
-	196	135
-	47	49
-	265	16
-	217	67
-	37	26
-	65	114
-	238	31
-	67	92
-	271	14
-	46	36
-	177	194
-	249	23
-	248	33
-	197	109
-	283	15
-	60	89
-	275	9
-	225	57
-	258	17
-	241	34
-	78	122
-	268	13
-	224	55
-	230	42
-	257	14
-	222	55
-	50	51
-	229	60
-	200	105
-	259	22
-	240	34
-	280	6
-	282	9
-	273	14
-	293	1
-	255	22
-	253	22
-	276	12
-	226	52
-	34	7
-	38	23
-	289	10
-	40	21
-	35	10
-	272	9
-	285	9
-	232	48
-	231	36
-	261	8
-	262	7
-	227	41
-	49	37
-	30	8
-	32	9
-	266	18
-	33	11
-	267	13
-	270	14
-	235	30
-	251	20
-	269	14
-	286	11
-	274	10
-	288	9
-	260	14
-	246	26
-	281	7
-	277	8
-	278	7
-	284	6
-	29	2
-	31	2
-	26	2
-	27	1
