filename	numreads	meanreadlength	meandepth_wcvg	numpos	numpos_wcvg	meandepth	pctpos_wcvg
./Cvi-APal_001-Ex1-1A-lcwgs-1-2.clmp.fp2_repr.ssl.Cvi-RG.bam	746187	122.208	1.75945	827016155	37064422	0.0788534	4.4817
./Cvi-APal_016-Ex1-2H-lcwgs-1-2.clmp.fp2_repr.ssl.Cvi-RG.bam	1326080	108.62	3.20502	827016155	29853695	0.115695	3.60981
./Cvi-APal_015-Ex1-2G-lcwgs-1-2.clmp.fp2_repr.ssl.Cvi-RG.bam	1850488	105.837	1.79473	827016155	67998632	0.147566	8.22216
./Cvi-APal_011-Ex1-2C-lcwgs-1-2.clmp.fp2_repr.ssl.Cvi-RG.bam	2560439	122.457	4.84614	827016155	48534198	0.2844	5.86859
./Cvi-APal_007-Ex1-1G-lcwgs-1-2.clmp.fp2_repr.ssl.Cvi-RG.bam	1604539	116.389	1.44944	827016155	87304011	0.15301	10.5565
./Cvi-APal_009-Ex1-2A-lcwgs-1-2.clmp.fp2_repr.ssl.Cvi-RG.bam	2454347	113.381	2.73484	827016155	65568041	0.216825	7.92827
./Cvi-APal_025-Ex1-3H-lcwgs-1-2.clmp.fp2_repr.ssl.Cvi-RG.bam	581278	112.814	2.36746	827016155	19260779	0.0551369	2.32895
./Cvi-APal_008-Ex1-1H-lcwgs-1-2.clmp.fp2_repr.ssl.Cvi-RG.bam	3652027	104.681	2.10418	827016155	112781351	0.28695	13.6371
./Cvi-APal_018-Ex1-3A-lcwgs-1-2.clmp.fp2_repr.ssl.Cvi-RG.bam	3638216	96.4012	1.60483	827016155	121134250	0.235062	14.6471
./Cvi-APal_002-Ex1-1B-lcwgs-1-2.clmp.fp2_repr.ssl.Cvi-RG.bam	3891089	103.623	1.54405	827016155	159389591	0.297582	19.2729
./Cvi-APal_006-Ex1-1F-lcwgs-1-2.clmp.fp2_repr.ssl.Cvi-RG.bam	3740454	105.846	1.44632	827016155	169540894	0.2965	20.5003
./Cvi-APal_004-Ex1-1D-lcwgs-1-2.clmp.fp2_repr.ssl.Cvi-RG.bam	5288760	98.5061	2.12359	827016155	153724987	0.394731	18.5879
./Cvi-APal_028-Ex1-4C-lcwgs-1-2.clmp.fp2_repr.ssl.Cvi-RG.bam	2190083	94.2143	2.47493	827016155	45408076	0.135888	5.49059
./Cvi-APal_010-Ex1-2B-lcwgs-1-2.clmp.fp2_repr.ssl.Cvi-RG.bam	8673542	110.273	2.72485	827016155	222045122	0.731594	26.8489
./Cvi-APal_034-Ex1-5A-lcwgs-1-2.clmp.fp2_repr.ssl.Cvi-RG.bam	1868635	99.0764	1.59703	827016155	67677652	0.130691	8.18335
./Cvi-APal_029-Ex1-5H-lcwgs-1-2.clmp.fp2_repr.ssl.Cvi-RG.bam	4096391	107.556	2.64106	827016155	107405643	0.342998	12.9871
./Cvi-APal_033-Ex1-4H-lcwgs-1-2.clmp.fp2_repr.ssl.Cvi-RG.bam	3255867	107.364	2.58632	827016155	89730829	0.280614	10.8499
./Cvi-APal_030-Ex1-4E-lcwgs-1-2.clmp.fp2_repr.ssl.Cvi-RG.bam	4653393	111.694	3.21049	827016155	112877806	0.438193	13.6488
./Cvi-APal_012-Ex1-2D-lcwgs-1-2.clmp.fp2_repr.ssl.Cvi-RG.bam	12205265	104.786	3.11978	827016155	252190572	0.951347	30.494
./Cvi-APal_021-Ex1-3D-lcwgs-1-2.clmp.fp2_repr.ssl.Cvi-RG.bam	9704226	99.6307	2.28705	827016155	245840742	0.679854	29.7262
./Cvi-APal_020-Ex1-3C-lcwgs-1-2.clmp.fp2_repr.ssl.Cvi-RG.bam	14015721	90.8875	2.20487	827016155	311302919	0.82995	37.6417
./Cvi-APal_039-Ex1-5F-lcwgs-1-2.clmp.fp2_repr.ssl.Cvi-RG.bam	2295689	114.753	2.5766	827016155	72207245	0.224964	8.73106
./Cvi-APal_036-Ex1-5C-lcwgs-1-2.clmp.fp2_repr.ssl.Cvi-RG.bam	3632502	106.041	1.62706	827016155	137059158	0.269648	16.5727
./Cvi-APal_003-Ex1-1C-lcwgs-1-2.clmp.fp2_repr.ssl.Cvi-RG.bam	15023979	92.0522	2.05647	827016155	361366949	0.89858	43.6953
./Cvi-APal_037-Ex1-5D-lcwgs-1-2.clmp.fp2_repr.ssl.Cvi-RG.bam	4947114	104.19	2.42763	827016155	135617119	0.398092	16.3984
./Cvi-APal_040-Ex1-5G-lcwgs-1-2.clmp.fp2_repr.ssl.Cvi-RG.bam	3388549	118.748	5.28451	827016155	54604451	0.348914	6.60259
./Cvi-APal_017-Ex2-4D-lcwgs-1-2.clmp.fp2_repr.ssl.Cvi-RG.bam	17284904	95.8801	2.7293	827016155	345246999	1.13938	41.7461
./Cvi-APal_026-Ex1-4A-lcwgs-1-2.clmp.fp2_repr.ssl.Cvi-RG.bam	13337543	90.2336	1.87595	827016155	334307059	0.758321	40.4233
./Cvi-APal_038-Ex1-5E-lcwgs-1-2.clmp.fp2_repr.ssl.Cvi-RG.bam	7657472	102.163	2.64535	827016155	186222675	0.595664	22.5174
./Cvi-APal_019-Ex1-3B-lcwgs-1-2.clmp.fp2_repr.ssl.Cvi-RG.bam	21004294	87.9044	2.30886	827016155	422378262	1.17919	51.0726
./Cvi-APal_031-Ex1-4F-lcwgs-1-2.clmp.fp2_repr.ssl.Cvi-RG.bam	14631121	95.7262	2.61886	827016155	316761714	1.00307	38.3018
./Cvi-APal_013-Ex1-2E-lcwgs-1-2.clmp.fp2_repr.ssl.Cvi-RG.bam	22438392	85.8901	2.4573	827016155	408523217	1.21384	49.3972
./Cvi-APal_022-Ex1-3E-lcwgs-1-2.clmp.fp2_repr.ssl.Cvi-RG.bam	19519463	88.3727	2.49807	827016155	370353740	1.11868	44.7819
./Cvi-CPal_009-Ex1-2C-lcwgs-1-2.clmp.fp2_repr.ssl.Cvi-RG.bam	1735552	120.119	1.18713	827016155	121672226	0.174653	14.7122
