#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	6942772	6392603	92.08	11390	0.16	4172	0.06	45370	0.65	489237	7.05
Ecoli	6942772	6942762	100.00	0	0.00	0	0.00	0	0.00	10	0.00
PhiX	6942772	6942772	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	6942772	6942765	100.00	0	0.00	0	0.00	1	0.00	6	0.00
Vectors	6942772	6870398	98.96	7	0.00	2	0.00	1942	0.03	70423	1.01
Bacteria_24k	6942772	6676873	96.17	1181	0.02	778	0.01	25762	0.37	238178	3.43
Protists_1k	6942772	6269950	90.30	35854	0.52	71164	1.03	16413	0.24	549391	7.91
Viruses	6942772	6649429	95.78	494	0.01	132	0.00	24394	0.35	268323	3.86
Fungi_RefSeq_release	6942772	6431873	92.65	6568	0.09	1410	0.02	47375	0.68	455546	6.56
Coral	6942772	6625081	95.42	1296	0.02	269	0.00	42916	0.62	273210	3.94
Bird	6942772	6544989	94.27	5001	0.07	796	0.01	51155	0.74	340831	4.91
Plant	6942772	6547593	94.30	1863	0.03	457	0.01	37575	0.54	355284	5.12

%Hit_no_genomes: 89.50
