Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Bird	Plant	Viruses	Coral	Vectors	Contamnts_Adaptrs	Ecoli	Multiple Genomes	No hits
Cvi-APal_001-Ex1-1A-lcwgs-1-2.clmp.fp2_r1_screen	478411.0	40179.0	14142.0	1602.0	364.0	99.0	691.0	72.0	10.0	0.0	0.0	244221.0	2232145.0
Cvi-APal_001-Ex1-1A-lcwgs-1-2.clmp.fp2_r2_screen	474293.0	39918.0	14142.0	1556.0	355.0	93.0	678.0	70.0	11.0	0.0	0.0	242651.0	2238169.0
Cvi-APal_002-Ex1-1B-lcwgs-1-2.clmp.fp2_r1_screen	800446.0	94008.0	22201.0	4307.0	1385.0	665.0	1701.0	471.0	23.0	0.0	0.0	599251.0	5861479.0
Cvi-APal_002-Ex1-1B-lcwgs-1-2.clmp.fp2_r2_screen	796078.0	93949.0	22009.0	4353.0	1392.0	679.0	1635.0	435.0	25.0	0.0	0.0	595778.0	5869604.0
Cvi-APal_003-Ex1-1C-lcwgs-1-2.clmp.fp2_r1_screen	1238091.0	186027.0	52088.0	11335.0	4808.0	1750.0	1936.0	1543.0	21.0	0.0	0.0	1034494.0	15736974.0
Cvi-APal_003-Ex1-1C-lcwgs-1-2.clmp.fp2_r2_screen	1231271.0	185623.0	51942.0	11255.0	4716.0	1877.0	1926.0	1551.0	27.0	0.0	0.0	1030944.0	15747935.0
Cvi-APal_004-Ex1-1D-lcwgs-1-2.clmp.fp2_r1_screen	1757566.0	628605.0	613253.0	63991.0	42634.0	11517.0	4848.0	11871.0	141.0	1.0	0.0	2597669.0	61388459.0
Cvi-APal_004-Ex1-1D-lcwgs-1-2.clmp.fp2_r2_screen	1747349.0	632134.0	611398.0	63912.0	42276.0	11332.0	4771.0	11863.0	163.0	0.0	0.0	2600186.0	61395171.0
Cvi-APal_005-Ex1-1E-lcwgs-1-2.clmp.fp2_r1_screen	464906.0	321613.0	46657.0	25540.0	14468.0	4948.0	1504.0	4528.0	30.0	0.0	0.0	1134702.0	40041425.0
Cvi-APal_005-Ex1-1E-lcwgs-1-2.clmp.fp2_r2_screen	463867.0	322209.0	46504.0	25629.0	14426.0	4805.0	1512.0	4419.0	46.0	1.0	0.0	1131272.0	40045631.0
Cvi-APal_006-Ex1-1F-lcwgs-1-2.clmp.fp2_r1_screen	668908.0	72033.0	36828.0	3426.0	1228.0	445.0	729.0	380.0	4.0	0.0	0.0	419625.0	5019794.0
Cvi-APal_006-Ex1-1F-lcwgs-1-2.clmp.fp2_r2_screen	665219.0	71968.0	36903.0	3438.0	1155.0	437.0	722.0	364.0	4.0	0.0	0.0	415306.0	5027884.0
Cvi-APal_007-Ex1-1G-lcwgs-1-2.clmp.fp2_r1_screen	427860.0	42350.0	599219.0	1928.0	631.0	201.0	359.0	152.0	3.0	0.0	0.0	429687.0	2933363.0
Cvi-APal_007-Ex1-1G-lcwgs-1-2.clmp.fp2_r2_screen	425610.0	42365.0	598403.0	1905.0	627.0	176.0	351.0	175.0	2.0	0.0	0.0	427010.0	2939129.0
Cvi-APal_008-Ex1-1H-lcwgs-1-2.clmp.fp2_r1_screen	1443726.0	131635.0	83145.0	6241.0	1226.0	558.0	1004.0	275.0	2.0	0.0	0.0	837025.0	7706480.0
Cvi-APal_008-Ex1-1H-lcwgs-1-2.clmp.fp2_r2_screen	1436730.0	131112.0	82981.0	6051.0	1190.0	560.0	973.0	324.0	6.0	0.0	0.0	832656.0	7718734.0
Cvi-APal_009-Ex1-2A-lcwgs-1-2.clmp.fp2_r1_screen	2193841.0	189195.0	28282.0	3700.0	977.0	437.0	1665.0	341.0	21.0	0.0	0.0	1159279.0	8460411.0
Cvi-APal_009-Ex1-2A-lcwgs-1-2.clmp.fp2_r2_screen	2180249.0	188378.0	28063.0	3923.0	1016.0	439.0	1501.0	375.0	7.0	0.0	0.0	1148507.0	8485691.0
Cvi-APal_010-Ex1-2B-lcwgs-1-2.clmp.fp2_r1_screen	3444379.0	305587.0	139282.0	10590.0	2370.0	1102.0	2021.0	713.0	23.0	0.0	0.0	1767260.0	17587543.0
Cvi-APal_010-Ex1-2B-lcwgs-1-2.clmp.fp2_r2_screen	3416509.0	304380.0	139296.0	10632.0	2351.0	1005.0	1988.0	764.0	10.0	0.0	0.0	1752196.0	17631739.0
Cvi-APal_011-Ex1-2C-lcwgs-1-2.clmp.fp2_r1_screen	4521138.0	324742.0	119563.0	9176.0	747.0	283.0	7562.0	195.0	218.0	0.0	0.0	2195097.0	14727657.0
Cvi-APal_011-Ex1-2C-lcwgs-1-2.clmp.fp2_r2_screen	4477209.0	321719.0	119716.0	9170.0	659.0	286.0	7016.0	182.0	138.0	0.0	0.0	2168144.0	14802139.0
Cvi-APal_012-Ex1-2D-lcwgs-1-2.clmp.fp2_r1_screen	6986210.0	554774.0	449537.0	27189.0	4514.0	1864.0	3138.0	1374.0	47.0	0.0	0.0	3916444.0	28976766.0
Cvi-APal_012-Ex1-2D-lcwgs-1-2.clmp.fp2_r2_screen	6929527.0	550745.0	448027.0	26772.0	4464.0	1929.0	3111.0	1340.0	17.0	0.0	0.0	3889130.0	29066795.0
Cvi-APal_013-Ex1-2E-lcwgs-1-2.clmp.fp2_r1_screen	5029727.0	501861.0	465904.0	26819.0	7944.0	3184.0	7848.0	2547.0	274.0	0.0	0.0	2998952.0	32143734.0
Cvi-APal_013-Ex1-2E-lcwgs-1-2.clmp.fp2_r2_screen	4993559.0	500824.0	463801.0	26439.0	7963.0	3307.0	7582.0	2497.0	164.0	0.0	0.0	2977140.0	32205518.0
Cvi-APal_014-Ex1-2F-lcwgs-1-2.clmp.fp2_r1_screen	1970289.0	650816.0	101633.0	47094.0	25678.0	8896.0	3478.0	7917.0	271.0	1.0	0.0	2564181.0	74091734.0
Cvi-APal_014-Ex1-2F-lcwgs-1-2.clmp.fp2_r2_screen	1961362.0	653132.0	101326.0	47168.0	25722.0	8839.0	3520.0	7968.0	50.0	1.0	0.0	2555272.0	74107628.0
Cvi-APal_015-Ex1-2G-lcwgs-1-2.clmp.fp2_r1_screen	686013.0	63223.0	35079.0	1967.0	598.0	219.0	500.0	173.0	2.0	0.0	0.0	363583.0	3965783.0
Cvi-APal_015-Ex1-2G-lcwgs-1-2.clmp.fp2_r2_screen	682806.0	62940.0	35005.0	2017.0	592.0	184.0	496.0	167.0	2.0	0.0	0.0	359984.0	3972947.0
Cvi-APal_016-Ex1-2H-lcwgs-1-2.clmp.fp2_r1_screen	898912.0	175830.0	58802.0	13354.0	9437.0	2266.0	1366.0	2753.0	30.0	0.0	0.0	872184.0	16215595.0
Cvi-APal_016-Ex1-2H-lcwgs-1-2.clmp.fp2_r2_screen	893551.0	176690.0	58807.0	13074.0	9548.0	2235.0	1346.0	2703.0	23.0	0.0	0.0	871482.0	16221070.0
Cvi-APal_017-Ex2-4D-lcwgs-1-2.clmp.fp2_r1_screen	5028287.0	442680.0	83584.0	18257.0	5529.0	1982.0	2843.0	1643.0	14.0	0.0	0.0	2467095.0	27942334.0
Cvi-APal_017-Ex2-4D-lcwgs-1-2.clmp.fp2_r2_screen	4992028.0	440414.0	83286.0	18235.0	5615.0	1910.0	2713.0	1683.0	23.0	0.0	0.0	2448416.0	27999925.0
