Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Bird	Viruses	Plant	Coral	Vectors	Ecoli	Multiple Genomes	No hits
Par-ARag_011-Ex1-7H-lcwgs-2-T.clmp.fp2_r2_screen	474334.0	39086.0	263436.0	5155.0	79.0	1137.0	86.0	16.0	22.0	0.0	329471.0	2294470.0
Par-ARag_012-Ex1-8A-lcwgs-2-T.clmp.fp2_r1_screen	223444.0	21336.0	152879.0	4360.0	38.0	1067.0	364.0	10.0	2.0	0.0	149865.0	1614142.0
Par-ARag_012-Ex1-8A-lcwgs-2-T.clmp.fp2_r2_screen	221860.0	21411.0	153091.0	4332.0	47.0	1035.0	363.0	12.0	6.0	0.0	148824.0	1616526.0
Par-ARag_013-Ex1-8B-lcwgs-2-T.clmp.fp2_r1_screen	132388.0	12898.0	61800.0	2508.0	52.0	321.0	114.0	6.0	3.0	0.0	94758.0	832220.0
Par-ARag_013-Ex1-8B-lcwgs-2-T.clmp.fp2_r2_screen	131963.0	12794.0	61946.0	2489.0	67.0	323.0	122.0	8.0	4.0	0.0	93541.0	833811.0
Par-ARag_014-Ex1-8C-lcwgs-2-T.clmp.fp2_r1_screen	195903.0	18743.0	42988.0	1530.0	34.0	440.0	51.0	11.0	1.0	0.0	130896.0	1390507.0
Par-ARag_014-Ex1-8C-lcwgs-2-T.clmp.fp2_r2_screen	194666.0	18620.0	43110.0	1568.0	42.0	438.0	46.0	12.0	6.0	0.0	129595.0	1393001.0
Par-ARag_017-Ex1-8E-lcwgs-2-T.clmp.fp2_r1_screen	458947.0	38259.0	117795.0	2891.0	32.0	490.0	57.0	13.0	0.0	0.0	326216.0	1919762.0
Par-ARag_017-Ex1-8E-lcwgs-2-T.clmp.fp2_r2_screen	456843.0	38147.0	117933.0	2840.0	32.0	505.0	54.0	10.0	7.0	0.0	320595.0	1927496.0
Par-ARag_019-Ex1-8F-lcwgs-2-T.clmp.fp2_r1_screen	208745.0	30136.0	109686.0	1856.0	99.0	955.0	84.0	27.0	1.0	0.0	181021.0	2834072.0
Par-ARag_019-Ex1-8F-lcwgs-2-T.clmp.fp2_r2_screen	208325.0	30113.0	109590.0	1778.0	86.0	950.0	76.0	36.0	10.0	0.0	179626.0	2836092.0
Par-ARag_020-Ex1-8G-lcwgs-2-T.clmp.fp2_r1_screen	192427.0	21434.0	110156.0	1155.0	26.0	287.0	35.0	7.0	5.0	0.0	172814.0	1536549.0
Par-ARag_020-Ex1-8G-lcwgs-2-T.clmp.fp2_r2_screen	191404.0	21849.0	110415.0	1162.0	38.0	294.0	32.0	7.0	5.0	0.0	168867.0	1540822.0
Par-ARag_021-Ex1-8H-lcwgs-2-T.clmp.fp2_r1_screen	366556.0	33130.0	132332.0	2216.0	43.0	566.0	103.0	22.0	5.0	0.0	268282.0	2170659.0
Par-ARag_021-Ex1-8H-lcwgs-2-T.clmp.fp2_r2_screen	364926.0	33085.0	133222.0	2193.0	48.0	586.0	104.0	18.0	4.0	0.0	262823.0	2176905.0
Par-ARag_022-Ex1-9A-lcwgs-2-T.clmp.fp2_r1_screen	241923.0	29508.0	71623.0	2664.0	62.0	458.0	56.0	33.0	0.0	0.0	242531.0	3003930.0
Par-ARag_022-Ex1-9A-lcwgs-2-T.clmp.fp2_r2_screen	240838.0	29915.0	71827.0	2537.0	66.0	468.0	72.0	35.0	2.0	0.0	244176.0	3002852.0
Par-ARag_025-Ex1-9D-lcwgs-2-T.clmp.fp2_r1_screen	658215.0	21210.0	64768.0	7600.0	42.0	681.0	35.0	10.0	1.0	0.0	193653.0	1515961.0
Par-ARag_025-Ex1-9D-lcwgs-2-T.clmp.fp2_r2_screen	655557.0	21016.0	64771.0	7601.0	42.0	722.0	32.0	11.0	3.0	0.0	192028.0	1520393.0
Par-ARag_027-Ex1-9F-lcwgs-2-T.clmp.fp2_r1_screen	270319.0	19981.0	101657.0	9177.0	52.0	1091.0	113.0	20.0	10.0	0.0	142891.0	1553652.0
Par-ARag_027-Ex1-9F-lcwgs-2-T.clmp.fp2_r2_screen	269555.0	19683.0	102103.0	9126.0	77.0	1112.0	108.0	21.0	20.0	0.0	140777.0	1556381.0
Par-ARag_028-Ex1-9G-lcwgs-2-T.clmp.fp2_r1_screen	451644.0	27878.0	12650.0	10520.0	22.0	1005.0	62.0	6.0	2.0	2.0	183452.0	2125866.0
Par-ARag_028-Ex1-9G-lcwgs-2-T.clmp.fp2_r2_screen	449425.0	27550.0	12708.0	10486.0	19.0	1063.0	66.0	9.0	7.0	1.0	180845.0	2130930.0
Par-ARag_029-Ex1-9H-lcwgs-2-T.clmp.fp2_r1_screen	339547.0	23230.0	327246.0	4597.0	90.0	943.0	110.0	10.0	1.0	0.0	232872.0	1633841.0
Par-ARag_029-Ex1-9H-lcwgs-2-T.clmp.fp2_r2_screen	338669.0	23309.0	327606.0	4544.0	89.0	922.0	117.0	11.0	7.0	0.0	230297.0	1636916.0
Par-ARag_030-Ex1-10A-lcwgs-2-T.clmp.fp2_r1_screen	133874.0	14851.0	5617.0	637.0	16.0	607.0	65.0	7.0	0.0	0.0	74817.0	1029711.0
