Sample	Passed Filter	Low Quality	Too Many N	Low Complexity	Too Short	Too Long
Cha-APnd_001-Ex1-1A-lcwgs-1-1	936436.0	12678.0	28.0	2020.0	65872.0	0.0
Cha-APnd_002-Ex1-1B-lcwgs-1-1	794752.0	18112.0	16.0	2146.0	299162.0	0.0
Cha-APnd_003-Ex1-1C-lcwgs-1-1	6433614.0	42130.0	176.0	640.0	322468.0	0.0
Cha-APnd_004-Ex1-1D-lcwgs-1-1	5097256.0	34940.0	124.0	442.0	249040.0	0.0
Cha-APnd_005-Ex1-1E-lcwgs-1-1	5956044.0	49328.0	190.0	6108.0	329064.0	0.0
Cha-APnd_006-Ex1-1F-lcwgs-1-1	1565688.0	33114.0	50.0	4516.0	338112.0	0.0
Cha-APnd_007-Ex1-1G-lcwgs-1-1	1733388.0	12266.0	38.0	1058.0	64438.0	0.0
Cha-APnd_008-Ex1-1H-lcwgs-1-1	6917688.0	40204.0	210.0	1610.0	345902.0	0.0
Cha-APnd_009-Ex1-2A-lcwgs-1-1	5119264.0	52324.0	144.0	4614.0	504478.0	0.0
Cha-APnd_010-Ex1-2B-lcwgs-1-1	2831032.0	23034.0	82.0	366.0	204540.0	0.0
Cha-APnd_011-Ex1-2C-lcwgs-1-1	2822484.0	34488.0	94.0	4144.0	347334.0	0.0
Cha-APnd_012-Ex1-2D-lcwgs-1-1	4368518.0	26298.0	142.0	806.0	134444.0	0.0
Cha-APnd_013-Ex1-2E-lcwgs-1-1	1027548.0	13366.0	34.0	2156.0	42320.0	0.0
Cha-APnd_014-Ex1-2F-lcwgs-1-1	5140870.0	33484.0	162.0	2628.0	169958.0	0.0
Cha-APnd_015-Ex1-2G-lcwgs-1-1	3483318.0	34408.0	122.0	4546.0	159064.0	0.0
Cha-APnd_016-Ex1-2H-lcwgs-1-1	4944416.0	30948.0	146.0	3804.0	130238.0	0.0
Cha-APnd_017-Ex1-3A-lcwgs-1-1	4220958.0	55692.0	138.0	5842.0	663832.0	0.0
Cha-APnd_018-Ex1-3B-lcwgs-1-1	533234.0	6218.0	16.0	96.0	24912.0	0.0
Cha-APnd_019-Ex1-3C-lcwgs-1-1	117652.0	1830.0	6.0	28.0	5506.0	0.0
