Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Ecoli	Multiple Genomes	No hits
Dar-AJol_007-Ex1-1G-lcwgs-1-1.clmp.fp2_r2_screen	31295.0	29324.0	14846.0	2269.0	1638.0	589.0	253.0	276.0	6.0	0.0	0.0	190408.0	2263270.0
Dar-AJol_008-Ex1-1H-lcwgs-1-1.clmp.fp2_r1_screen	216927.0	38014.0	38530.0	2759.0	2675.0	931.0	384.0	471.0	8.0	0.0	0.0	320088.0	3384288.0
Dar-AJol_008-Ex1-1H-lcwgs-1-1.clmp.fp2_r2_screen	214457.0	38073.0	38588.0	2671.0	2530.0	849.0	365.0	442.0	17.0	0.0	0.0	314785.0	3392298.0
Dar-AJol_009-Ex1-2A-lcwgs-1-1.clmp.fp2_r1_screen	697763.0	85497.0	10942.0	5490.0	5942.0	2271.0	942.0	552.0	21.0	0.0	0.0	600441.0	7558718.0
Dar-AJol_009-Ex1-2A-lcwgs-1-1.clmp.fp2_r2_screen	694771.0	85834.0	10550.0	5296.0	5752.0	2033.0	802.0	567.0	22.0	0.0	0.0	588988.0	7573964.0
Dar-AJol_010-Ex1-2B-lcwgs-1-1.clmp.fp2_r1_screen	46428.0	17210.0	6313.0	1312.0	864.0	303.0	210.0	87.0	8.0	0.0	0.0	85894.0	2539140.0
Dar-AJol_010-Ex1-2B-lcwgs-1-1.clmp.fp2_r2_screen	46380.0	17351.0	6361.0	1362.0	837.0	312.0	190.0	77.0	4.0	0.0	0.0	85216.0	2539679.0
Dar-AJol_011-Ex1-2C-lcwgs-1-1.clmp.fp2_r1_screen	29941.0	7252.0	7958.0	534.0	389.0	101.0	61.0	61.0	0.0	0.0	0.0	38726.0	1266692.0
Dar-AJol_011-Ex1-2C-lcwgs-1-1.clmp.fp2_r2_screen	29781.0	7272.0	7921.0	542.0	387.0	92.0	55.0	53.0	4.0	0.0	0.0	38376.0	1267232.0
Dar-AJol_012-Ex1-2D-lcwgs-1-1.clmp.fp2_r1_screen	172936.0	46851.0	9639.0	2997.0	3636.0	1068.0	406.0	419.0	15.0	0.0	0.0	324114.0	4852949.0
