Sample	total_reads	Human counts	Human percentage	Ecoli counts	Ecoli percentage	PhiX counts	PhiX percentage	Contamnts_Adaptrs counts	Contamnts_Adaptrs percentage	Vectors counts	Vectors percentage	Bacteria_24k counts	Bacteria_24k percentage	Protists_1k counts	Protists_1k percentage	Viruses counts	Viruses percentage	Fungi_RefSeq_release counts	Fungi_RefSeq_release percentage	Coral counts	Coral percentage	Bird counts	Bird percentage	Plant counts	Plant percentage	No hits counts	No hits percentage
Abu-APnd_001-Ex1-4E-lcwgs-1-2.clmp.fp2_r1_screen	8172176	231457.0	2.82	44.0	0.0	0.0	0.0	147.0	0.0	53779.0	0.66	179968.0	2.19	313917.0	3.8400000000000003	148046.0	1.81	228200.0	2.78	153483.0	1.88	189724.0	2.3200000000000003	169366.0	2.08	7811783	95.59
Abu-APnd_001-Ex1-4E-lcwgs-1-2.clmp.fp2_r2_screen	8172176	229912.0	2.81	35.0	0.0	0.0	0.0	13.0	0.0	52673.0	0.65	178345.0	2.18	313104.0	3.84	146688.0	1.79	227315.0	2.77	152537.0	1.8599999999999999	188362.0	2.29	168299.0	2.05	7813417	95.61
Abu-APnd_002-Ex1-4F-lcwgs-1-2.clmp.fp2_r1_screen	4578740	172100.0	3.7600000000000002	27.0	0.0	0.0	0.0	96.0	0.0	28625.0	0.63	138396.0	3.02	218207.0	4.76	119898.0	2.61	165118.0	3.6100000000000003	115035.0	2.5100000000000002	142411.0	3.12	128007.0	2.8000000000000003	4331945	94.61
Abu-APnd_002-Ex1-4F-lcwgs-1-2.clmp.fp2_r2_screen	4578740	171293.0	3.75	29.0	0.0	0.0	0.0	6.0	0.0	28154.0	0.62	137054.0	2.99	217655.0	4.76	118461.0	2.5900000000000003	164578.0	3.6	114243.0	2.49	141296.0	3.0900000000000003	127194.0	2.7800000000000002	4332861	94.63
Abu-APnd_003-Ex1-4G-lcwgs-1-2.clmp.fp2_r1_screen	3943474	204330.0	5.18	61.0	0.0	0.0	0.0	42.0	0.0	33179.0	0.84	201323.0	5.109999999999999	272901.0	6.92	139875.0	3.54	204321.0	5.18	148835.0	3.77	168867.0	4.29	142234.0	3.61	3609856	91.54
Abu-APnd_003-Ex1-4G-lcwgs-1-2.clmp.fp2_r2_screen	3943474	203726.0	5.17	60.0	0.0	0.0	0.0	1.0	0.0	32764.0	0.8300000000000001	199090.0	5.05	272407.0	6.8999999999999995	138443.0	3.5100000000000002	203821.0	5.17	148166.0	3.75	167809.0	4.26	141750.0	3.59	3610644	91.56
Abu-APnd_004-Ex1-4H-lcwgs-1-2.clmp.fp2_r1_screen	691024	26517.0	3.8299999999999996	1.0	0.0	0.0	0.0	11.0	0.0	4784.0	0.7	17976.0	2.6	34193.0	4.94	17280.0	2.5	25417.0	3.68	16801.0	2.43	21125.0	3.06	18869.0	2.73	653570	94.58
Abu-APnd_004-Ex1-4H-lcwgs-1-2.clmp.fp2_r2_screen	691024	26392.0	3.8200000000000003	2.0	0.0	0.0	0.0	0.0	0.0	4761.0	0.68	18016.0	2.61	33961.0	4.91	17154.0	2.4899999999999998	25278.0	3.66	16730.0	2.43	21060.0	3.0500000000000003	18858.0	2.73	653846	94.62
Abu-APnd_005-Ex1-5A-lcwgs-1-2.clmp.fp2_r1_screen	14656454	531810.0	3.6199999999999997	1338.0	0.01	0.0	0.0	221.0	0.0	107471.0	0.74	510494.0	3.49	726980.0	4.96	356697.0	2.43	530875.0	3.62	356376.0	2.44	439073.0	3.0	391888.0	2.6700000000000004	13769738	93.95
Abu-APnd_005-Ex1-5A-lcwgs-1-2.clmp.fp2_r2_screen	14656454	529632.0	3.5999999999999996	1369.0	0.01	0.0	0.0	14.0	0.0	106019.0	0.73	505846.0	3.4499999999999997	725158.0	4.96	352760.0	2.41	528930.0	3.61	354015.0	2.42	435729.0	2.98	389360.0	2.66	13772669	93.97
Abu-APnd_006-Ex1-5B-lcwgs-1-2.clmp.fp2_r1_screen	8976580	381733.0	4.26	123.0	0.0	0.0	0.0	125.0	0.0	62123.0	0.7	324366.0	3.6100000000000003	494827.0	5.51	266508.0	2.9699999999999998	377915.0	4.2	263049.0	2.9400000000000004	319099.0	3.56	288286.0	3.21	8411953	93.71
Abu-APnd_006-Ex1-5B-lcwgs-1-2.clmp.fp2_r2_screen	8976580	379540.0	4.22	126.0	0.0	0.0	0.0	14.0	0.0	62117.0	0.7	321643.0	3.58	493079.0	5.49	264271.0	2.9499999999999997	376222.0	4.1899999999999995	261256.0	2.91	316666.0	3.5300000000000002	286605.0	3.19	8413748	93.73
Abu-APnd_009-Ex1-5E-lcwgs-1-2.clmp.fp2_r1_screen	7241523	457781.0	6.32	150.0	0.0	0.0	0.0	115.0	0.0	91233.0	1.26	432017.0	5.97	580681.0	8.030000000000001	334928.0	4.62	461660.0	6.38	344155.0	4.75	398423.0	5.5	358595.0	4.949999999999999	6564440	90.65
Abu-APnd_009-Ex1-5E-lcwgs-1-2.clmp.fp2_r2_screen	7241523	455845.0	6.29	147.0	0.0	0.0	0.0	5.0	0.0	90132.0	1.25	428390.0	5.91	579733.0	8.01	332468.0	4.59	459644.0	6.35	342350.0	4.7299999999999995	396034.0	5.4799999999999995	357048.0	4.92	6567337	90.69
Abu-APnd_010-Ex1-5F-lcwgs-1-2.clmp.fp2_r1_screen	14398750	560984.0	3.9000000000000004	1487.0	0.01	0.0	0.0	447.0	0.0	231993.0	1.61	1509383.0	10.48	1074269.0	7.470000000000001	425482.0	2.96	562511.0	3.91	433685.0	3.02	485901.0	3.36	457985.0	3.18	12529792	87.02
Abu-APnd_010-Ex1-5F-lcwgs-1-2.clmp.fp2_r2_screen	14398750	559308.0	3.88	1323.0	0.01	0.0	0.0	16.0	0.0	229654.0	1.59	1469574.0	10.21	1053377.0	7.319999999999999	422034.0	2.94	560709.0	3.9	432439.0	3.01	483513.0	3.3600000000000003	456724.0	3.17	12567229	87.28
Abu-APnd_011-Ex1-5G-lcwgs-1-2.clmp.fp2_r1_screen	2279503	92525.0	4.0600000000000005	22.0	0.0	0.0	0.0	31.0	0.0	19777.0	0.87	70298.0	3.0900000000000003	121233.0	5.3100000000000005	61298.0	2.69	90936.0	3.98	61091.0	2.68	76403.0	3.36	69900.0	3.0700000000000003	2143872	94.05
Abu-APnd_011-Ex1-5G-lcwgs-1-2.clmp.fp2_r2_screen	2279503	92326.0	4.05	17.0	0.0	0.0	0.0	3.0	0.0	19686.0	0.86	70045.0	3.0700000000000003	121255.0	5.32	61017.0	2.67	90775.0	3.98	60888.0	2.6700000000000004	76213.0	3.3499999999999996	69608.0	3.0500000000000003	2144100	94.06
