Sample	Protists_1k	Bacteria_24k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Abu-APnd_001-Ex1-4E-lcwgs-1-2.clmp.fp2_r1_screen	60329.0	20769.0	8060.0	5519.0	2978.0	926.0	712.0	267.0	25.0	0.0	260808.0	7811783.0
Abu-APnd_001-Ex1-4E-lcwgs-1-2.clmp.fp2_r2_screen	60739.0	20548.0	7996.0	5383.0	2920.0	922.0	691.0	260.0	6.0	0.0	259294.0	7813417.0
Abu-APnd_002-Ex1-4F-lcwgs-1-2.clmp.fp2_r1_screen	32064.0	13613.0	4327.0	2942.0	2054.0	507.0	395.0	334.0	13.0	0.0	190546.0	4331945.0
Abu-APnd_002-Ex1-4F-lcwgs-1-2.clmp.fp2_r2_screen	32332.0	13505.0	4369.0	2987.0	2000.0	493.0	422.0	366.0	7.0	0.0	189398.0	4332861.0
Abu-APnd_003-Ex1-4G-lcwgs-1-2.clmp.fp2_r1_screen	42984.0	38473.0	9805.0	4664.0	1775.0	620.0	576.0	225.0	13.0	0.0	234483.0	3609856.0
Abu-APnd_003-Ex1-4G-lcwgs-1-2.clmp.fp2_r2_screen	43491.0	38319.0	9678.0	4671.0	1679.0	625.0	521.0	223.0	4.0	0.0	233619.0	3610644.0
Abu-APnd_004-Ex1-4H-lcwgs-1-2.clmp.fp2_r1_screen	5886.0	834.0	732.0	479.0	343.0	80.0	47.0	50.0	2.0	0.0	29001.0	653570.0
Abu-APnd_004-Ex1-4H-lcwgs-1-2.clmp.fp2_r2_screen	5821.0	835.0	763.0	461.0	338.0	72.0	56.0	48.0	1.0	0.0	28783.0	653846.0
Abu-APnd_005-Ex1-5A-lcwgs-1-2.clmp.fp2_r1_screen	121559.0	110714.0	14434.0	10085.0	6537.0	1521.0	1165.0	1517.0	25.0	0.0	619159.0	13769738.0
Abu-APnd_005-Ex1-5A-lcwgs-1-2.clmp.fp2_r2_screen	121870.0	110389.0	14451.0	10144.0	6459.0	1465.0	1109.0	1371.0	13.0	0.0	616514.0	13772669.0
Abu-APnd_006-Ex1-5B-lcwgs-1-2.clmp.fp2_r1_screen	75049.0	39678.0	8931.0	6439.0	4156.0	923.0	683.0	1330.0	13.0	0.0	427425.0	8411953.0
Abu-APnd_006-Ex1-5B-lcwgs-1-2.clmp.fp2_r2_screen	75366.0	39608.0	8902.0	6307.0	4010.0	957.0	746.0	1378.0	11.0	1.0	425546.0	8413748.0
Abu-APnd_009-Ex1-5E-lcwgs-1-2.clmp.fp2_r1_screen	71402.0	62689.0	9680.0	7607.0	4245.0	1146.0	926.0	392.0	16.0	0.0	518980.0	6564440.0
Abu-APnd_009-Ex1-5E-lcwgs-1-2.clmp.fp2_r2_screen	72301.0	62337.0	9408.0	7239.0	4091.0	1154.0	870.0	359.0	18.0	0.0	516409.0	6567337.0
Abu-APnd_010-Ex1-5F-lcwgs-1-2.clmp.fp2_r1_screen	152454.0	747179.0	15858.0	10290.0	3943.0	1400.0	1143.0	1093.0	48.0	1.0	935549.0	12529792.0
Abu-APnd_010-Ex1-5F-lcwgs-1-2.clmp.fp2_r2_screen	153400.0	730947.0	15697.0	10055.0	3833.0	1408.0	1116.0	1087.0	36.0	0.0	913942.0	12567229.0
Abu-APnd_011-Ex1-5G-lcwgs-1-2.clmp.fp2_r1_screen	20360.0	6614.0	2549.0	1661.0	1015.0	258.0	184.0	88.0	5.0	0.0	102897.0	2143872.0
Abu-APnd_011-Ex1-5G-lcwgs-1-2.clmp.fp2_r2_screen	20468.0	6599.0	2428.0	1592.0	1024.0	235.0	183.0	100.0	4.0	0.0	102770.0	2144100.0
Abu-APnd_012-Ex1-5H-lcwgs-1-2.clmp.fp2_r1_screen	55641.0	17297.0	6723.0	4554.0	2711.0	793.0	534.0	267.0	7.0	0.0	275412.0	6350795.0
Abu-APnd_012-Ex1-5H-lcwgs-1-2.clmp.fp2_r2_screen	56143.0	17062.0	6638.0	4607.0	2631.0	730.0	531.0	284.0	10.0	0.0	273289.0	6352809.0
Abu-APnd_013-Ex1-6A-lcwgs-1-2.clmp.fp2_r1_screen	43836.0	13083.0	4705.0	3766.0	1830.0	564.0	459.0	152.0	4.0	0.0	231978.0	4223365.0
Abu-APnd_013-Ex1-6A-lcwgs-1-2.clmp.fp2_r2_screen	44030.0	13022.0	4590.0	3721.0	1838.0	537.0	459.0	168.0	7.0	0.0	231100.0	4224270.0
Abu-APnd_014-Ex1-6B-lcwgs-1-2.clmp.fp2_r1_screen	69645.0	10416.0	10070.0	5538.0	3294.0	763.0	619.0	286.0	8.0	0.0	352075.0	6396200.0
Abu-APnd_014-Ex1-6B-lcwgs-1-2.clmp.fp2_r2_screen	69781.0	10549.0	10021.0	5466.0	3303.0	757.0	627.0	312.0	5.0	0.0	349838.0	6398255.0
Abu-APnd_015-Ex1-6C-lcwgs-1-2.clmp.fp2_r1_screen	90914.0	21956.0	10411.0	7847.0	4215.0	1220.0	952.0	344.0	6.0	0.0	514436.0	7646687.0
Abu-APnd_015-Ex1-6C-lcwgs-1-2.clmp.fp2_r2_screen	91146.0	21713.0	10462.0	7810.0	4159.0	1164.0	886.0	334.0	8.0	0.0	513789.0	7647517.0
