HK7K2DSX3_3	forward	A->A	1.7668e+06	1.81172e+06	1.81841e+06	1.81737e+06	1.82243e+06	1.81723e+06	1.82314e+06	1.81709e+06	1.82267e+06	1.82285e+06	1.82792e+06	1.82052e+06	1.82301e+06	1.81923e+06	1.82054e+06	1.81728e+06	1.82309e+06	1.81894e+06	1.80823e+06	1.78456e+06	1.77974e+06	1.77344e+06	1.77215e+06	1.76937e+06	1.76922e+06	1.76998e+06	1.76687e+06	1.76437e+06	1.76916e+06	1.76624e+06	1.76517e+06	1.7622e+06	1.76285e+06	1.76165e+06	1.76538e+06	1.76571e+06	1.76325e+06	1.7604e+06	1.75926e+06	1.75816e+06	1.75752e+06	1.75492e+06	1.75677e+06	1.75982e+06	1.75549e+06	1.75534e+06	1.75275e+06	1.75165e+06	1.75078e+06	1.75042e+06
HK7K2DSX3_3	forward	A->C	27033	54301	54452	55073	55923	57812	56666	56710	56246	56881	56650	56510	56176	56513	56262	56690	56068	55899	44699	30817	27278	25462	24536	23508	23685	22886	23093	22838	22802	22637	22499	22144	22310	21906	21877	21616	21279	21098	21163	20784	20933	20736	20605	20382	20568	20207	19969	19727	19911	19727
HK7K2DSX3_3	forward	A->G	31187	59031	59447	60024	59264	61081	61260	61071	60889	61425	61310	61325	62430	61474	61256	62385	61401	60904	51733	36378	31779	30258	29257	29138	28766	28411	28295	28045	28101	27388	27360	27022	27504	26848	26726	26813	26343	26080	26273	26278	25931	25444	25712	25494	25649	25554	25541	24666	24942	24889
HK7K2DSX3_3	forward	A->T	35256	72709	72308	71364	71094	71240	70604	71183	71193	70627	71376	70612	70375	71249	71502	70510	71114	71207	57508	39819	34556	32160	31412	30986	30186	29869	29695	29186	29082	28718	28831	28588	28271	27901	27803	27783	27463	27344	26846	27014	26990	26245	26987	26300	25956	25912	25873	25963	25691	25626
HK7K2DSX3_3	forward	C->A	25969	54810	54503	54269	53962	54912	54482	54854	55711	54222	54935	54585	54797	55626	54854	54644	55636	55739	45181	32488	28340	26788	25991	25665	25326	24931	24908	24702	24325	24402	24469	24200	23803	23690	23900	23606	23917	23834	23553	23397	23316	23239	23005	22878	23429	23152	22757	22724	22512	22133
HK7K2DSX3_3	forward	C->C	1.32395e+06	1.36407e+06	1.36147e+06	1.36084e+06	1.35932e+06	1.36676e+06	1.36388e+06	1.36286e+06	1.35196e+06	1.35633e+06	1.34618e+06	1.3532e+06	1.35016e+06	1.3506e+06	1.35233e+06	1.36134e+06	1.35542e+06	1.35532e+06	1.34374e+06	1.3256e+06	1.31943e+06	1.31986e+06	1.31466e+06	1.31315e+06	1.31288e+06	1.31486e+06	1.31508e+06	1.31735e+06	1.31222e+06	1.31065e+06	1.31176e+06	1.30738e+06	1.30366e+06	1.30604e+06	1.30333e+06	1.30046e+06	1.30561e+06	1.30316e+06	1.30062e+06	1.29973e+06	1.29809e+06	1.29747e+06	1.29404e+06	1.28988e+06	1.28964e+06	1.28816e+06	1.28379e+06	1.28484e+06	1.2858e+06	1.28393e+06
HK7K2DSX3_3	forward	C->G	21975	44565	44936	44218	44234	45117	44885	44947	45347	45186	44902	44635	46198	45680	44848	45350	45452	45060	36236	24701	21107	19470	19099	18776	18639	18190	17941	17869	17370	17736	17491	17231	17424	17041	16894	16721	16390	16344	16374	16486	15743	16253	16080	15944	15780	15734	15562	15853	15567	15507
HK7K2DSX3_3	forward	C->T	39885	68797	66666	66441	65541	67034	66859	65958	65551	65423	65958	65548	64861	65846	66262	65561	65222	65772	55077	42274	38535	37136	36099	35793	35150	34882	34958	34724	35144	34499	34108	34238	33645	34269	33932	33278	33868	33570	33357	32763	32654	32686	32680	32129	32000	31450	31152	31281	31708	31279
HK7K2DSX3_3	forward	G->A	31314	58260	57942	57714	58620	59004	59162	58619	58789	58695	59814	59817	59041	58673	59737	59423	59378	60072	50735	36925	32816	31720	30853	30372	30027	29859	29858	29268	29247	29044	28679	29306	29387	29105	29263	28872	29079	28757	29140	28526	28644	28252	28129	28201	28089	28411	28170	28498	27958	28262
HK7K2DSX3_3	forward	G->C	21867	44306	44249	44964	44284	45700	45552	45320	45507	45687	45176	45510	45241	44742	45927	46339	45611	44781	36744	24844	21432	20112	19702	19147	18371	18564	18094	18179	17774	17904	17424	17558	17473	17248	16928	17099	16910	16841	16640	16965	16414	16426	16161	16045	16018	15852	16032	15646	15418	15326
HK7K2DSX3_3	forward	G->G	1.28508e+06	1.31614e+06	1.32329e+06	1.32404e+06	1.32996e+06	1.32496e+06	1.31624e+06	1.31555e+06	1.31539e+06	1.3076e+06	1.30709e+06	1.30868e+06	1.31015e+06	1.31874e+06	1.31823e+06	1.3138e+06	1.31428e+06	1.31538e+06	1.30249e+06	1.28636e+06	1.27724e+06	1.27496e+06	1.27565e+06	1.27977e+06	1.28036e+06	1.27709e+06	1.27782e+06	1.27967e+06	1.27435e+06	1.27643e+06	1.27304e+06	1.27446e+06	1.27398e+06	1.27504e+06	1.27474e+06	1.27448e+06	1.27134e+06	1.27154e+06	1.27263e+06	1.26809e+06	1.2697e+06	1.2691e+06	1.26475e+06	1.27045e+06	1.26986e+06	1.26757e+06	1.2684e+06	1.26834e+06	1.26441e+06	1.26326e+06
HK7K2DSX3_3	forward	G->T	33457	61710	61231	60695	60315	61703	61212	60079	60613	60222	60538	60739	60789	60142	60096	60304	60256	59880	49936	37338	33537	31775	31167	30301	29641	29492	29226	28755	28470	28338	28154	27992	28048	28042	27330	27208	26994	26866	26878	26432	26203	26495	26265	25956	25845	25971	25163	25470	25084	24757
