pos	5pC>T
1	0.00555843557398767
2	0.0265209808146096
3	0.0118712519887407
4	0.0116422107020473
5	0.00980077856652164
6	0.0091396781243791
7	0.00967787180326336
8	0.00890377749371887
9	0.0079917504511472
10	0.00947913612821265
11	0.00673932939512439
12	0.00780319520308842
13	0.00814459930313589
14	0.00823099608257406
15	0.00758032560944095
16	0.00684625022373367
17	0.00768562744246635
18	0.00876610439633417
19	0.00835027906373037
20	0.00738786279683377
21	0.00762427569380909
22	0.00733807891730381
23	0.00745357858948653
24	0.00685416113911736
25	0.0071012142199623
