#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	4866031	4506575	92.61	8044	0.17	2965	0.06	29703	0.61	318744	6.55
Ecoli	4866031	4866027	100.00	0	0.00	0	0.00	0	0.00	4	0.00
PhiX	4866031	4866031	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	4866031	4866030	100.00	0	0.00	0	0.00	0	0.00	1	0.00
Vectors	4866031	4820892	99.07	10	0.00	1	0.00	1319	0.03	43809	0.90
Bacteria_24k	4866031	4694374	96.48	648	0.01	445	0.01	17228	0.35	153336	3.15
Protists_1k	4866031	4425376	90.95	23854	0.49	46908	0.96	11155	0.23	358738	7.37
Viruses	4866031	4674599	96.07	338	0.01	97	0.00	18161	0.37	172836	3.55
Fungi_RefSeq_release	4866031	4534790	93.19	4735	0.10	1067	0.02	31682	0.65	293757	6.04
Coral	4866031	4661151	95.79	879	0.02	774	0.02	27837	0.57	175390	3.60
Bird	4866031	4609738	94.74	3510	0.07	613	0.01	35243	0.72	216927	4.46
Plant	4866031	4614619	94.82	1309	0.03	276	0.01	24587	0.51	225240	4.63

%Hit_no_genomes: 90.14
