#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	216021195	197660398	91.49	362301	0.17	129031	0.06	1439447	0.67	16430018	7.61
Ecoli	216021195	216021087	100.00	0	0.00	0	0.00	6	0.00	102	0.00
PhiX	216021195	216021195	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	216021195	216021019	100.00	0	0.00	0	0.00	14	0.00	162	0.00
Vectors	216021195	213457917	98.81	404	0.00	50	0.00	63220	0.03	2499604	1.16
Bacteria_24k	216021195	207046641	95.85	24322	0.01	15084	0.01	847406	0.39	8087742	3.74
Protists_1k	216021195	193754864	89.69	1128069	0.52	2268869	1.05	511746	0.24	18357647	8.50
Viruses	216021195	206003548	95.37	14415	0.01	4122	0.00	830152	0.38	9168958	4.24
Fungi_RefSeq_release	216021195	198959204	92.10	208096	0.10	45273	0.02	1530847	0.71	15277775	7.07
Coral	216021195	205370431	95.07	37998	0.02	16418	0.01	1392592	0.64	9203756	4.26
Bird	216021195	202765407	93.87	156511	0.07	25482	0.01	1680071	0.78	11393724	5.27
Plant	216021195	202706500	93.83	59125	0.03	14353	0.01	1235067	0.57	12006150	5.56

%Hit_no_genomes: 88.89
