Sample	Protists_1k	Bacteria_24k	Human	Fungi_RefSeq_release	Bird	Coral	Plant	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Sfa-ABas_001-Ex1-7A-lcwgs-1-3.clmp.fp2_r1_screen	7314.0	48687.0	52999.0	3197.0	518.0	136.0	134.0	72.0	2.0	0.0	51555.0	902920.0
Sfa-ABas_001-Ex1-7A-lcwgs-1-3.clmp.fp2_r2_screen	7281.0	48596.0	52996.0	3157.0	476.0	135.0	138.0	68.0	1.0	0.0	51019.0	903667.0
Sfa-ABas_002-Ex1-7D-lcwgs-1-3.clmp.fp2_r1_screen	7006.0	13076.0	7336.0	1636.0	568.0	116.0	113.0	82.0	1.0	0.0	34721.0	939291.0
Sfa-ABas_002-Ex1-7D-lcwgs-1-3.clmp.fp2_r2_screen	7038.0	12919.0	7359.0	1606.0	583.0	114.0	125.0	68.0	2.0	0.0	34740.0	939392.0
Sfa-ABas_003-Ex1-7G-lcwgs-1-3.clmp.fp2_r1_screen	6935.0	15015.0	8954.0	1826.0	487.0	118.0	120.0	61.0	3.0	0.0	29195.0	876110.0
Sfa-ABas_003-Ex1-7G-lcwgs-1-3.clmp.fp2_r2_screen	6910.0	15088.0	8996.0	1820.0	510.0	130.0	115.0	57.0	4.0	0.0	28896.0	876298.0
Sfa-ABas_004-Ex1-8B-lcwgs-1-3.clmp.fp2_r1_screen	48.0	266.0	105.0	3.0	2.0	0.0	0.0	1.0	0.0	0.0	293.0	5200.0
Sfa-ABas_004-Ex1-8B-lcwgs-1-3.clmp.fp2_r2_screen	53.0	282.0	103.0	4.0	2.0	0.0	0.0	1.0	0.0	0.0	292.0	5181.0
Sfa-ABas_005-Ex1-8E-lcwgs-1-3.clmp.fp2_r1_screen	23.0	124.0	73.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	157.0	2853.0
Sfa-ABas_005-Ex1-8E-lcwgs-1-3.clmp.fp2_r2_screen	23.0	130.0	71.0	5.0	0.0	1.0	0.0	0.0	0.0	0.0	146.0	2857.0
Sfa-ABas_006-Ex1-8H-lcwgs-1-3.clmp.fp2_r1_screen	8273.0	4930.0	8998.0	1550.0	661.0	180.0	150.0	40.0	8.0	0.0	35222.0	1123652.0
Sfa-ABas_006-Ex1-8H-lcwgs-1-3.clmp.fp2_r2_screen	8165.0	4778.0	9071.0	1524.0	650.0	162.0	169.0	42.0	4.0	0.0	35447.0	1123652.0
Sfa-ABas_007-Ex1-9C-lcwgs-1-3.clmp.fp2_r1_screen	45.0	370.0	114.0	12.0	1.0	0.0	0.0	0.0	0.0	0.0	272.0	4546.0
Sfa-ABas_007-Ex1-9C-lcwgs-1-3.clmp.fp2_r2_screen	46.0	363.0	120.0	14.0	1.0	0.0	0.0	1.0	0.0	0.0	253.0	4562.0
Sfa-ABas_008-Ex1-9F-lcwgs-1-3.clmp.fp2_r1_screen	21.0	231.0	80.0	8.0	1.0	1.0	0.0	2.0	0.0	0.0	176.0	3019.0
Sfa-ABas_008-Ex1-9F-lcwgs-1-3.clmp.fp2_r2_screen	25.0	234.0	82.0	7.0	2.0	0.0	0.0	2.0	0.0	0.0	163.0	3024.0
Sfa-ABas_009-Ex1-10A-lcwgs-1-3.clmp.fp2_r1_screen	26.0	54.0	8.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	82.0	1996.0
Sfa-ABas_009-Ex1-10A-lcwgs-1-3.clmp.fp2_r2_screen	14.0	66.0	5.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	87.0	1993.0
Sfa-ABas_010-Ex1-10D-lcwgs-1-3.clmp.fp2_r1_screen	17.0	44.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.0	1326.0
Sfa-ABas_010-Ex1-10D-lcwgs-1-3.clmp.fp2_r2_screen	13.0	38.0	8.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	58.0	1335.0
Sfa-ABas_011-Ex1-10G-lcwgs-1-3.clmp.fp2_r1_screen	9.0	44.0	5.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	48.0	1150.0
Sfa-ABas_011-Ex1-10G-lcwgs-1-3.clmp.fp2_r2_screen	12.0	41.0	4.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	50.0	1148.0
Sfa-ABas_012-Ex1-11B-lcwgs-1-3.clmp.fp2_r1_screen	7.0	16.0	3.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	35.0	822.0
Sfa-ABas_012-Ex1-11B-lcwgs-1-3.clmp.fp2_r2_screen	12.0	17.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	814.0
Sfa-ABas_013-Ex1-7B-lcwgs-1-3.clmp.fp2_r1_screen	62.0	383.0	129.0	8.0	2.0	1.0	0.0	1.0	0.0	0.0	307.0	6114.0
Sfa-ABas_013-Ex1-7B-lcwgs-1-3.clmp.fp2_r2_screen	72.0	376.0	124.0	5.0	2.0	1.0	0.0	1.0	0.0	0.0	307.0	6119.0
Sfa-ABas_014-Ex1-7E-lcwgs-1-3.clmp.fp2_r1_screen	3518.0	20521.0	9068.0	2340.0	243.0	50.0	46.0	64.0	1.0	0.0	20670.0	416458.0
Sfa-ABas_014-Ex1-7E-lcwgs-1-3.clmp.fp2_r2_screen	3503.0	20501.0	9062.0	2330.0	217.0	56.0	44.0	56.0	2.0	0.0	20419.0	416789.0
Sfa-ABas_015-Ex1-7H-lcwgs-1-3.clmp.fp2_r1_screen	143.0	759.0	317.0	46.0	5.0	1.0	2.0	1.0	0.0	0.0	715.0	18528.0
Sfa-ABas_015-Ex1-7H-lcwgs-1-3.clmp.fp2_r2_screen	138.0	721.0	320.0	52.0	6.0	3.0	0.0	1.0	0.0	0.0	709.0	18567.0
Sfa-ABas_016-Ex1-8C-lcwgs-1-3.clmp.fp2_r1_screen	4057.0	13739.0	8201.0	1033.0	311.0	54.0	64.0	41.0	2.0	0.0	22749.0	509951.0
Sfa-ABas_016-Ex1-8C-lcwgs-1-3.clmp.fp2_r2_screen	4081.0	13562.0	8172.0	1021.0	304.0	81.0	62.0	38.0	0.0	0.0	22537.0	510344.0
Sfa-ABas_017-Ex1-8F-lcwgs-1-3.clmp.fp2_r1_screen	35.0	219.0	106.0	6.0	1.0	0.0	1.0	1.0	0.0	0.0	239.0	4109.0
Sfa-ABas_017-Ex1-8F-lcwgs-1-3.clmp.fp2_r2_screen	29.0	214.0	101.0	6.0	1.0	0.0	0.0	2.0	0.0	0.0	242.0	4122.0
Sfa-ABas_018-Ex1-9A-lcwgs-1-3.clmp.fp2_r1_screen	52.0	446.0	151.0	11.0	0.0	1.0	0.0	1.0	0.0	0.0	337.0	5335.0
Sfa-ABas_018-Ex1-9A-lcwgs-1-3.clmp.fp2_r2_screen	54.0	472.0	150.0	10.0	1.0	0.0	2.0	0.0	0.0	0.0	319.0	5326.0
Sfa-ABas_019-Ex1-9D-lcwgs-1-3.clmp.fp2_r1_screen	47.0	407.0	120.0	7.0	1.0	0.0	0.0	1.0	0.0	0.0	288.0	5118.0
Sfa-ABas_019-Ex1-9D-lcwgs-1-3.clmp.fp2_r2_screen	50.0	389.0	125.0	7.0	2.0	0.0	0.0	0.0	0.0	0.0	286.0	5130.0
Sfa-ABas_020-Ex1-1A-lcwgs-2-3.clmp.fp2_r1_screen	17661.0	136000.0	2400.0	750.0	300.0	54.0	49.0	50.0	8.0	0.0	110498.0	875078.0
Sfa-ABas_020-Ex1-1A-lcwgs-2-3.clmp.fp2_r2_screen	17709.0	135323.0	2375.0	740.0	299.0	66.0	69.0	45.0	4.0	0.0	108168.0	878050.0
Sfa-ABas_021-Ex1-2A-lcwgs-2-3.clmp.fp2_r1_screen	42589.0	147327.0	20276.0	3774.0	1951.0	427.0	435.0	192.0	8.0	0.0	209585.0	3444248.0
Sfa-ABas_021-Ex1-2A-lcwgs-2-3.clmp.fp2_r2_screen	42671.0	146272.0	20320.0	3883.0	1920.0	424.0	462.0	224.0	11.0	0.0	207667.0	3446958.0
Sfa-ABas_022-Ex1-10E-lcwgs-1-3.clmp.fp2_r1_screen	4.0	22.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	642.0
Sfa-ABas_022-Ex1-10E-lcwgs-1-3.clmp.fp2_r2_screen	6.0	23.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	640.0
Sfa-ABas_023-Ex1-10H-lcwgs-1-3.clmp.fp2_r1_screen	6.0	21.0	6.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	47.0	1059.0
Sfa-ABas_023-Ex1-10H-lcwgs-1-3.clmp.fp2_r2_screen	6.0	31.0	3.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	40.0	1058.0
