Sample	Top over-represented sequence	Sum of remaining over-represented sequences
Goy-APnd_037-Ex1-5E-lcwgs-1-T.1	1.8363941824840326	0.10700576424370101
Goy-APnd_037-Ex1-5E-lcwgs-1-T.2	1.8931256868028914	0.0
Goy-APnd_038-Ex1-5F-lcwgs-1-T.1	1.202141271706489	0.0
Goy-APnd_038-Ex1-5F-lcwgs-1-T.2	1.2259563911737825	0.0
Goy-APnd_039-Ex1-5G-lcwgs-1-T.1	1.8903942920690149	0.0
Goy-APnd_039-Ex1-5G-lcwgs-1-T.2	1.9320972021889211	0.0
Goy-APnd_040-Ex1-5H-lcwgs-1-T.1	1.9027734400253498	0.0
Goy-APnd_040-Ex1-5H-lcwgs-1-T.2	1.9383758908580007	0.0
Goy-APnd_041-Ex1-6A-lcwgs-1-T.1	4.493692501759975	0.13314201396136927
Goy-APnd_041-Ex1-6A-lcwgs-1-T.2	4.553863600612238	0.0
Goy-APnd_042-Ex1-6B-lcwgs-1-T.1	2.8963663027537887	0.0
Goy-APnd_042-Ex1-6B-lcwgs-1-T.2	2.945250122209549	0.0
Goy-APnd_043-Ex1-6C-lcwgs-1-T.1	2.5199759382167133	0.0
Goy-APnd_043-Ex1-6C-lcwgs-1-T.2	2.55734082233799	0.0
Goy-APnd_044-Ex1-6D-lcwgs-1-T.1	0.8352662201909442	0.0
Goy-APnd_044-Ex1-6D-lcwgs-1-T.2	0.8547525266074449	0.0
Goy-APnd_045-Ex1-6E-lcwgs-1-T.1	2.7802472362008572	0.0
Goy-APnd_045-Ex1-6E-lcwgs-1-T.2	2.8233239277170346	0.0
Goy-APnd_046-Ex1-6F-lcwgs-1-T.1	1.3771892895854096	0.0
Goy-APnd_046-Ex1-6F-lcwgs-1-T.2	1.4044146435575067	0.0
Goy-APnd_047-Ex1-6G-lcwgs-1-T.1	0.7421327938905713	0.0
Goy-APnd_047-Ex1-6G-lcwgs-1-T.2	0.7936032941120141	0.0
Goy-APnd_048-Ex1-6H-lcwgs-1-T.1	0.4729466265269339	0.0
Goy-APnd_048-Ex1-6H-lcwgs-1-T.2	0.48584403254553976	0.0
Goy-APnd_049-Ex1-7A-lcwgs-1-T.1	5.770965391972303	0.2923594078999008
Goy-APnd_049-Ex1-7A-lcwgs-1-T.2	5.791759678638759	0.0
Goy-APnd_050-Ex1-7B-lcwgs-1-T.1	0.5015048533000916	0.0
Goy-APnd_050-Ex1-7B-lcwgs-1-T.2	0.5053156804528278	0.0
Goy-APnd_051-Ex1-7C-lcwgs-1-T.1	1.7729026019171805	0.0
Goy-APnd_051-Ex1-7C-lcwgs-1-T.2	1.7761639931024162	0.0
Goy-APnd_052-Ex1-7D-lcwgs-1-T.1	1.9681281501692065	0.0
Goy-APnd_052-Ex1-7D-lcwgs-1-T.2	1.9729968388860597	0.0
Goy-APnd_053-Ex1-7E-lcwgs-1-T.1	4.319084480239653	0.0
Goy-APnd_053-Ex1-7E-lcwgs-1-T.2	4.347552516236756	0.0
Goy-APnd_054-Ex1-7F-lcwgs-1-T.1	4.038060949595906	0.0
Goy-APnd_054-Ex1-7F-lcwgs-1-T.2	4.047574935154677	0.0
Goy-APnd_055-Ex1-7G-lcwgs-1-T.1	2.60002180108998	0.0
Goy-APnd_055-Ex1-7G-lcwgs-1-T.2	2.613266149269012	0.0
Goy-APnd_056-Ex1-7H-lcwgs-1-T.1	1.2724590235379925	0.0
Goy-APnd_056-Ex1-7H-lcwgs-1-T.2	1.297390350230663	0.0
Goy-APnd_057-Ex1-8A-lcwgs-1-T.1	2.113294308786412	0.0
Goy-APnd_057-Ex1-8A-lcwgs-1-T.2	2.0996437471059473	0.0
Goy-APnd_058-Ex1-8B-lcwgs-1-T.1	2.2889859620849062	0.0
Goy-APnd_058-Ex1-8B-lcwgs-1-T.2	2.316468043598117	0.0
Goy-APnd_059-Ex1-8C-lcwgs-1-T.1	0.8404710425508872	0.0
Goy-APnd_059-Ex1-8C-lcwgs-1-T.2	0.8386207437004127	0.0
Goy-APnd_060-Ex1-8D-lcwgs-1-T.1	0.4408231294547994	0.0
Goy-APnd_060-Ex1-8D-lcwgs-1-T.2	0.4379673847999097	0.0
Goy-APnd_061-Ex1-8E-lcwgs-1-T.1	1.1118680093113924	0.0
Goy-APnd_061-Ex1-8E-lcwgs-1-T.2	1.1288596015626087	0.0
Goy-APnd_062-Ex1-8F-lcwgs-1-T.1	0.8675680510592133	0.0
Goy-APnd_062-Ex1-8F-lcwgs-1-T.2	0.8829181309835016	0.0
Goy-APnd_063-Ex1-8G-lcwgs-1-T.1	0.5795595462269784	0.0
Goy-APnd_063-Ex1-8G-lcwgs-1-T.2	0.5903718672974173	0.0
Goy-APnd_064-Ex1-8H-lcwgs-1-T.1	1.8974942430072257	0.0
Goy-APnd_064-Ex1-8H-lcwgs-1-T.2	1.9326134411790885	0.0
Goy-APnd_065-Ex1-9A-lcwgs-1-T.1	0.6575990950506709	0.0
Goy-APnd_065-Ex1-9A-lcwgs-1-T.2	0.6504323302445223	0.0
Goy-APnd_066-Ex1-9B-lcwgs-1-T.1	2.0433684315834233	0.0
Goy-APnd_066-Ex1-9B-lcwgs-1-T.2	2.042791263209941	0.0
Goy-APnd_067-Ex1-9C-lcwgs-1-T.1	0.28317843380006624	0.0
Goy-APnd_067-Ex1-9C-lcwgs-1-T.2	0.2870145948490819	0.0
Goy-CPnd_001-Ex1-7F-lcwgs-1-T.1	0.18845158193431094	0.0
Goy-CPnd_001-Ex1-7F-lcwgs-1-T.2	0.19226493087145588	0.0
Goy-CPnd_002-Ex1-5C-lcwgs-1-T.1	0.2928993445659275	0.0
Goy-CPnd_002-Ex1-5C-lcwgs-1-T.2	0.30510348392284115	0.0
Goy-CPnd_003-Ex1-7G-lcwgs-1-T.1	0.20534717612782782	0.0
Goy-CPnd_003-Ex1-7G-lcwgs-1-T.2	0.21435457184309548	0.0
Goy-CPnd_004-Ex1-2D-lcwgs-1-T.1	0.0	0.0
Goy-CPnd_004-Ex1-2D-lcwgs-1-T.2	0.0	0.0
Goy-CPnd_005-Ex1-6A-lcwgs-1-T.1	0.2938870368176716	0.0
Goy-CPnd_005-Ex1-6A-lcwgs-1-T.2	0.3090044506117476	0.0
Goy-CPnd_006-Ex1-2C-lcwgs-1-T.1	0.0	0.0
Goy-CPnd_006-Ex1-2C-lcwgs-1-T.2	0.0	0.0
Goy-CPnd_007-Ex1-8E-lcwgs-1-T.1	0.0	0.0
Goy-CPnd_007-Ex1-8E-lcwgs-1-T.2	0.0	0.0
Goy-CPnd_008-Ex1-4B-lcwgs-1-T.1	0.1670684563347601	0.0
Goy-CPnd_008-Ex1-4B-lcwgs-1-T.2	0.1731428298512335	0.0
Goy-CPnd_009-Ex1-8H-lcwgs-1-T.1	0.10018886613274772	0.0
Goy-CPnd_009-Ex1-8H-lcwgs-1-T.2	0.10240263527078193	0.0
Goy-CPnd_010-Ex1-6D-lcwgs-1-T.1	0.0	0.0
Goy-CPnd_010-Ex1-6D-lcwgs-1-T.2	0.0	0.0
Goy-CPnd_012-Ex1-1H-lcwgs-1-T.1	1.6276073923599068	0.0
Goy-CPnd_012-Ex1-1H-lcwgs-1-T.2	1.7217460238814843	0.0
Goy-CPnd_013-Ex1-7H-lcwgs-1-T.1	0.1818608165498554	0.0
Goy-CPnd_013-Ex1-7H-lcwgs-1-T.2	0.18993772960579453	0.0
Goy-CPnd_014-Ex1-4H-lcwgs-1-T.1	0.46899696300158056	0.0
Goy-CPnd_014-Ex1-4H-lcwgs-1-T.2	0.478306563061162	0.0
Goy-CPnd_015-Ex1-1E-lcwgs-1-T.1	0.1895925516999736	0.0
Goy-CPnd_015-Ex1-1E-lcwgs-1-T.2	0.19820364645220423	0.0
Goy-CPnd_016-Ex1-7C-lcwgs-1-T.1	0.0	0.0
Goy-CPnd_016-Ex1-7C-lcwgs-1-T.2	0.0	0.0
Goy-CPnd_017-Ex1-5H-lcwgs-1-T.1	0.4289897838284935	0.0
Goy-CPnd_017-Ex1-5H-lcwgs-1-T.2	0.44441463796302505	0.0
Goy-CPnd_020-Ex1-5B-lcwgs-1-T.1	0.12368336088595643	0.0
